ticker,A US Equity,A US Equity,A US Equity,A US Equity,A US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-01-03,48.5115,53.0594,48.7894,,,DOWN,0
2000-01-04,44.8058,45.9006,49.4632,,,DOWN,0
2000-01-05,42.0264,44.6373,48.1662,,,DOWN,0
2000-01-06,40.4262,41.5211,45.5722,,,UP,1
2000-01-07,43.7951,39.7946,43.913,,,UP,1
2000-01-10,46.4481,46.4902,43.5003,,,DOWN,0
2000-01-11,45.8164,46.4481,43.7025,,,DOWN,0
2000-01-12,44.89,45.8164,44.2752,,,UP,1
2000-01-13,45.5637,46.0691,45.3027,,,UP,1
2000-01-14,46.0691,45.1426,45.7575,,,UP,1
2000-01-18,48.1746,46.2375,46.1028,,,DOWN,0
2000-01-19,47.1639,48.5115,46.3723,,,DOWN,0
2000-01-20,45.9006,47.6693,46.5744,,,UP,1
2000-01-21,46.3217,46.5744,46.726,,,DOWN,0
2000-01-24,46.1533,46.1533,46.7428,,,DOWN,0
2000-01-25,45.6059,46.3217,46.2291,,,UP,1
2000-01-26,46.027,45.7743,46.0017,,,UP,1
2000-01-27,46.1112,47.0797,46.0438,,,DOWN,0
2000-01-28,45.8585,46.8271,45.9512,37.2612,,DOWN,0
2000-01-31,44.5952,45.5216,45.6395,37.7488,,UP,1
2000-02-01,47.8377,44.6373,46.0859,38.1127,,UP,1
2000-02-02,51.5435,48.4273,47.1892,38.5995,,UP,1
2000-02-03,52.3857,50.6591,48.4441,39.0543,,DOWN,0
2000-02-04,51.375,52.3857,49.5474,39.5428,,UP,1
2000-02-07,53.5648,52.3436,51.3413,40.0607,,DOWN,0
2000-02-08,53.2279,54.407,52.4194,40.5703,,DOWN,0
2000-02-09,51.0381,52.3015,52.3183,41.0234,,UP,1
2000-02-10,51.6698,51.8803,52.1751,41.4883,,DOWN,0
2000-02-11,50.7855,51.5435,52.0572,41.9254,,UP,1
2000-02-14,51.5013,50.7012,51.6445,42.3608,,UP,1
2000-02-15,55.165,51.5856,52.0319,42.8644,,DOWN,0
2000-02-16,54.5754,53.9017,52.7394,43.3395,,UP,1
2000-02-17,65.3558,54.5754,55.4766,44.0368,,DOWN,0
2000-02-18,63.166,59.6287,57.9527,44.6912,,DOWN,0
2000-02-22,61.65,64.682,59.9824,45.3069,,UP,1
2000-02-23,66.7033,61.7342,62.2901,46.0379,,UP,1
2000-02-24,71.925,68.3035,65.76,46.8633,,UP,1
2000-02-25,72.8515,69.651,67.2592,47.7409,,DOWN,0
2000-02-28,68.0508,72.8515,68.2361,48.5401,,UP,1
2000-02-29,69.9879,68.3456,69.9037,49.3032,,UP,1
2000-03-01,73.5252,70.409,71.2681,50.1546,,DOWN,0
2000-03-02,70.9407,74.0727,71.0712,50.9418,,UP,1
2000-03-03,72.7672,70.7038,71.0544,51.7689,,UP,1
2000-03-06,107.1295,76.1361,78.8701,53.2705,,DOWN,0
2000-03-07,95.6754,105.1082,84.0076,54.5136,,UP,1
2000-03-08,102.4131,98.3705,89.7852,55.8502,,UP,1
2000-03-09,103.0869,99.0443,96.2145,57.0832,,DOWN,0
2000-03-10,95.6754,103.0869,100.7961,58.0265,,DOWN,0
2000-03-13,88.4324,87.6323,97.0567,58.7272,,DOWN,0
2000-03-14,81.7789,89.6115,94.2774,59.321,,DOWN,0
2000-03-15,76.9783,86.3269,89.1904,59.8903,,UP,1
2000-03-16,79.5471,78.1574,84.4824,60.5851,,UP,1
2000-03-17,81.6105,80.3893,81.6694,61.3768,,DOWN,0
2000-03-20,76.6414,81.1473,79.3112,62.1011,,UP,1
2000-03-21,77.4836,74.6201,78.4522,62.7749,,UP,1
2000-03-22,80.4735,76.5151,79.1512,63.4554,,UP,1
2000-03-23,80.6419,80.3472,79.3702,64.1519,,UP,1
2000-03-24,80.8525,80.0103,79.2186,64.8712,,DOWN,0
2000-03-27,76.9783,79.6313,79.286,65.4995,,UP,1
2000-03-28,80.2629,76.8099,79.8418,66.1833,,DOWN,0
2000-03-29,75.4623,80.1787,78.8396,66.7291,,DOWN,0
2000-03-30,70.7459,72.8936,76.8604,67.2007,,DOWN,0
2000-03-31,70.0722,71.4197,74.7043,67.6842,,DOWN,0
2000-04-03,66.0295,69.3984,72.5146,68.0783,,DOWN,0
2000-04-04,62.9976,66.0295,69.0615,68.4152,,UP,1
2000-04-05,65.3136,62.4922,67.0318,68.8094,,UP,1
2000-04-06,70.7459,66.2822,67.0318,69.3037,,UP,1
2000-04-07,82.2,72.4304,69.4573,70.0255,,DOWN,0
2000-04-10,72.1777,82.2,70.687,70.5519,,DOWN,0
2000-04-11,68.0087,68.0508,71.6892,71.0202,,DOWN,0
2000-04-12,57.9443,66.0295,70.2153,71.2223,,UP,1
2000-04-13,60.6394,59.2918,68.194,71.4042,,DOWN,0
2000-04-14,55.7124,59.1234,62.8965,71.4708,,DOWN,0
2000-04-17,53.5648,53.9438,59.1739,71.5145,,UP,1
2000-04-18,58.6181,52.5541,57.2958,71.6156,,UP,1
