ticker,AAL US Equity,AAL US Equity,AAL US Equity,AAL US Equity,AAL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-12-09,24.6,23.95,,,,UP,1
2013-12-10,24.88,24.54,,,,UP,1
2013-12-11,25.99,25.44,,,,DOWN,0
2013-12-12,25.45,26.2,,,,UP,1
2013-12-13,26.23,25.61,25.43,,,UP,1
2013-12-16,26.61,26.63,25.832,,,DOWN,0
2013-12-17,26.1,26.47,26.076,,,UP,1
2013-12-18,26.23,25.99,26.124,,,DOWN,0
2013-12-19,26.12,26.09,26.258,,,UP,1
2013-12-20,26.33,26.16,26.278,,,DOWN,0
2013-12-23,26.18,26.29,26.192,,,UP,1
2013-12-24,26.25,26.0,26.222,,,DOWN,0
2013-12-26,26.13,26.12,26.202,,,DOWN,0
2013-12-27,24.94,25.95,25.966,,,DOWN,0
2013-12-30,24.78,24.87,25.656,,,UP,1
2013-12-31,25.25,24.74,25.47,,,UP,1
2014-01-02,25.36,25.07,25.292,,,UP,1
2014-01-03,26.54,25.75,25.374,,,UP,1
2014-01-06,27.03,26.62,25.792,,,DOWN,0
2014-01-07,26.905,27.2,26.217,,,UP,1
2014-01-08,27.63,26.37,26.693,,,UP,1
2014-01-09,29.42,28.24,27.505,,,DOWN,0
2014-01-10,29.35,29.05,28.067,,,DOWN,0
2014-01-13,28.65,29.18,28.391,,,UP,1
2014-01-14,28.87,28.75,28.784,,,DOWN,0
2014-01-15,28.84,28.9,29.026,,,UP,1
2014-01-16,29.34,28.94,29.01,,,UP,1
2014-01-17,30.02,29.3,29.144,,,UP,1
2014-01-21,30.66,30.66,29.546,,,UP,1
2014-01-22,31.2,30.71,30.012,,,UP,1
2014-01-23,31.35,30.65,30.514,,,DOWN,0
2014-01-24,30.4,31.02,30.726,,,DOWN,0
2014-01-27,30.18,30.4,30.758,,,UP,1
2014-01-28,31.96,30.32,31.018,,,UP,1
2014-01-29,32.98,32.24,31.374,,,UP,1
2014-01-30,33.8,33.36,31.864,,,DOWN,0
2014-01-31,33.55,33.44,32.494,,,UP,1
2014-02-03,33.96,33.95,33.25,,,UP,1
2014-02-04,34.05,34.04,33.668,,,DOWN,0
2014-02-05,33.8,33.82,33.832,,,UP,1
2014-02-06,34.66,33.71,34.004,,,UP,1
2014-02-07,35.67,34.81,34.428,,,DOWN,0
2014-02-10,35.58,36.1,34.752,,,DOWN,0
2014-02-11,35.13,35.58,34.968,,,DOWN,0
2014-02-12,34.69,34.89,35.146,,,UP,1
2014-02-13,35.025,34.07,35.219,,,DOWN,0
2014-02-14,34.41,34.85,34.967,,,DOWN,0
2014-02-18,34.31,34.73,34.713,,,UP,1
2014-02-19,34.59,34.25,34.605,,,UP,1
2014-02-20,35.66,34.43,34.799,29.7528,,UP,1
2014-02-21,36.17,35.78,35.028,29.9842,,UP,1
2014-02-24,36.65,36.2,35.476,30.2196,,UP,1
2014-02-25,37.0,36.63,36.014,30.4398,,DOWN,0
2014-02-26,36.75,37.12,36.446,30.6658,,DOWN,0
2014-02-27,36.56,36.88,36.626,30.8724,,UP,1
2014-02-28,36.93,36.11,36.778,31.0788,,DOWN,0
2014-03-03,36.1,36.17,36.668,31.2788,,UP,1
2014-03-04,37.34,36.57,36.736,31.501,,UP,1
2014-03-05,37.86,37.6,36.958,31.7358,,UP,1
2014-03-06,38.81,38.28,37.408,31.9854,,UP,1
2014-03-07,39.02,39.22,37.826,32.2422,,DOWN,0
2014-03-10,38.96,38.7,38.398,32.4964,,DOWN,0
2014-03-11,38.08,38.65,38.546,32.7354,,DOWN,0
2014-03-12,37.5599,37.97,38.486,32.9878,,DOWN,0
2014-03-13,36.74,37.9,38.072,33.227,,DOWN,0
2014-03-14,36.34,36.0,37.536,33.4488,,UP,1
2014-03-17,37.7,36.62,37.284,33.6956,,DOWN,0
2014-03-18,37.35,37.75,37.138,33.9118,,DOWN,0
2014-03-19,37.08,37.27,37.042,34.1128,,DOWN,0
2014-03-20,36.56,36.61,37.006,34.3059,,DOWN,0
2014-03-21,36.11,36.76,36.96,34.4755,,UP,1
2014-03-24,36.8,36.25,36.78,34.6231,,UP,1
2014-03-25,37.9,36.88,36.89,34.7941,,DOWN,0
2014-03-26,36.7,38.15,36.814,34.9551,,DOWN,0
2014-03-27,35.77,36.62,36.656,35.0931,,DOWN,0
2014-03-28,35.39,35.77,36.512,35.2241,,UP,1
2014-03-31,36.6,35.84,36.472,35.3693,,UP,1
2014-04-01,37.94,36.95,36.48,35.5277,,DOWN,0
2014-04-02,37.71,38.24,36.682,35.6687,,DOWN,0
2014-04-03,37.34,37.72,36.996,35.7915,,DOWN,0
2014-04-04,36.56,37.41,37.23,35.8957,,DOWN,0
2014-04-07,35.78,36.78,37.066,36.0033,,UP,1
2014-04-08,35.98,36.0,36.674,36.1193,,UP,1
2014-04-09,36.9,36.08,36.512,36.2181,,DOWN,0
2014-04-10,35.29,36.7,36.102,36.2643,,DOWN,0
2014-04-11,33.6799,34.1,35.526,36.2619,,DOWN,0
