ticker,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-12-10,35.0,37.0,,,,UP,1
2012-12-11,35.32,35.05,,,,DOWN,0
2012-12-12,33.36,35.25,,,,UP,1
2012-12-13,33.8,33.5,,,,DOWN,0
2012-12-14,33.0,33.9,34.096,,,UP,1
2012-12-17,33.4,33.5,33.776,,,UP,1
2012-12-18,34.43,33.4,33.598,,,DOWN,0
2012-12-19,34.25,34.8,33.776,,,UP,1
2012-12-20,34.32,34.5,33.88,,,UP,1
2012-12-21,35.35,34.29,34.35,,,DOWN,0
2012-12-24,35.25,35.6,34.72,,,DOWN,0
2012-12-26,34.9,35.27,34.814,,,UP,1
2012-12-27,34.97,35.37,34.958,,,DOWN,0
2012-12-28,34.52,34.67,34.998,,,DOWN,0
2012-12-31,34.16,34.04,34.76,,,UP,1
2013-01-02,35.12,34.92,34.734,,,DOWN,0
2013-01-03,34.83,35.0,34.72,,,DOWN,0
2013-01-04,34.3908,34.62,34.6042,,,UP,1
2013-01-07,34.46,34.15,34.5922,,,DOWN,0
2013-01-08,33.71,34.29,34.5022,,,UP,1
2013-01-09,33.9,33.61,34.2582,,,UP,1
2013-01-10,34.0,33.66,34.0922,,,DOWN,0
2013-01-11,33.85,33.59,33.984,,,UP,1
2013-01-14,34.09,34.01,33.91,,,UP,1
2013-01-15,34.6,33.71,34.088,,,UP,1
2013-01-16,35.54,34.47,34.416,,,UP,1
2013-01-17,36.42,35.75,34.9,,,UP,1
2013-01-18,37.32,36.43,35.594,,,DOWN,0
2013-01-22,36.42,36.98,36.06,,,UP,1
2013-01-23,37.8,36.91,36.7,,,DOWN,0
2013-01-24,37.46,37.79,37.084,,,UP,1
2013-01-25,37.6,37.52,37.32,,,DOWN,0
2013-01-28,36.89,37.65,37.234,,,UP,1
2013-01-29,37.31,36.71,37.412,,,DOWN,0
2013-01-30,36.93,36.81,37.238,,,DOWN,0
2013-01-31,36.69,36.84,37.084,,,UP,1
2013-02-01,37.18,36.84,37.0,,,UP,1
2013-02-04,37.28,36.64,37.078,,,DOWN,0
2013-02-05,37.2,37.42,37.056,,,DOWN,0
2013-02-06,37.14,36.96,37.098,,,DOWN,0
2013-02-07,36.42,37.57,37.044,,,DOWN,0
2013-02-08,36.25,36.37,36.858,,,DOWN,0
2013-02-11,35.85,36.13,36.572,,,DOWN,0
2013-02-12,35.42,35.77,36.216,,,DOWN,0
2013-02-13,35.27,35.42,35.842,,,UP,1
2013-02-14,36.57,35.05,35.872,,,UP,1
2013-02-15,37.58,36.93,36.138,,,UP,1
2013-02-19,38.19,37.54,36.606,,,UP,1
2013-02-20,38.61,38.16,37.244,,,UP,1
2013-02-21,38.78,38.49,37.946,35.662,,DOWN,0
2013-02-22,38.46,38.79,38.324,35.7312,,DOWN,0
2013-02-25,37.37,38.54,38.282,35.7722,,DOWN,0
2013-02-26,37.09,37.6,38.062,35.8468,,DOWN,0
2013-02-27,36.73,36.97,37.686,35.9054,,UP,1
2013-02-28,36.92,36.66,37.314,35.9838,,UP,1
2013-03-01,37.81,36.8,37.184,36.072,,UP,1
2013-03-04,38.24,37.53,37.358,36.1482,,DOWN,0
2013-03-05,37.51,38.45,37.442,36.2134,,UP,1
2013-03-06,37.74,37.56,37.644,36.2818,,DOWN,0
2013-03-07,37.49,37.65,37.758,36.3246,,DOWN,0
2013-03-08,37.34,37.64,37.664,36.3664,,UP,1
2013-03-11,37.67,37.25,37.55,36.4218,,DOWN,0
2013-03-12,37.17,37.7,37.482,36.4658,,DOWN,0
2013-03-13,37.17,37.2,37.368,36.5188,,UP,1
2013-03-14,37.56,37.43,37.382,36.5868,,UP,1
2013-03-15,38.5,37.44,37.614,36.6544,,DOWN,0
2013-03-18,38.16,38.05,37.712,36.721,,UP,1
2013-03-19,38.36,38.25,37.95,36.8004,,UP,1
2013-03-20,39.06,38.5,38.328,36.8924,,DOWN,0
2013-03-21,38.49,38.82,38.514,36.988,,UP,1
2013-03-22,38.97,38.57,38.608,37.0894,,UP,1
2013-03-25,39.32,39.12,38.84,37.1958,,UP,1
2013-03-26,40.21,39.57,39.21,37.323,,DOWN,0
2013-03-27,40.15,40.22,39.428,37.4442,,UP,1
2013-03-28,40.78,40.26,39.886,37.5678,,UP,1
2013-04-01,41.12,39.96,40.316,37.6794,,DOWN,0
2013-04-02,40.71,41.22,40.594,37.7652,,DOWN,0
2013-04-03,40.57,40.75,40.666,37.8302,,UP,1
2013-04-04,41.6,40.77,40.956,37.9338,,DOWN,0
2013-04-05,41.31,41.31,41.062,38.004,,UP,1
2013-04-08,41.77,41.27,41.192,38.0902,,UP,1
2013-04-09,42.55,41.96,41.56,38.1892,,UP,1
2013-04-10,43.62,42.65,42.17,38.3238,,DOWN,0
2013-04-11,43.2,43.42,42.49,38.4416,,DOWN,0
2013-04-12,43.09,42.97,42.846,38.5648,,DOWN,0
2013-04-15,41.44,42.87,42.78,38.6598,,UP,1
