ticker,ABC US Equity,ABC US Equity,ABC US Equity,ABC US Equity,ABC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,3.7752,3.7601,5.7275,3.6752,3.1785,DOWN,0
2000-01-04,3.5175,3.5781,5.7019,3.6448,3.1897,UP,1
2000-01-05,3.7904,3.5478,5.6793,3.6903,3.2045,UP,1
2000-01-06,4.0785,3.8814,5.6581,3.7692,3.2252,UP,1
2000-01-07,4.6091,4.0785,5.6386,3.9541,3.2515,UP,1
2000-01-10,4.7304,4.6091,5.6204,4.1452,3.2755,UP,1
2000-01-11,4.882,4.8214,5.6029,4.4181,3.3004,DOWN,0
2000-01-12,4.882,4.882,5.5864,4.6364,3.3316,UP,1
2000-01-13,5.7462,4.882,5.5737,4.9699,3.3807,DOWN,0
2000-01-14,5.3823,5.5794,5.5597,5.1246,3.4247,DOWN,0
2000-01-18,5.1549,5.1549,5.5463,5.2095,3.4647,UP,1
2000-01-19,5.1701,5.1549,5.5359,5.2671,3.5069,DOWN,0
2000-01-20,4.8972,5.0791,5.5252,5.2701,3.5432,DOWN,0
2000-01-21,4.6698,4.7607,5.5168,5.0549,3.5736,UP,1
2000-01-24,4.7152,4.7304,5.5059,4.9214,3.6024,DOWN,0
2000-01-25,4.5485,4.7152,5.494,4.8001,3.6306,DOWN,0
2000-01-26,4.3968,4.5485,5.4803,4.6455,3.6548,UP,1
2000-01-27,4.5485,4.4272,5.466,4.5758,3.6815,DOWN,0
2000-01-28,4.5485,4.6091,5.4497,4.5515,3.7097,DOWN,0
2000-01-31,4.3968,4.5485,5.4337,4.4878,3.7355,UP,1
2000-02-01,4.5333,4.791,5.4187,4.4848,3.7592,UP,1
2000-02-02,4.5788,4.4727,5.4035,4.5212,3.7843,DOWN,0
2000-02-03,4.5485,4.5485,5.3892,4.5212,3.811,DOWN,0
2000-02-04,4.4727,4.5485,5.3739,4.506,3.8407,DOWN,0
2000-02-07,4.4423,4.412,5.3582,4.5151,3.8698,DOWN,0
