ticker,ABMD US Equity,ABMD US Equity,ABMD US Equity,ABMD US Equity,ABMD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,18.25,18.516,9.5377,18.2,16.0438,DOWN,0
2000-01-04,17.813,18.5,9.603,18.2125,16.2013,UP,1
2000-01-05,18.0,17.063,9.6688,18.2125,16.3288,UP,1
2000-01-06,18.031,17.625,9.7339,18.0938,16.4531,DOWN,0
2000-01-07,17.938,18.0,9.7936,18.0063,16.6094,UP,1
2000-01-10,20.5,18.063,9.8664,18.4563,16.8094,DOWN,0
2000-01-11,19.813,20.125,9.9346,18.8563,16.9881,DOWN,0
2000-01-12,19.594,20.313,10.0029,19.175,17.175,UP,1
2000-01-13,21.0,19.25,10.0766,19.7688,17.3888,UP,1
2000-01-14,21.375,21.438,10.1522,20.4563,17.6112,UP,1
2000-01-18,26.0,22.5,10.2516,21.5563,17.9219,DOWN,0
2000-01-19,24.375,25.75,10.3433,22.4688,18.1831,DOWN,0
2000-01-20,23.5,23.531,10.4271,23.25,18.4256,UP,1
2000-01-21,29.438,23.5,10.5402,24.9375,18.7875,UP,1
2000-01-24,31.375,30.125,10.6638,26.9375,19.185,DOWN,0
2000-01-25,28.75,31.5,10.775,27.4875,19.5025,UP,1
2000-01-26,28.875,29.875,10.8869,28.3875,19.7688,UP,1
2000-01-27,29.0,29.25,10.9972,29.4875,20.055,UP,1
2000-01-28,29.438,29.0,11.1104,29.4875,20.3625,DOWN,0
2000-01-31,29.25,29.313,11.2222,29.0625,20.6538,DOWN,0
2000-02-01,28.75,27.75,11.3324,29.0625,20.9488,DOWN,0
2000-02-02,28.125,28.531,11.4393,28.9125,21.2213,DOWN,0
2000-02-03,26.75,27.938,11.5393,28.4625,21.4738,UP,1
2000-02-04,27.563,26.875,11.6421,28.0875,21.7313,UP,1
2000-02-07,29.563,30.188,11.7521,28.15,22.0363,DOWN,0
2000-02-08,28.375,29.188,11.8539,28.075,22.3163,DOWN,0
