ticker,ADBE US Equity,ADBE US Equity,ADBE US Equity,ADBE US Equity,ADBE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,16.391,16.813,12.1909,16.5438,17.0469,DOWN,0
2000-01-04,15.016,15.75,12.2333,16.2406,17.0252,UP,1
2000-01-05,15.313,14.563,12.2782,16.0063,17.0145,UP,1
2000-01-06,15.438,15.359,12.3216,15.7938,17.0088,UP,1
2000-01-07,16.188,15.391,12.3676,15.6688,17.0191,UP,1
2000-01-10,16.813,16.344,12.4161,15.7531,17.0228,DOWN,0
2000-01-11,15.656,16.797,12.4575,15.8813,16.9862,DOWN,0
2000-01-12,15.578,15.688,12.5002,15.9344,16.955,UP,1
2000-01-13,16.406,15.703,12.5468,16.1281,16.9428,UP,1
2000-01-14,16.578,16.656,12.5944,16.2063,16.9303,DOWN,0
2000-01-18,16.0,16.266,12.6396,16.0438,16.9059,DOWN,0
2000-01-19,15.781,15.93,12.6838,16.0688,16.8681,UP,1
2000-01-20,15.953,15.906,12.7298,16.1438,16.8303,DOWN,0
2000-01-21,15.719,16.125,12.7748,16.0063,16.7847,DOWN,0
2000-01-24,15.141,15.773,12.8153,15.7188,16.7225,UP,1
2000-01-25,15.75,15.039,12.8588,15.6688,16.6753,DOWN,0
2000-01-26,15.297,15.781,12.8998,15.5719,16.6056,UP,1
2000-01-27,15.672,15.203,12.9424,15.5156,16.55,DOWN,0
2000-01-28,14.391,15.297,12.9791,15.25,16.455,DOWN,0
2000-01-31,13.766,14.281,13.0108,14.975,16.3553,UP,1
2000-02-01,13.969,13.969,13.0438,14.6188,16.2541,UP,1
2000-02-02,15.328,13.984,13.0837,14.625,16.1825,UP,1
2000-02-03,17.266,15.953,13.1327,14.9438,16.1475,UP,1
2000-02-04,18.5,17.18,13.1866,15.7656,16.1438,UP,1
2000-02-07,19.266,18.438,13.2432,16.8656,16.1538,UP,1
2000-02-08,20.938,19.391,13.3079,18.2594,16.2034,UP,1
