ticker,ADSK US Equity,ADSK US Equity,ADSK US Equity,ADSK US Equity,ADSK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,8.3438,8.5,6.5796,8.2031,6.5584,DOWN,0
2000-01-04,7.9375,8.0469,6.5688,8.2,6.6249,DOWN,0
2000-01-05,7.4375,7.75,6.5565,8.0313,6.6824,DOWN,0
2000-01-06,6.9844,7.375,6.5404,7.8281,6.7334,UP,1
2000-01-07,7.8125,7.0156,6.5301,7.7031,6.804,DOWN,0
2000-01-10,7.7188,7.9063,6.518,7.5781,6.869,DOWN,0
2000-01-11,7.5156,7.625,6.5015,7.4938,6.9255,DOWN,0
2000-01-12,7.3906,7.5,6.4859,7.4844,6.9799,DOWN,0
2000-01-13,7.3125,7.3906,6.4719,7.55,7.0337,UP,1
2000-01-14,7.5313,7.3516,6.4631,7.4938,7.089,DOWN,0
2000-01-18,7.3281,7.4375,6.4524,7.4156,7.1455,UP,1
2000-01-19,7.5469,7.2734,6.4454,7.4219,7.2062,UP,1
2000-01-20,7.5625,7.5625,6.4451,7.4563,7.2593,UP,1
2000-01-21,7.6875,7.5938,6.4467,7.5313,7.3115,UP,1
2000-01-24,8.4063,7.8594,6.4528,7.7063,7.3743,DOWN,0
2000-01-25,8.2656,8.3516,6.4579,7.8938,7.4355,DOWN,0
2000-01-26,8.0781,8.125,6.4652,8.0,7.4874,UP,1
2000-01-27,8.125,8.0781,6.4718,8.1125,7.5437,DOWN,0
2000-01-28,7.7188,8.0,6.4757,8.1188,7.5902,DOWN,0
2000-01-31,7.6406,7.6563,6.4775,7.9656,7.6384,UP,1
2000-02-01,7.9219,7.5469,6.4807,7.8969,7.6818,UP,1
2000-02-02,7.9688,7.875,6.4876,7.875,7.7174,UP,1
2000-02-03,8.25,8.0,6.4976,7.9,7.7621,DOWN,0
2000-02-04,8.1719,8.25,6.5072,7.9906,7.798,UP,1
2000-02-07,9.1406,8.1875,6.5194,8.2906,7.8412,UP,1
