ticker,AEE US Equity,AEE US Equity,AEE US Equity,AEE US Equity,AEE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,32.3125,32.5625,37.804,32.7875,34.8898,DOWN,0
2000-01-04,32.3125,32.3125,37.7774,32.6125,34.811,UP,1
2000-01-05,33.5625,32.3125,37.7599,32.75,34.7585,DOWN,0
2000-01-06,33.4375,33.5625,37.7368,32.875,34.6948,UP,1
2000-01-07,33.9375,33.5,37.7171,33.1125,34.6235,DOWN,0
2000-01-10,33.6875,33.9375,37.6984,33.3875,34.5373,DOWN,0
2000-01-11,33.625,33.625,37.6796,33.65,34.4535,UP,1
2000-01-12,33.8125,33.75,37.6659,33.7,34.3723,UP,1
2000-01-13,33.9375,33.75,37.6546,33.8,34.2898,DOWN,0
2000-01-14,33.4375,33.875,37.6387,33.7,34.2035,DOWN,0
2000-01-18,32.3125,33.4375,37.6153,33.425,34.1023,UP,1
2000-01-19,33.125,32.4375,37.5993,33.325,34.0148,DOWN,0
2000-01-20,33.0,32.9375,37.5837,33.1625,33.9285,UP,1
2000-01-21,33.25,33.0625,37.5659,33.025,33.8523,UP,1
2000-01-24,33.4375,33.25,37.5515,33.025,33.7848,DOWN,0
2000-01-25,32.625,33.375,37.5312,33.0875,33.7023,UP,1
2000-01-26,33.0,32.75,37.5143,33.0625,33.626,DOWN,0
2000-01-27,32.9375,32.875,37.4981,33.05,33.556,DOWN,0
2000-01-28,32.3125,32.6875,37.4784,32.8625,33.4698,UP,1
2000-01-31,32.5625,32.375,37.4587,32.6875,33.3935,DOWN,0
2000-02-01,32.5625,32.8125,37.4346,32.675,33.3148,DOWN,0
2000-02-02,32.5625,32.8125,37.4043,32.5875,33.2498,UP,1
2000-02-03,32.9375,32.5625,37.3743,32.5875,33.2048,DOWN,0
2000-02-04,31.9375,33.0,37.3415,32.5125,33.1547,DOWN,0
2000-02-07,31.75,31.9375,37.3087,32.35,33.1034,UP,1
