ticker,AEP US Equity,AEP US Equity,AEP US Equity,AEP US Equity,AEP US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,31.4375,32.0,36.947,32.125,32.7068,UP,1
2000-01-04,31.8125,31.375,36.8998,31.9875,32.6755,UP,1
2000-01-05,33.0,31.8125,36.8592,32.1875,32.6705,UP,1
2000-01-06,33.1875,32.75,36.8142,32.3125,32.6693,UP,1
2000-01-07,33.625,33.375,36.7736,32.6125,32.6593,DOWN,0
2000-01-10,33.5,33.625,36.7383,33.025,32.6405,UP,1
2000-01-11,33.625,33.5,36.7026,33.3875,32.623,UP,1
2000-01-12,33.875,33.5625,36.6708,33.5625,32.6055,DOWN,0
2000-01-13,33.8125,33.875,36.6414,33.6875,32.5793,DOWN,0
2000-01-14,33.8125,33.875,36.6076,33.725,32.5555,DOWN,0
2000-01-18,33.0,33.6875,36.5704,33.625,32.5205,UP,1
2000-01-19,33.4375,33.0,36.5398,33.5875,32.4855,DOWN,0
2000-01-20,33.0625,33.375,36.507,33.425,32.458,UP,1
2000-01-21,34.0,33.3125,36.4761,33.4625,32.458,DOWN,0
2000-01-24,33.875,34.0,36.4454,33.475,32.458,DOWN,0
2000-01-25,32.875,33.875,36.4083,33.45,32.4393,UP,1
2000-01-26,33.6875,33.125,36.3783,33.5,32.4455,DOWN,0
2000-01-27,33.5625,33.6875,36.3492,33.6,32.4505,DOWN,0
2000-01-28,33.0,33.5625,36.3186,33.4,32.4355,UP,1
2000-01-31,33.5,33.1875,36.2883,33.325,32.438,UP,1
2000-02-01,33.6875,33.5,36.2558,33.4875,32.4505,DOWN,0
2000-02-02,33.625,33.625,36.2176,33.475,32.4693,UP,1
2000-02-03,34.75,33.6875,36.1833,33.7125,32.5243,DOWN,0
2000-02-04,34.0625,34.9375,36.147,33.925,32.568,DOWN,0
2000-02-07,33.6875,34.0,36.1111,33.9625,32.603,DOWN,0
2000-02-08,33.3125,33.125,36.0736,33.8875,32.6343,DOWN,0
