ticker,AES US Equity,AES US Equity,AES US Equity,AES US Equity,AES US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,36.25,37.375,28.0055,36.1688,30.5263,DOWN,0
2000-01-04,34.8125,35.9375,28.0827,36.025,30.6688,UP,1
2000-01-05,35.1875,34.8438,28.1613,35.925,30.8213,UP,1
2000-01-06,35.4688,35.3125,28.2412,35.8188,30.9869,UP,1
2000-01-07,36.1563,35.3438,28.3202,35.575,31.1575,UP,1
2000-01-10,37.7813,36.25,28.4104,35.8813,31.3581,UP,1
2000-01-11,37.9688,37.9688,28.5073,36.5125,31.5531,UP,1
2000-01-12,38.75,38.0,28.6076,37.225,31.7644,UP,1
2000-01-13,39.4063,38.6875,28.7115,38.0125,31.9788,UP,1
2000-01-14,41.625,40.5,28.8257,39.1063,32.2519,DOWN,0
2000-01-18,38.9688,40.875,28.9235,39.3438,32.4738,UP,1
2000-01-19,39.1875,39.0,29.0218,39.5875,32.6881,DOWN,0
2000-01-20,38.8438,39.5,29.1185,39.6063,32.8981,UP,1
2000-01-21,40.0,39.25,29.2155,39.725,33.1325,DOWN,0
2000-01-24,40.0,40.0,29.3065,39.4,33.3581,DOWN,0
2000-01-25,38.0,40.0,29.3801,39.2063,33.54,DOWN,0
2000-01-26,36.2188,37.875,29.4471,38.6125,33.68,UP,1
2000-01-27,37.9375,36.75,29.5171,38.4313,33.8413,UP,1
2000-01-28,38.1875,38.0625,29.5887,38.0688,33.9938,UP,1
2000-01-31,40.0625,39.0,29.663,38.0813,34.1919,UP,1
2000-02-01,40.375,40.0625,29.7373,38.5563,34.3869,DOWN,0
2000-02-02,39.6563,40.3438,29.8087,39.2438,34.5706,UP,1
2000-02-03,40.1875,39.9063,29.8877,39.6938,34.7713,DOWN,0
2000-02-04,37.625,40.1875,29.9568,39.5813,34.9381,UP,1
2000-02-07,40.0,38.5,30.0368,39.5688,35.1713,UP,1
2000-02-08,42.2188,40.625,30.1232,39.9375,35.4463,UP,1
