ticker,AFL US Equity,AFL US Equity,AFL US Equity,AFL US Equity,AFL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,11.1875,11.7344,11.9281,11.5469,12.1538,DOWN,0
2000-01-04,10.8906,10.8125,11.9179,11.475,12.1438,DOWN,0
2000-01-05,10.8281,10.9063,11.907,11.2781,12.1356,UP,1
2000-01-06,11.0469,10.7813,11.8975,11.15,12.1313,UP,1
2000-01-07,11.2656,11.0313,11.8885,11.0438,12.1178,DOWN,0
2000-01-10,10.5938,11.2344,11.8765,10.925,12.0778,DOWN,0
2000-01-11,10.375,10.5,11.8633,10.8219,12.0297,DOWN,0
2000-01-12,10.2031,10.3281,11.8502,10.6969,11.9884,UP,1
2000-01-13,10.4375,10.2969,11.8344,10.575,11.9447,UP,1
2000-01-14,10.7344,10.5469,11.8234,10.4688,11.9034,DOWN,0
2000-01-18,10.0,10.6406,11.8089,10.35,11.8428,DOWN,0
2000-01-19,9.4063,9.8906,11.7929,10.1563,11.7694,UP,1
2000-01-20,10.1719,9.6406,11.7813,10.15,11.7097,DOWN,0
2000-01-21,9.6875,10.1719,11.7676,10.0,11.6434,DOWN,0
2000-01-24,9.5781,9.7344,11.7534,9.7688,11.5781,UP,1
2000-01-25,9.9844,9.5625,11.7401,9.7656,11.5203,UP,1
2000-01-26,10.4844,10.0625,11.7303,9.9813,11.4719,DOWN,0
2000-01-27,10.2969,10.75,11.7181,10.0063,11.4144,UP,1
2000-01-28,10.5,10.1719,11.7082,10.1688,11.3544,UP,1
2000-01-31,10.8594,10.5156,11.6995,10.425,11.3066,UP,1
2000-02-01,11.0781,10.9688,11.6915,10.6438,11.2638,UP,1
2000-02-02,11.0938,11.0313,11.6838,10.7656,11.2259,UP,1
2000-02-03,11.2344,11.0,11.6742,10.9531,11.1984,DOWN,0
2000-02-04,10.9844,11.0625,11.6632,11.05,11.1688,DOWN,0
2000-02-07,10.6875,10.9219,11.6515,11.0156,11.1353,DOWN,0
