ticker,AIZ US Equity,AIZ US Equity,AIZ US Equity,AIZ US Equity,AIZ US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2004-02-04,22.0,22.0,,,,UP,1
2004-02-05,24.7,23.75,,,,UP,1
2004-02-06,24.85,24.71,,,,DOWN,0
2004-02-09,24.47,24.6,,,,DOWN,0
2004-02-10,24.35,24.15,24.074,,,DOWN,0
2004-02-11,24.25,24.28,24.524,,,UP,1
2004-02-12,24.68,24.19,24.52,,,UP,1
2004-02-13,24.7,24.79,24.49,,,DOWN,0
2004-02-17,24.6,24.75,24.516,,,UP,1
2004-02-18,25.4,24.6,24.726,,,UP,1
2004-02-19,25.68,25.25,25.012,,,DOWN,0
2004-02-20,25.35,25.69,25.146,,,DOWN,0
2004-02-23,24.55,25.39,25.116,,,UP,1
2004-02-24,24.8,24.4,25.156,,,UP,1
2004-02-25,24.85,24.8,25.046,,,UP,1
2004-02-26,25.24,24.85,24.958,,,UP,1
2004-02-27,25.74,25.15,25.036,,,UP,1
2004-03-01,25.8,25.74,25.286,,,UP,1
2004-03-02,25.94,25.95,25.514,,,DOWN,0
2004-03-03,25.48,25.7,25.64,,,DOWN,0
2004-03-04,25.21,25.48,25.634,,,UP,1
2004-03-05,25.55,25.02,25.596,,,DOWN,0
2004-03-08,25.48,25.55,25.532,,,DOWN,0
2004-03-09,25.0,25.5,25.344,,,DOWN,0
2004-03-10,24.65,24.8,25.178,,,DOWN,0
2004-03-11,24.2,24.15,24.976,,,UP,1
2004-03-12,24.5,24.34,24.766,,,DOWN,0
2004-03-15,24.0,24.75,24.47,,,UP,1
2004-03-16,24.23,24.5,24.316,,,DOWN,0
2004-03-17,24.07,24.2,24.2,,,DOWN,0
2004-03-18,23.8,24.07,24.12,,,DOWN,0
2004-03-19,23.74,23.75,23.968,,,DOWN,0
2004-03-22,23.7,23.4,23.908,,,UP,1
2004-03-23,24.0,23.75,23.862,,,DOWN,0
2004-03-24,23.8,24.0,23.808,,,UP,1
2004-03-25,23.96,23.65,23.84,,,UP,1
2004-03-26,24.1,23.87,23.912,,,UP,1
2004-03-29,24.37,24.11,24.046,,,UP,1
2004-03-30,24.72,24.2,24.19,,,UP,1
2004-03-31,25.15,24.75,24.46,,,UP,1
2004-04-01,25.25,25.25,24.718,,,DOWN,0
2004-04-02,25.22,25.36,24.942,,,UP,1
2004-04-05,25.51,25.05,25.17,,,UP,1
2004-04-06,25.94,25.45,25.414,,,DOWN,0
2004-04-07,25.73,25.75,25.53,,,UP,1
2004-04-08,26.22,25.84,25.724,,,DOWN,0
2004-04-12,25.88,26.15,25.856,,,DOWN,0
2004-04-13,25.25,25.98,25.804,,,DOWN,0
2004-04-14,25.19,25.25,25.654,,,UP,1
2004-04-15,25.25,25.3,25.558,24.822,,UP,1
2004-04-16,25.54,25.3,25.422,24.8928,,UP,1
2004-04-19,25.73,25.45,25.392,24.9134,,DOWN,0
2004-04-20,25.55,25.7,25.452,24.9274,,DOWN,0
2004-04-21,25.2,25.5,25.454,24.942,,DOWN,0
2004-04-22,25.2,25.35,25.444,24.959,,DOWN,0
2004-04-23,25.03,25.2,25.342,24.9746,,DOWN,0
2004-04-26,24.9,24.85,25.176,24.979,,UP,1
2004-04-27,25.17,24.85,25.1,24.9884,,DOWN,0
2004-04-28,25.0,25.25,25.06,24.9964,,DOWN,0
2004-04-29,24.72,24.89,24.964,24.9828,,DOWN,0
2004-04-30,24.36,24.63,24.83,24.9564,,UP,1
2004-05-03,25.0,24.56,24.85,24.9494,,DOWN,0
2004-05-04,24.75,24.95,24.766,24.9534,,DOWN,0
2004-05-05,24.69,24.9,24.704,24.9512,,DOWN,0
2004-05-06,24.65,24.7,24.69,24.9472,,DOWN,0
2004-05-07,24.1,24.5,24.638,24.9244,,DOWN,0
2004-05-10,24.0,24.0,24.438,24.8896,,UP,1
2004-05-11,24.26,23.94,24.34,24.8588,,UP,1
2004-05-12,24.4,24.65,24.282,24.828,,UP,1
2004-05-13,24.99,24.25,24.35,24.8182,,UP,1
2004-05-14,25.0,24.99,24.53,24.814,,DOWN,0
2004-05-17,24.37,24.8,24.604,24.7904,,UP,1
2004-05-18,24.84,24.5,24.72,24.7776,,DOWN,0
2004-05-19,24.75,24.8,24.79,24.7726,,UP,1
2004-05-20,25.0,24.75,24.792,24.7796,,DOWN,0
2004-05-21,24.93,24.99,24.778,24.7942,,UP,1
2004-05-24,25.0,25.05,24.904,24.8042,,DOWN,0
2004-05-25,24.65,25.0,24.866,24.8172,,UP,1
2004-05-26,24.8,24.7,24.876,24.8286,,DOWN,0
2004-05-27,24.6,24.7,24.796,24.8392,,UP,1
2004-05-28,25.1,24.65,24.83,24.8652,,UP,1
2004-06-01,25.16,25.0,24.862,24.8936,,UP,1
2004-06-02,25.4,25.41,25.012,24.9276,,UP,1
2004-06-03,25.63,25.43,25.178,24.9602,,UP,1
2004-06-04,25.8,25.55,25.418,25.0002,,DOWN,0
2004-06-07,25.55,25.9,25.508,25.032,,UP,1
