ticker,AJG US Equity,AJG US Equity,AJG US Equity,AJG US Equity,AJG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,15.9063,15.9375,12.9357,16.0625,13.9769,DOWN,0
2000-01-04,15.1875,15.75,12.9545,15.8813,14.0231,UP,1
2000-01-05,15.25,15.0313,12.9742,15.7406,14.0756,DOWN,0
2000-01-06,15.2236,15.25,12.9935,15.551,14.1323,UP,1
2000-01-07,15.8125,15.5,13.0137,15.476,14.1963,DOWN,0
2000-01-10,15.2344,15.5,13.0306,15.3416,14.246,DOWN,0
2000-01-11,15.1406,15.2344,13.0482,15.3322,14.2901,DOWN,0
2000-01-12,15.0156,15.0781,13.0654,15.2854,14.3338,DOWN,0
2000-01-13,14.9844,14.9531,13.0828,15.2375,14.376,DOWN,0
2000-01-14,14.9063,14.9844,13.0995,15.0563,14.4117,UP,1
2000-01-18,15.0156,15.125,13.1158,15.0125,14.4467,DOWN,0
2000-01-19,15.0,14.9688,13.1308,14.9844,14.4692,DOWN,0
2000-01-20,14.9844,15.0625,13.1462,14.9781,14.4888,DOWN,0
2000-01-21,14.2813,14.9219,13.1581,14.8375,14.5001,DOWN,0
2000-01-24,14.1406,14.2188,13.1682,14.6844,14.5098,DOWN,0
2000-01-25,13.9375,14.1406,13.1767,14.4688,14.5142,UP,1
2000-01-26,14.2344,14.0,13.1874,14.3156,14.5229,DOWN,0
2000-01-27,13.8438,14.2969,13.1958,14.0875,14.5298,DOWN,0
2000-01-28,13.5156,13.75,13.2028,13.9344,14.5226,DOWN,0
2000-01-31,13.4375,13.6406,13.2096,13.7938,14.5188,UP,1
2000-02-01,13.6406,13.5,13.2162,13.7344,14.5185,UP,1
2000-02-02,13.7031,13.7031,13.2242,13.6281,14.5232,UP,1
2000-02-03,14.7188,13.8125,13.2374,13.8031,14.5448,DOWN,0
2000-02-04,14.6719,14.875,13.2504,14.0344,14.5595,DOWN,0
2000-02-07,14.0,14.6563,13.2603,14.1469,14.5713,DOWN,0
