ticker,ALLE US Equity,ALLE US Equity,ALLE US Equity,ALLE US Equity,ALLE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-11-18,48.475,49.75,,,,DOWN,0
2013-11-19,45.8,48.99,,,,DOWN,0
2013-11-20,44.65,45.98,,,,DOWN,0
2013-11-21,43.79,44.5,,,,UP,1
2013-11-22,43.99,43.9,45.341,,,UP,1
2013-11-25,44.18,44.28,44.482,,,DOWN,0
2013-11-26,43.2,45.0,43.962,,,UP,1
2013-11-27,43.24,43.55,43.68,,,DOWN,0
2013-11-29,43.24,42.75,43.57,,,DOWN,0
2013-12-02,43.14,43.9,43.4,,,DOWN,0
2013-12-03,42.9,42.8,43.144,,,DOWN,0
2013-12-04,41.83,42.43,42.87,,,DOWN,0
2013-12-05,41.05,42.28,42.432,,,DOWN,0
2013-12-06,40.7,40.75,41.924,,,UP,1
2013-12-09,41.18,40.7,41.532,,,UP,1
2013-12-10,42.56,41.07,41.464,,,DOWN,0
2013-12-11,42.46,42.32,41.59,,,UP,1
2013-12-12,42.97,42.01,41.974,,,UP,1
2013-12-13,43.25,42.92,42.484,,,UP,1
2013-12-16,43.69,43.01,42.986,,,UP,1
2013-12-17,43.75,43.43,43.224,,,UP,1
2013-12-18,44.27,43.65,43.586,,,UP,1
2013-12-19,44.45,43.96,43.882,,,DOWN,0
2013-12-20,44.26,44.3,44.084,,,UP,1
2013-12-23,44.65,44.17,44.276,,,DOWN,0
2013-12-24,44.58,44.76,44.442,,,UP,1
2013-12-26,44.7,44.86,44.528,,,DOWN,0
2013-12-27,44.64,44.77,44.566,,,DOWN,0
2013-12-30,44.12,44.45,44.538,,,UP,1
2013-12-31,44.19,44.23,44.446,,,DOWN,0
2014-01-02,43.65,44.08,44.26,,,UP,1
2014-01-03,43.96,43.57,44.112,,,DOWN,0
2014-01-06,43.68,43.97,43.92,,,UP,1
2014-01-07,43.87,42.16,43.87,,,UP,1
2014-01-08,43.88,44.02,43.808,,,UP,1
2014-01-09,44.13,43.89,43.904,,,UP,1
2014-01-10,45.73,44.17,44.258,,,UP,1
2014-01-13,47.04,45.7,44.93,,,UP,1
2014-01-14,47.8,47.16,45.716,,,DOWN,0
2014-01-15,47.5,47.97,46.44,,,DOWN,0
2014-01-16,47.4,47.28,47.094,,,UP,1
2014-01-17,48.0,47.52,47.548,,,UP,1
2014-01-21,48.17,49.38,47.774,,,UP,1
2014-01-22,48.51,48.11,47.916,,,DOWN,0
2014-01-23,47.72,48.68,47.96,,,DOWN,0
2014-01-24,46.84,47.62,47.848,,,DOWN,0
2014-01-27,46.6,45.2,47.568,,,UP,1
2014-01-28,47.73,46.77,47.48,,,UP,1
2014-01-29,47.78,47.35,47.334,,,UP,1
2014-01-30,49.42,47.91,47.674,44.7863,,DOWN,0
2014-01-31,49.35,49.25,48.176,44.8038,,DOWN,0
2014-02-03,47.44,49.35,48.344,44.8366,,UP,1
2014-02-04,48.05,47.44,48.408,44.9046,,DOWN,0
2014-02-05,47.6,47.84,48.372,44.9808,,UP,1
2014-02-06,49.24,47.5,48.336,45.0858,,UP,1
2014-02-07,49.94,49.33,48.454,45.201,,DOWN,0
2014-02-10,49.84,49.99,48.934,45.3338,,UP,1
2014-02-11,49.89,49.73,49.302,45.4668,,UP,1
2014-02-12,50.0,49.92,49.782,45.602,,UP,1
2014-02-13,50.12,49.98,49.958,45.7416,,DOWN,0
2014-02-14,49.63,50.15,49.896,45.8762,,UP,1
2014-02-18,50.11,49.72,49.95,46.0418,,DOWN,0
2014-02-19,49.16,49.84,49.804,46.204,,UP,1
2014-02-20,51.52,50.23,50.108,46.4204,,UP,1
2014-02-21,52.37,51.75,50.558,46.6442,,UP,1
2014-02-24,52.86,52.36,51.204,46.8502,,UP,1
2014-02-25,54.56,53.0,52.094,47.0922,,UP,1
2014-02-26,54.66,54.83,53.194,47.326,,UP,1
2014-02-27,55.35,54.69,53.96,47.568,,DOWN,0
2014-02-28,54.35,55.09,54.356,47.7812,,DOWN,0
2014-03-03,53.49,54.67,54.482,47.976,,UP,1
2014-03-04,54.0,53.71,54.37,48.1706,,DOWN,0
2014-03-05,53.95,53.9,54.228,48.3606,,DOWN,0
2014-03-06,53.19,53.99,53.796,48.5392,,UP,1
2014-03-07,53.39,53.44,53.604,48.714,,DOWN,0
2014-03-10,53.29,53.2,53.564,48.8882,,UP,1
2014-03-11,54.5,53.49,53.664,49.0842,,DOWN,0
2014-03-12,54.28,54.42,53.73,49.277,,DOWN,0
2014-03-13,53.6,54.46,53.812,49.4666,,DOWN,0
2014-03-14,53.3,53.62,53.794,49.6488,,DOWN,0
2014-03-17,52.96,53.44,53.728,49.835,,UP,1
2014-03-18,53.28,52.945,53.484,50.0214,,DOWN,0
2014-03-19,53.28,53.18,53.284,50.2134,,UP,1
2014-03-20,54.17,53.41,53.398,50.4194,,DOWN,0
2014-03-21,53.81,54.38,53.5,50.618,,DOWN,0
2014-03-24,53.47,54.0,53.602,50.8048,,DOWN,0
