ticker,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,15.5,14.9688,9.9941,14.5563,13.117,DOWN,0
2000-01-04,14.625,15.125,10.0271,14.6063,13.2226,UP,1
2000-01-05,15.0,14.5313,10.0628,14.7625,13.332,UP,1
2000-01-06,16.0,15.5,10.1035,15.1188,13.4607,UP,1
2000-01-07,16.25,15.4063,10.1444,15.475,13.6013,UP,1
2000-01-10,17.5,16.75,10.1919,15.875,13.7613,DOWN,0
2000-01-11,17.25,17.5,10.2385,16.4,13.9082,UP,1
2000-01-12,18.125,17.0,10.2897,17.025,14.0676,UP,1
2000-01-13,18.875,18.375,10.3453,17.6,14.2395,UP,1
2000-01-14,20.1875,18.5625,10.4072,18.3875,14.4301,DOWN,0
2000-01-18,19.5,20.0,10.4655,18.7875,14.6138,UP,1
2000-01-19,20.5,19.875,10.5286,19.4375,14.8113,DOWN,0
2000-01-20,19.1875,21.75,10.5841,19.65,14.9807,DOWN,0
2000-01-21,18.9375,19.5625,10.6399,19.6625,15.1488,DOWN,0
2000-01-24,17.25,18.625,10.6871,19.075,15.2638,UP,1
2000-01-25,20.0,17.2813,10.7494,19.175,15.3813,DOWN,0
2000-01-26,18.5,18.8125,10.8044,18.775,15.4857,DOWN,0
2000-01-27,18.4688,19.0,10.8599,18.6313,15.5995,DOWN,0
2000-01-28,17.625,18.5938,10.9071,18.3688,15.6945,UP,1
2000-01-31,18.0,17.625,10.9561,18.5188,15.7876,UP,1
2000-02-01,18.2813,18.25,11.0077,18.175,15.8932,DOWN,0
2000-02-02,18.0313,18.1563,11.0578,18.0813,15.9826,UP,1
2000-02-03,19.5,18.375,11.1133,18.2875,16.1032,DOWN,0
2000-02-04,19.2813,19.5,11.1674,18.6188,16.2188,UP,1
2000-02-07,20.6563,19.2813,11.2278,19.15,16.3594,UP,1
2000-02-08,20.6875,20.5,11.2894,19.6313,16.4963,UP,1
