ticker,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,4.469,4.075,3.5509,4.1038,4.1542,DOWN,0
2000-01-04,4.097,4.269,3.5549,4.1,4.1575,DOWN,0
2000-01-05,3.488,3.525,3.5574,3.9625,4.1445,DOWN,0
2000-01-06,3.278,3.566,3.5584,3.8275,4.1288,UP,1
2000-01-07,3.478,3.35,3.5583,3.7619,4.1224,DOWN,0
2000-01-10,3.459,3.628,3.5582,3.56,4.1206,DOWN,0
2000-01-11,3.338,3.344,3.5562,3.4081,4.1168,DOWN,0
2000-01-12,3.178,3.394,3.5515,3.3462,4.1112,UP,1
2000-01-13,3.297,3.247,3.5464,3.35,4.1107,DOWN,0
2000-01-14,3.213,3.338,3.5411,3.2969,4.1091,DOWN,0
2000-01-18,3.206,3.172,3.5338,3.2462,4.1102,UP,1
2000-01-19,3.341,3.206,3.5277,3.2469,4.1121,DOWN,0
2000-01-20,3.238,3.347,3.5219,3.2587,4.0988,DOWN,0
2000-01-21,3.103,3.231,3.515,3.22,4.0901,UP,1
2000-01-24,3.506,3.378,3.5097,3.2787,4.0882,DOWN,0
2000-01-25,3.463,3.5,3.504,3.33,4.0844,DOWN,0
2000-01-26,3.241,3.431,3.4979,3.31,4.0743,UP,1
2000-01-27,3.347,3.259,3.4936,3.3319,4.0678,DOWN,0
2000-01-28,3.084,3.25,3.4881,3.3281,4.0505,UP,1
2000-01-31,3.228,3.019,3.4805,3.2725,4.0386,UP,1
2000-02-01,3.372,3.375,3.4775,3.2544,4.0281,UP,1
2000-02-02,3.472,3.397,3.4734,3.3006,4.0196,UP,1
2000-02-03,4.209,4.056,3.472,3.4731,4.0233,DOWN,0
2000-02-04,3.928,4.138,3.4679,3.6419,4.0201,DOWN,0
2000-02-07,3.75,3.809,3.4604,3.7462,4.0078,UP,1
2000-02-08,4.156,3.7,3.4552,3.9031,3.9978,DOWN,0
