ticker,APD US Equity,APD US Equity,APD US Equity,APD US Equity,APD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,30.3353,30.7975,33.1599,30.3931,28.1604,DOWN,0
2000-01-04,29.4108,30.0464,33.1524,30.474,28.2471,UP,1
2000-01-05,29.5841,29.4108,33.151,30.1966,28.3245,UP,1
2000-01-06,31.5487,30.0464,33.1559,30.3815,28.4505,UP,1
2000-01-07,33.7444,31.6065,33.1671,30.9247,28.5949,DOWN,0
2000-01-10,31.6643,32.3576,33.168,31.1905,28.722,DOWN,0
2000-01-11,30.2197,31.4331,33.1565,31.3522,28.8179,UP,1
2000-01-12,30.7398,30.5086,33.1472,31.5834,28.9139,DOWN,0
2000-01-13,30.5086,30.5664,33.1414,31.3754,29.004,DOWN,0
2000-01-14,29.9308,30.5086,33.133,30.6126,29.0988,DOWN,0
2000-01-18,28.4863,29.6997,33.1148,29.977,29.1554,UP,1
2000-01-19,28.5441,29.1219,33.1013,29.6419,29.2305,DOWN,0
2000-01-20,27.6196,28.3129,33.0796,29.0179,29.2941,DOWN,0
2000-01-21,26.7528,28.6596,33.0527,28.2667,29.3368,UP,1
2000-01-24,27.9085,28.4285,33.0331,27.8622,29.3888,UP,1
2000-01-25,28.7174,27.9662,33.0146,27.9085,29.4489,UP,1
2000-01-26,29.1219,28.1974,33.003,28.024,29.4559,DOWN,0
2000-01-27,28.5441,28.5441,32.9742,28.2089,29.4374,DOWN,0
2000-01-28,27.5618,28.3129,32.9216,28.3707,29.3807,DOWN,0
2000-01-31,27.3884,27.7929,32.8574,28.2667,29.3068,UP,1
2000-02-01,28.3129,27.3884,32.7875,28.1858,29.2606,DOWN,0
2000-02-02,28.0818,28.3129,32.7199,27.9778,29.234,UP,1
2000-02-03,28.4285,28.0818,32.6561,27.9547,29.2189,UP,1
2000-02-04,28.5441,28.6596,32.5965,28.1511,29.197,DOWN,0
2000-02-07,28.4863,28.5441,32.5417,28.3707,29.1681,DOWN,0
