ticker,APTV US Equity,APTV US Equity,APTV US Equity,APTV US Equity,APTV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-11-16,18.4268,,,,,DOWN,0
2011-11-17,17.8657,17.7987,,,,DOWN,0
2011-11-18,17.5893,17.8824,,,,DOWN,0
2011-11-21,17.003,17.5893,,,,DOWN,0
2011-11-22,16.6679,17.003,17.5105,,,DOWN,0
2011-11-23,16.4418,16.5004,17.1135,,,UP,1
2011-11-25,16.4585,16.3748,16.8321,,,UP,1
2011-11-28,16.7852,16.6344,16.6713,,,DOWN,0
2011-11-29,16.7433,16.7517,16.6193,,,UP,1
2011-11-30,17.4553,16.8773,16.7768,,,DOWN,0
2011-12-01,17.4301,17.5474,16.9745,,,UP,1
2011-12-02,17.8992,17.5474,17.2626,,,UP,1
2011-12-05,18.2342,17.9662,17.5524,,,UP,1
2011-12-06,18.5357,18.1253,17.9109,,,DOWN,0
2011-12-07,18.4268,18.3682,18.1052,,,DOWN,0
2011-12-08,18.1672,18.1923,18.2526,,,UP,1
2011-12-09,18.2175,18.1086,18.3163,,,DOWN,0
2011-12-12,18.0164,17.9243,18.2727,,,DOWN,0
2011-12-13,17.8489,18.1337,18.1354,,,DOWN,0
2011-12-14,17.2877,17.6563,17.9075,,,UP,1
2011-12-15,17.5558,17.5725,17.7853,,,UP,1
2011-12-16,17.5641,17.5558,17.6546,,,UP,1
2011-12-19,17.5809,17.6479,17.5675,,,UP,1
2011-12-20,18.0081,17.9494,17.5993,,,DOWN,0
2011-12-21,17.9243,17.8992,17.7266,,,UP,1
2011-12-22,18.251,17.9494,17.8657,,,UP,1
2011-12-23,18.3766,18.2761,18.0282,,,DOWN,0
2011-12-27,18.1337,19.1723,18.1387,,,DOWN,0
2011-12-28,17.7484,18.2342,18.0868,,,UP,1
2011-12-29,17.941,17.7735,18.0901,,,UP,1
2011-12-30,18.0416,17.9746,18.0483,,,UP,1
2012-01-03,18.6279,18.519,18.0985,,,UP,1
2012-01-04,18.8791,19.4571,18.2476,,,DOWN,0
2012-01-05,18.5441,18.7954,18.4067,,,UP,1
2012-01-06,18.8875,18.5441,18.596,,,UP,1
2012-01-09,19.0215,18.9378,18.792,,,UP,1
2012-01-10,19.9596,19.1974,19.0584,,,UP,1
2012-01-11,20.0601,19.9345,19.2946,,,UP,1
2012-01-12,20.6799,20.1858,19.7218,,,UP,1
2012-01-13,20.7721,20.5459,20.0987,,,DOWN,0
2012-01-17,20.4035,20.8977,20.3751,,,UP,1
2012-01-18,20.5208,20.2779,20.4873,,,UP,1
2012-01-19,20.9982,20.6716,20.6749,,,UP,1
2012-01-20,21.0234,20.9564,20.7436,,,UP,1
2012-01-23,21.3416,21.0904,20.8575,,,UP,1
2012-01-24,21.618,21.1909,21.1004,,,DOWN,0
2012-01-25,21.5762,21.618,21.3115,,,UP,1
2012-01-26,21.7353,21.6515,21.4589,,,UP,1
2012-01-27,22.7488,22.5813,21.804,,,DOWN,0
2012-01-30,22.6818,22.7404,22.072,18.7741,,DOWN,0
2012-01-31,22.4724,22.8409,22.2429,18.855,,UP,1
2012-02-01,23.9465,22.7237,22.717,18.9766,,UP,1
2012-02-02,24.2648,23.5612,23.2229,19.1101,,UP,1
2012-02-03,25.7557,24.491,23.8242,19.2852,,DOWN,0
2012-02-06,25.5631,25.6468,24.4005,19.4631,,DOWN,0
2012-02-07,25.1945,25.5463,24.9449,19.6382,,DOWN,0
2012-02-08,25.0438,25.2783,25.1644,19.8099,,DOWN,0
2012-02-09,24.96,25.1191,25.3034,19.9734,,UP,1
2012-02-10,25.161,24.7004,25.1845,20.1417,,DOWN,0
2012-02-13,25.1359,25.1359,25.099,20.2953,,DOWN,0
2012-02-14,24.3402,24.4491,24.9282,20.4335,,UP,1
2012-02-15,24.6082,24.491,24.8411,20.5677,,UP,1
2012-02-16,25.3955,24.7087,24.9282,20.7109,,UP,1
2012-02-17,26.208,25.5966,25.1376,20.8644,,DOWN,0
2012-02-21,25.9065,27.5649,25.2917,21.014,,UP,1
2012-02-22,25.9819,26.007,25.62,21.1703,,DOWN,0
2012-02-23,25.9651,26.1075,25.8914,21.3252,,UP,1
2012-02-24,26.2918,25.9232,26.0706,21.4907,,DOWN,0
2012-02-27,26.208,26.2918,26.0706,21.6579,,UP,1
2012-02-28,26.7022,26.3588,26.2298,21.8462,,UP,1
2012-02-29,26.8027,26.9535,26.3939,22.0311,,DOWN,0
2012-03-01,26.8027,26.9116,26.5615,22.2159,,UP,1
2012-03-02,27.0791,26.5765,26.7189,22.4059,,DOWN,0
2012-03-05,26.5012,27.054,26.7776,22.5757,,DOWN,0
2012-03-06,25.1108,26.275,26.4593,22.7195,,UP,1
2012-03-07,25.1359,24.96,26.1259,22.8572,,UP,1
2012-03-08,26.5514,25.5128,26.0757,23.0207,,UP,1
2012-03-09,26.6603,26.4258,25.9919,23.1912,,UP,1
2012-03-12,26.7357,26.7273,26.0388,23.3709,,UP,1
2012-03-13,26.7608,26.8362,26.3688,23.5473,,DOWN,0
