ticker,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-01-19,127.5,127.5,88.4123,,,UP,1
2000-01-21,141.5,141.5,102.5623,,,DOWN,0
2000-01-24,138.5,138.5,114.3998,,,DOWN,0
2000-02-02,132.91,132.91,125.3252,,,UP,1
2000-02-03,136.625,136.625,135.407,,,UP,1
2000-02-10,143.5825,143.5825,138.6235,,,DOWN,0
2000-02-28,124.96,124.96,135.3155,,,UP,1
2000-03-01,136.83,136.83,134.9815,,,UP,1
2000-03-06,138.38,138.38,136.0755,,,DOWN,0
2000-05-31,35.75,35.75,115.9005,,,UP,1
2000-07-07,41.5,41.5,95.484,,,DOWN,0
2000-08-31,37.5,37.5,77.992,,,DOWN,0
2000-09-29,33.5,33.5,57.326,,,DOWN,0
2000-10-19,25.375,25.375,34.725,,,DOWN,0
2000-11-27,23.125,23.125,32.2,,,DOWN,0
2000-12-28,22.5,22.5,28.4,,,UP,1
2000-12-29,23.0,23.0,25.5,,,DOWN,0
2001-01-01,23.0,23.0,23.4,,,UP,1
2001-01-10,24.5,24.5,23.225,,,DOWN,0
2001-01-11,24.5,24.5,23.5,,,UP,1
2001-01-19,30.0,30.0,25.0,,,DOWN,0
2001-01-29,27.0,27.0,25.8,,,UP,1
2001-01-31,27.79,27.79,26.758,,,DOWN,0
2001-02-08,24.5,24.5,26.758,,,DOWN,0
2001-02-13,23.25,23.25,26.508,,,UP,1
2001-02-20,25.0,25.0,25.508,,,DOWN,0
2001-02-26,22.875,22.875,24.683,,,DOWN,0
2001-02-28,21.5,21.5,23.425,,,UP,1
2001-03-06,25.75,25.75,23.675,,,DOWN,0
2001-03-12,22.75,22.75,23.575,,,UP,1
2001-03-15,23.5,23.5,23.275,,,DOWN,0
2001-03-16,23.5,23.5,23.4,,,DOWN,0
2001-03-26,23.25,23.25,23.75,,,UP,1
2001-03-27,23.625,23.25,23.325,,,DOWN,0
2001-03-28,23.625,23.625,23.5,,,DOWN,0
2001-03-29,22.375,22.375,23.275,,,DOWN,0
2001-03-30,22.375,22.375,23.05,,,UP,1
2001-04-12,23.5,23.5,23.1,,,DOWN,0
2001-04-17,22.74,22.74,22.923,,,UP,1
2001-04-18,25.5,22.74,23.298,,,DOWN,0
2001-04-19,25.25,25.25,23.873,,,UP,1
2001-04-30,27.0,27.0,24.798,52.4676,,UP,1
2001-05-01,27.1,27.1,25.518,52.1146,,DOWN,0
2001-05-07,26.27,26.27,26.224,51.4,,DOWN,0
2001-06-05,24.0,24.0,25.924,50.5694,,UP,1
2001-06-08,25.0,25.0,25.874,49.7725,,DOWN,0
2001-06-29,22.5,22.5,24.974,48.8075,,DOWN,0
2001-07-02,22.4375,22.4375,24.0415,47.67,,DOWN,0
2001-07-05,19.9,19.9,22.7675,46.5023,,DOWN,0
2001-07-25,18.5,18.5,21.6675,45.148,,UP,1
2001-07-31,21.25,21.25,20.9175,43.023,,DOWN,0
2001-08-02,20.86,20.86,20.5895,40.6102,,DOWN,0
2001-08-31,17.65,17.65,19.632,38.1932,,DOWN,0
2001-09-04,17.15,17.15,19.082,35.878,,DOWN,0
2001-09-05,16.15,16.15,18.612,33.4685,,DOWN,0
2001-09-06,14.75,14.75,17.312,30.8918,,DOWN,0
2001-09-24,11.05,11.05,15.35,28.6136,,UP,1
2001-10-05,12.185,12.185,14.257,26.1207,,UP,1
2001-10-09,13.3,13.3,13.487,23.6191,,UP,1
2001-10-15,13.75,13.75,13.007,23.1791,,UP,1
2001-10-16,14.35,14.35,12.927,22.6361,,DOWN,0
2001-10-17,13.25,13.25,13.367,22.1511,,UP,1
2001-10-23,14.5604,14.5604,13.8421,21.7724,,UP,1
2001-10-24,14.8531,14.8531,14.1527,21.5619,,DOWN,0
2001-10-30,13.7,13.7,14.1427,21.3734,,UP,1
2001-11-07,16.65,16.65,14.6027,21.2564,,UP,1
2001-11-16,19.375,19.375,15.8277,21.1839,,DOWN,0
2001-11-21,17.03,17.03,16.3216,21.0645,,UP,1
2001-12-05,18.75,18.75,17.101,20.9495,,DOWN,0
2001-12-17,17.92,17.92,17.945,20.8179,,DOWN,0
2001-12-28,17.2666,17.2666,18.0683,20.5633,,UP,1
2002-01-08,19.11,19.11,18.0153,20.4055,,UP,1
2002-01-10,19.8826,19.8826,18.5859,20.2473,,DOWN,0
2002-01-16,18.5,18.5,18.5359,20.1273,,DOWN,0
2002-01-23,18.125,18.125,18.5769,20.0248,,UP,1
2002-01-24,18.897,18.897,18.9029,19.9027,,DOWN,0
2002-01-25,18.75,18.75,18.8309,19.8202,,UP,1
2002-01-28,18.875,18.875,18.6294,19.7677,,UP,1
2002-02-06,19.4776,19.4776,18.8249,19.6423,,DOWN,0
2002-02-11,18.4214,18.4214,18.8842,19.5557,,UP,1
2002-02-12,18.625,18.625,18.8298,19.4582,,UP,1
2002-02-15,19.9369,19.9369,19.0672,19.387,,DOWN,0
