ticker,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2009-08-05,15.0,15.0,,,,UP,1
2009-08-06,16.18,16.5,,,,UP,1
2009-08-07,16.43,16.15,,,,DOWN,0
2009-08-10,15.97,16.63,,,,DOWN,0
2009-08-11,15.67,15.98,15.85,,,UP,1
2009-08-12,16.0,16.15,16.05,,,UP,1
2009-08-13,16.55,16.0,16.124,,,UP,1
2009-08-14,16.6,16.5,16.158,,,DOWN,0
2009-08-17,16.22,16.27,16.208,,,UP,1
2009-08-18,17.07,16.48,16.488,,,UP,1
2009-08-19,17.89,16.84,16.866,,,DOWN,0
2009-08-20,17.76,17.95,17.108,,,UP,1
2009-08-21,17.82,17.79,17.352,,,DOWN,0
2009-08-24,17.5,17.52,17.608,,,UP,1
2009-08-25,17.85,17.65,17.764,,,DOWN,0
2009-08-26,17.85,17.69,17.756,,,UP,1
2009-08-27,18.16,17.85,17.836,,,UP,1
2009-08-28,18.47,18.1,17.966,,,DOWN,0
2009-08-31,18.2,18.35,18.106,,,DOWN,0
2009-09-01,17.85,18.25,18.106,,,DOWN,0
2009-09-02,17.68,17.76,18.072,,,DOWN,0
2009-09-03,17.45,17.97,17.93,,,UP,1
2009-09-04,17.76,17.75,17.788,,,DOWN,0
2009-09-08,17.7,17.76,17.688,,,DOWN,0
2009-09-09,17.26,17.85,17.57,,,DOWN,0
2009-09-10,17.05,17.01,17.444,,,DOWN,0
2009-09-11,16.88,17.0,17.33,,,DOWN,0
2009-09-14,16.65,16.64,17.108,,,UP,1
2009-09-15,17.18,17.25,17.004,,,UP,1
2009-09-16,17.58,17.4,17.068,,,DOWN,0
2009-09-17,16.64,17.66,16.986,,,DOWN,0
2009-09-18,16.2,16.57,16.85,,,UP,1
2009-09-21,16.61,16.28,16.842,,,UP,1
2009-09-22,17.25,16.96,16.856,,,UP,1
2009-09-23,17.4,17.62,16.82,,,UP,1
2009-09-24,17.49,17.33,16.99,,,DOWN,0
2009-09-25,17.13,17.48,17.176,,,UP,1
2009-09-28,17.65,17.32,17.384,,,DOWN,0
2009-09-29,17.03,17.55,17.34,,,UP,1
2009-09-30,17.07,17.0,17.274,,,DOWN,0
2009-10-01,16.31,17.0,17.038,,,DOWN,0
2009-10-02,16.09,16.2,16.83,,,UP,1
2009-10-05,16.49,16.1,16.598,,,DOWN,0
2009-10-06,16.47,16.74,16.486,,,DOWN,0
2009-10-07,16.13,16.57,16.298,,,DOWN,0
2009-10-08,16.01,16.11,16.238,,,UP,1
2009-10-09,16.25,15.98,16.27,,,UP,1
2009-10-12,16.34,16.22,16.24,,,UP,1
2009-10-13,16.53,16.19,16.252,,,UP,1
2009-10-14,16.86,16.84,16.398,16.9636,,UP,1
2009-10-15,17.16,17.4,16.628,17.0068,,DOWN,0
2009-10-16,16.43,17.23,16.664,17.0118,,DOWN,0
2009-10-19,16.24,16.46,16.644,17.008,,UP,1
2009-10-20,16.53,16.34,16.644,17.0192,,DOWN,0
2009-10-21,16.49,16.37,16.57,17.0356,,DOWN,0
2009-10-22,16.28,16.33,16.394,17.0412,,DOWN,0
2009-10-23,16.05,16.13,16.318,17.0312,,DOWN,0
2009-10-26,15.84,15.91,16.238,17.016,,DOWN,0
2009-10-27,15.45,15.95,16.022,17.0006,,DOWN,0
2009-10-28,14.93,15.5,15.71,16.9578,,UP,1
2009-10-29,15.04,14.95,15.462,16.9008,,DOWN,0
2009-10-30,15.0,15.1,15.252,16.8456,,DOWN,0
2009-11-02,14.87,15.1,15.058,16.7866,,DOWN,0
2009-11-03,14.49,14.68,14.866,16.7264,,UP,1
2009-11-04,14.78,14.6,14.836,16.665,,UP,1
2009-11-05,15.32,15.02,14.892,16.6144,,DOWN,0
2009-11-06,15.29,15.32,14.95,16.557,,UP,1
2009-11-09,15.66,15.26,15.108,16.5008,,DOWN,0
2009-11-10,15.45,15.69,15.3,16.4458,,DOWN,0
2009-11-11,15.36,15.53,15.416,16.396,,UP,1
2009-11-12,15.6,15.4,15.472,16.3544,,DOWN,0
2009-11-13,15.58,15.61,15.53,16.317,,UP,1
2009-11-16,16.01,15.63,15.6,16.282,,UP,1
2009-11-17,16.07,15.83,15.724,16.2494,,DOWN,0
2009-11-18,16.03,16.15,15.858,16.2248,,DOWN,0
2009-11-19,15.57,15.84,15.852,16.1952,,DOWN,0
2009-11-20,15.44,15.56,15.824,16.1664,,DOWN,0
2009-11-23,15.19,15.54,15.66,16.1372,,UP,1
2009-11-24,15.26,15.1,15.498,16.0988,,UP,1
2009-11-25,15.5,15.38,15.392,16.0572,,UP,1
2009-11-27,15.86,15.13,15.45,16.0416,,DOWN,0
2009-11-30,15.86,15.87,15.534,16.0348,,UP,1
2009-12-01,15.96,15.9,15.688,16.0218,,DOWN,0
2009-12-02,15.61,16.03,15.758,15.989,,UP,1
2009-12-03,15.93,15.58,15.844,15.9596,,UP,1
2009-12-04,16.52,16.4,15.976,15.9402,,UP,1
