ticker,AVY US Equity,AVY US Equity,AVY US Equity,AVY US Equity,AVY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,71.375,72.25,60.424,71.6,62.6649,DOWN,0
2000-01-04,70.4375,68.625,60.509,71.675,62.9349,UP,1
2000-01-05,72.75,70.125,60.6034,71.85,63.2474,UP,1
2000-01-06,75.3125,72.0,60.7022,72.55,63.6437,UP,1
2000-01-07,75.5625,75.3125,60.7994,73.0875,63.9924,UP,1
2000-01-10,78.0,75.8125,60.9059,74.4125,64.3712,DOWN,0
2000-01-11,77.5625,77.75,61.0047,75.8375,64.6724,DOWN,0
2000-01-12,76.875,77.3125,61.094,76.6625,64.9912,DOWN,0
2000-01-13,76.25,76.875,61.1878,76.85,65.2974,UP,1
2000-01-14,76.5,76.5,61.2806,77.0375,65.5937,DOWN,0
2000-01-18,74.9375,74.6875,61.3653,76.425,65.8699,DOWN,0
2000-01-19,68.6875,73.0,61.4256,74.65,65.9874,DOWN,0
2000-01-20,66.5,68.25,61.4747,72.575,66.0624,UP,1
2000-01-21,69.5,67.25,61.5372,71.225,66.2212,DOWN,0
2000-01-24,67.3125,69.25,61.5856,69.3875,66.3449,UP,1
2000-01-25,68.25,67.3125,61.6347,68.05,66.4637,UP,1
2000-01-26,68.875,68.25,61.6859,68.0875,66.5924,DOWN,0
2000-01-27,68.4375,69.125,61.7209,68.475,66.7087,DOWN,0
2000-01-28,66.5,68.4375,61.7384,67.875,66.7987,UP,1
2000-01-31,67.75,66.5,61.7637,67.9625,66.9137,DOWN,0
2000-02-01,67.0625,67.25,61.7709,67.725,66.9912,DOWN,0
2000-02-02,66.625,67.3125,61.7815,67.275,67.0887,DOWN,0
2000-02-03,66.0625,66.125,61.7956,66.8,67.1962,UP,1
2000-02-04,67.125,66.0,61.8237,66.925,67.335,DOWN,0
2000-02-07,65.8125,67.125,61.8478,66.5375,67.4563,DOWN,0
2000-02-08,65.75,65.5625,61.8819,66.275,67.5787,DOWN,0
