ticker,AZNCF US Equity,AZNCF US Equity,AZNCF US Equity,AZNCF US Equity,AZNCF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-01-03,40.5,40.5,40.825,41.5323,,DOWN,0
2000-01-04,39.75,39.75,40.525,41.5048,,DOWN,0
2000-01-05,39.125,39.125,40.2,41.4948,,UP,1
2000-01-06,39.25,39.25,39.825,41.4773,,DOWN,0
2000-01-07,39.0,39.0,39.525,41.4698,,UP,1
2000-01-11,41.0,41.0,39.625,41.5173,,DOWN,0
2000-01-18,40.0,40.0,39.675,41.5285,,DOWN,0
2000-01-21,37.875,37.875,39.425,41.551,,UP,1
2000-01-24,38.0,38.0,39.175,41.596,,DOWN,0
2000-01-25,37.375,37.375,38.85,41.6335,,UP,1
2000-01-27,38.875,38.875,38.425,41.706,,DOWN,0
2000-02-03,37.5,37.5,37.925,41.7285,,DOWN,0
2000-02-11,34.75,34.75,37.3,41.6935,,DOWN,0
2000-02-22,34.125,34.125,36.525,41.6385,,DOWN,0
2000-02-23,34.125,34.125,35.875,41.585,,DOWN,0
2000-02-28,33.5,33.5,34.8,41.5125,,UP,1
2000-03-06,34.25,34.25,34.15,41.3925,,UP,1
2000-03-08,34.5,34.5,34.1,41.285,,UP,1
2000-03-09,36.0,34.5,34.475,41.21,,UP,1
2000-03-10,39.0,39.0,35.45,41.1975,,UP,1
2000-03-16,43.5,43.5,37.45,41.275,,DOWN,0
2000-03-17,40.0,40.0,38.6,41.3025,,UP,1
2000-03-21,42.5,42.5,40.2,41.36,,DOWN,0
2000-03-22,42.125,42.125,41.425,41.3675,,UP,1
2000-03-23,43.375,43.375,42.3,41.4025,,DOWN,0
2000-03-27,42.75,42.75,42.15,41.4225,,DOWN,0
2000-03-28,42.0,42.0,42.55,41.385,,DOWN,0
2000-03-30,39.75,39.75,42.0,41.265,,UP,1
2000-04-06,43.625,43.625,42.3,41.2075,,UP,1
2000-04-10,43.75,43.75,42.375,41.1725,,UP,1
2000-04-13,45.0,45.0,42.825,41.14,,DOWN,0
2000-04-17,42.5,42.5,42.925,41.0425,,DOWN,0
2000-05-05,41.0,41.0,43.175,40.9225,,DOWN,0
2000-05-23,40.5,40.5,42.55,40.8125,,UP,1
2000-06-02,42.25,42.25,42.25,40.7225,,DOWN,0
2000-06-07,40.625,40.625,41.375,40.61,,UP,1
2000-06-08,41.25,41.25,41.125,40.515,,DOWN,0
2000-06-09,41.25,41.25,41.175,40.4425,,UP,1
2000-06-14,41.5,41.5,41.375,40.3625,,UP,1
2000-06-15,41.625,41.625,41.25,40.285,,UP,1
2000-06-20,43.5,43.5,41.825,40.27,,UP,1
2000-07-05,46.5,46.5,42.875,40.37,,DOWN,0
2000-07-06,46.5,46.5,43.925,40.4625,,UP,1
2000-07-07,46.75,46.75,44.975,40.48,,UP,1
2000-07-10,47.25,47.25,46.1,40.5425,,UP,1
2000-07-11,47.4903,47.4903,46.8981,40.6198,,DOWN,0
2000-07-13,45.875,45.875,46.7731,40.7123,,DOWN,0
2000-07-20,43.875,43.875,46.2481,40.7748,,DOWN,0
2000-07-25,43.5,43.5,45.5981,40.8223,,DOWN,0
2000-07-26,43.5,43.5,44.8481,40.8823,,UP,1
2000-08-29,44.75,44.75,44.3,40.9673,,DOWN,0
2000-08-30,44.5,44.5,44.025,41.0623,,DOWN,0
2000-09-06,44.5,44.5,44.15,41.1698,,DOWN,0
2000-09-07,44.375,44.375,44.325,41.2723,,UP,1
2000-09-15,46.5,46.5,44.925,41.4223,,DOWN,0
2000-09-18,45.625,45.625,45.1,41.5148,,UP,1
2000-09-19,45.75,45.75,45.35,41.6298,,UP,1
2000-09-21,47.75,47.75,46.0,41.8273,,UP,1
2000-09-25,51.0,51.0,47.325,42.0873,,DOWN,0
2000-09-26,50.0,50.0,48.025,42.3398,,UP,1
2000-10-02,50.875,50.875,49.075,42.5798,,UP,1
2000-10-11,51.0,51.0,50.125,42.8498,,UP,1
2000-10-16,51.5,51.5,50.875,43.1848,,DOWN,0
2000-10-17,50.25,50.25,50.725,43.5073,,DOWN,0
2000-10-24,46.875,46.875,50.1,43.7623,,UP,1
2000-11-08,47.75,47.75,49.475,44.0473,,DOWN,0
2000-11-09,47.75,47.75,48.825,44.3173,,UP,1
2000-11-13,48.25,48.25,48.175,44.5923,,UP,1
2000-11-15,48.375,48.375,47.8,44.8398,,DOWN,0
2000-11-17,48.125,48.125,48.05,45.0223,,DOWN,0
2000-11-21,47.75,47.75,48.05,45.1073,,DOWN,0
2000-11-24,46.5,46.5,47.8,45.2373,,DOWN,0
2000-11-27,46.5,46.5,47.45,45.3173,,UP,1
2000-11-29,48.5,48.5,47.475,45.4448,,UP,1
2000-11-30,51.25,51.25,48.1,45.6023,,DOWN,0
2000-12-06,48.5,48.5,48.25,45.7173,,DOWN,0
2000-12-07,46.5,46.5,48.25,45.8073,,UP,1
2000-12-21,49.75,49.75,48.9,46.0073,,DOWN,0
2001-01-05,47.25,47.25,48.65,46.0798,,DOWN,0
