ticker,BA US Equity,BA US Equity,BA US Equity,BA US Equity,BA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,40.188,41.625,42.3685,41.0375,41.3494,DOWN,0
2000-01-04,40.125,39.875,42.3947,40.8,41.2594,UP,1
2000-01-05,42.625,42.0,42.4372,41.125,41.2281,UP,1
2000-01-06,43.063,42.25,42.481,41.4875,41.1919,UP,1
2000-01-07,44.313,43.875,42.5294,42.0625,41.1806,DOWN,0
2000-01-10,43.688,44.313,42.5738,42.7625,41.1394,DOWN,0
2000-01-11,42.875,43.375,42.6144,43.3125,41.0756,UP,1
2000-01-12,43.063,42.75,42.6597,43.4,41.0444,DOWN,0
2000-01-13,42.375,43.313,42.7016,43.2625,41.0244,UP,1
2000-01-14,44.0,43.625,42.7519,43.2,41.0394,UP,1
2000-01-18,45.0,43.875,42.8054,43.4625,41.0719,UP,1
2000-01-19,47.625,45.375,42.8716,44.4125,41.1381,DOWN,0
2000-01-20,46.5,47.563,42.9297,45.1,41.1844,DOWN,0
2000-01-21,45.688,46.938,42.9851,45.7625,41.2694,DOWN,0
2000-01-24,44.313,45.813,43.0313,45.825,41.3206,UP,1
2000-01-25,45.688,45.0,43.0857,45.9625,41.4119,UP,1
2000-01-26,46.188,45.688,43.1435,45.675,41.5094,DOWN,0
2000-01-27,45.063,46.0,43.1788,45.3875,41.6081,DOWN,0
2000-01-28,44.625,44.813,43.1935,45.175,41.6731,DOWN,0
2000-01-31,44.5,44.0,43.2179,45.2125,41.7119,DOWN,0
2000-02-01,43.75,43.875,43.2388,44.825,41.7269,UP,1
2000-02-02,44.625,43.375,43.2657,44.5125,41.7456,DOWN,0
2000-02-03,43.438,45.0,43.281,44.1875,41.7769,UP,1
2000-02-04,44.0,43.75,43.2994,44.0625,41.8231,DOWN,0
2000-02-07,41.813,43.875,43.306,43.525,41.8381,DOWN,0
2000-02-08,41.0,41.938,43.3132,42.975,41.8369,DOWN,0
