ticker,BAIDF US Equity,BAIDF US Equity,BAIDF US Equity,BAIDF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,
2021-07-08,22.2,22.2,,,DOWN,0
2021-07-27,19.25,19.25,,,UP,1
2021-08-04,20.9,21.47,,,DOWN,0
2021-08-17,17.9,17.9,,,DOWN,0
2021-08-23,17.86,17.86,19.622,,UP,1
2021-08-25,18.631,18.631,18.9082,,UP,1
2021-08-27,19.245,19.26,18.9072,,UP,1
2021-08-30,19.54,19.44,18.6352,,DOWN,0
2021-08-31,19.38,19.55,18.9312,,UP,1
2021-09-01,20.44,19.91,19.4472,,UP,1
2021-09-02,20.69,20.95,19.859,,DOWN,0
2021-09-03,20.43,20.43,20.096,,UP,1
2021-09-07,20.7975,21.19,20.3475,,DOWN,0
2021-09-08,20.3725,20.95,20.546,,DOWN,0
2021-09-09,20.36,20.35,20.53,,UP,1
2021-09-13,20.3975,20.3975,20.4715,,DOWN,0
2021-09-14,19.975,20.345,20.3805,,UP,1
2021-09-17,20.25,20.6,20.271,,DOWN,0
2021-09-20,19.34,19.84,20.0645,,UP,1
2021-09-22,19.83,19.09,19.9585,,UP,1
2021-10-22,22.2825,22.35,20.3355,,DOWN,0
2021-10-26,20.5,22.02,20.4405,,UP,1
2021-11-01,20.84,20.84,20.5585,,DOWN,0
2021-11-04,20.335,20.335,20.7575,,DOWN,0
2021-11-05,19.84,19.84,20.7595,,DOWN,0
2021-12-30,18.85,17.67,20.073,,DOWN,0
2022-01-05,18.57,18.57,19.687,,UP,1
2022-01-06,18.71,18.71,19.261,,UP,1
2022-01-10,19.0,19.0,18.994,,UP,1
2022-01-13,20.1,20.1,19.046,,DOWN,0
2022-01-18,19.5,19.5,19.176,,DOWN,0
2022-01-24,18.44,18.44,19.15,,DOWN,0
2022-01-27,18.04,18.04,19.016,,UP,1
2022-02-22,19.0,19.0,19.016,,DOWN,0
2022-02-23,18.7638,19.93,18.7487,,DOWN,0
2022-02-24,18.4,18.0,18.5287,,UP,1
2022-02-25,19.7,19.7,18.7807,,DOWN,0
2022-02-28,19.42,19.42,19.0567,,UP,1
2022-03-01,21.05,20.7225,19.4667,,DOWN,0
2022-03-02,20.38,20.38,19.79,,DOWN,0
2022-03-03,19.3688,19.3688,19.9837,,DOWN,0
2022-03-07,18.0,18.2475,19.6437,,UP,1
2022-03-09,18.84,18.3275,19.5277,,DOWN,0
2022-03-11,15.94,15.94,18.5058,,DOWN,0
2022-03-14,14.26,14.26,17.2818,,UP,1
2022-03-15,14.43,14.3,16.294,,UP,1
2022-03-16,17.74,16.13,16.242,,UP,1
2022-03-17,17.935,17.935,16.061,,UP,1
2022-03-18,18.8875,19.81,16.6505,,DOWN,0
2022-03-22,18.78,19.25,17.5545,19.2738,UP,1
2022-03-23,19.25,19.74,18.5185,19.2148,DOWN,0
2022-03-24,17.8225,19.55,18.535,19.1863,UP,1
2022-03-25,18.5,18.5625,18.648,19.1383,DOWN,0
2022-03-28,18.4125,18.125,18.553,19.1485,DOWN,0
2022-03-30,18.15,18.15,18.427,19.1543,UP,1
2022-03-31,18.41,17.8075,18.259,19.1499,DOWN,0
2022-04-01,18.16,17.9025,18.3265,19.1282,UP,1
2022-04-04,18.85,19.15,18.3965,19.1144,DOWN,0
2022-04-05,18.65,18.65,18.444,19.0998,DOWN,0
2022-04-06,16.92,16.92,18.198,19.0294,UP,1
2022-04-07,17.8475,16.99,18.0855,18.9725,DOWN,0
2022-04-11,16.85,16.85,17.8235,18.9009,DOWN,0
2022-04-13,16.105,16.635,17.2745,18.8071,DOWN,0
2022-04-14,16.0,16.135,16.7445,18.7196,DOWN,0
2022-04-18,15.8275,16.0,16.526,18.629,DOWN,0
2022-04-19,14.9175,14.45,15.94,18.5194,UP,1
2022-04-20,15.14,15.26,15.598,18.4227,DOWN,0
2022-04-21,14.9875,14.9875,15.3745,18.3174,DOWN,0
2022-04-25,13.7425,14.14,14.923,18.2055,DOWN,0
2022-04-26,13.5,13.5,14.4575,18.0789,UP,1
2022-04-27,14.96,14.655,14.466,17.9324,DOWN,0
2022-04-28,14.65,13.7875,14.368,17.8154,UP,1
2022-05-02,15.4825,15.08,14.467,17.7083,UP,1
2022-05-04,16.04,14.941,14.9265,17.6224,DOWN,0
2022-05-05,15.56,15.06,15.3385,17.5368,DOWN,0
2022-05-06,14.7,14.72,15.2865,17.4538,DOWN,0
2022-05-09,13.58,14.13,15.0725,17.354,UP,1
