ticker,BIIB US Equity,BIIB US Equity,BIIB US Equity,BIIB US Equity,BIIB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,28.631,30.204,14.5873,29.3966,20.4895,DOWN,0
2000-01-04,26.693,27.518,14.684,28.7479,20.6852,UP,1
2000-01-05,28.554,26.443,14.7898,28.5791,20.9084,UP,1
2000-01-06,29.821,27.787,14.9013,28.7729,21.1648,UP,1
2000-01-07,33.256,29.782,15.0279,29.3908,21.4929,UP,1
2000-01-10,36.691,35.309,15.1714,31.0027,21.8788,DOWN,0
2000-01-11,33.812,35.578,15.301,32.4266,22.1983,DOWN,0
2000-01-12,32.43,33.889,15.4244,33.2019,22.4739,UP,1
2000-01-13,35.654,32.584,15.5632,34.3686,22.8306,DOWN,0
2000-01-14,35.462,36.345,15.7001,34.8099,23.1734,DOWN,0
2000-01-18,32.872,35.04,15.8222,34.0462,23.4451,UP,1
2000-01-19,37.151,32.872,15.9654,34.714,23.7993,UP,1
2000-01-20,37.669,35.616,16.1132,35.7617,24.1536,UP,1
2000-01-21,45.364,38.533,16.2987,37.7037,24.6625,DOWN,0
2000-01-24,42.16,44.213,16.4654,39.0432,25.1249,DOWN,0
2000-01-25,41.718,43.138,16.6298,40.8125,25.5865,UP,1
2000-01-26,44.021,41.373,16.8065,42.1864,26.1027,DOWN,0
2000-01-27,39.991,44.251,16.9661,42.6508,26.5482,DOWN,0
2000-01-28,39.377,39.761,17.1247,41.4534,26.9579,DOWN,0
2000-01-31,38.744,39.262,17.2807,40.7702,27.3402,UP,1
2000-02-01,40.816,38.878,17.452,40.5899,27.7727,DOWN,0
2000-02-02,32.546,35.002,17.5729,38.2948,28.0398,DOWN,0
2000-02-03,31.663,33.16,17.6874,36.6291,28.2601,UP,1
2000-02-04,33.62,32.488,17.8149,35.4777,28.5263,UP,1
2000-02-07,35.251,34.848,17.9507,34.7792,28.8157,UP,1
2000-02-08,39.876,35.981,18.1097,34.5912,29.1864,DOWN,0
