ticker,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-01-03,307.499,314.999,297.3744,358.3943,,UP,1
2000-01-04,323.999,308.249,299.9244,356.8643,,UP,1
2000-01-05,359.624,331.499,311.1744,355.8293,,DOWN,0
2000-01-06,344.999,368.249,324.0744,354.6068,,DOWN,0
2000-01-07,343.499,358.124,335.9243,353.4668,,DOWN,0
2000-01-10,325.499,352.124,339.5243,351.8318,479.1525,DOWN,0
2000-01-11,316.874,322.499,338.0993,350.9393,480.2569,DOWN,0
2000-01-12,306.749,321.749,327.5243,350.0543,479.7206,UP,1
2000-01-13,309.749,318.656,320.4744,349.5968,478.7831,UP,1
2000-01-14,341.249,314.999,320.0244,349.7768,478.0744,UP,1
2000-01-18,355.124,334.499,325.9493,350.5193,477.5962,UP,1
2000-01-19,374.624,353.999,337.4993,351.6968,477.0994,DOWN,0
2000-01-20,371.624,370.874,350.4743,351.7193,476.7225,UP,1
2000-01-21,380.999,374.249,364.7243,352.1843,476.4525,DOWN,0
2000-01-24,359.624,383.624,368.3993,352.4768,476.0306,UP,1
2000-01-25,377.624,358.874,372.8993,353.2793,475.6219,UP,1
2000-01-26,397.499,382.124,377.4742,354.4343,475.1644,DOWN,0
2000-01-27,384.749,406.499,380.0992,354.9368,474.345,DOWN,0
2000-01-28,357.749,384.374,375.4492,353.8418,473.7375,DOWN,0
2000-01-31,347.999,358.499,373.1243,351.5768,473.0362,DOWN,0
2000-02-01,343.499,350.249,366.2993,349.8218,472.9575,UP,1
2000-02-02,357.374,343.499,358.2743,348.8243,472.7156,DOWN,0
2000-02-03,357.374,365.624,352.7993,347.9618,472.2675,UP,1
2000-02-04,362.249,368.999,353.6993,347.7743,471.7875,DOWN,0
2000-02-07,361.499,351.749,356.3993,347.6843,470.955,DOWN,0
2000-02-08,348.374,361.499,357.3743,347.0168,469.0744,UP,1
2000-02-09,350.624,350.624,356.0243,346.3043,466.9369,DOWN,0
2000-02-10,337.499,350.624,352.0493,345.6143,464.9944,DOWN,0
2000-02-11,323.249,338.999,344.2493,344.8043,462.4763,UP,1
2000-02-14,326.249,329.624,337.1993,343.5218,459.2363,DOWN,0
2000-02-15,317.999,331.499,331.1243,342.4568,456.6488,DOWN,0
2000-02-16,317.624,317.249,324.5244,341.4818,454.2169,UP,1
2000-02-17,329.999,324.749,323.0244,340.7018,451.3313,DOWN,0
2000-02-18,305.999,329.249,319.5744,339.6968,448.6782,DOWN,0
2000-02-22,300.749,306.374,314.4744,338.7668,446.2622,UP,1
2000-02-23,311.249,301.124,313.1244,337.9868,443.9785,UP,1
2000-02-24,340.499,338.999,317.6994,337.8368,441.991,UP,1
2000-02-25,341.624,343.874,320.0244,338.1443,439.9191,DOWN,0
2000-02-28,323.249,344.624,323.4744,337.9793,437.8904,UP,1
2000-02-29,335.624,324.749,330.4493,337.8293,435.5841,UP,1
2000-03-01,386.249,354.749,345.4493,338.7218,433.5629,UP,1
2000-03-02,428.999,392.999,363.1493,340.5818,431.6241,UP,1
2000-03-03,449.999,434.999,384.8242,342.4568,429.5991,UP,1
2000-03-06,541.124,452.999,428.3991,346.4393,428.2735,DOWN,0
2000-03-07,471.749,579.749,455.6241,349.2743,426.4641,UP,1
2000-03-08,525.374,508.124,483.449,353.2568,425.3307,UP,1
2000-03-09,562.124,535.499,510.074,358.2743,425.0213,UP,1
2000-03-10,566.999,563.999,533.4739,363.5468,424.4429,UP,1
2000-03-13,575.624,515.999,540.3739,369.4493,423.9967,DOWN,0
2000-03-14,569.624,584.249,559.9489,375.1567,423.4838,DOWN,0
2000-03-15,533.999,567.749,561.6739,379.6867,423.1707,DOWN,0
2000-03-16,527.624,538.499,554.7739,383.7592,423.0217,UP,1
2000-03-17,539.999,521.624,549.3739,387.3667,423.1979,DOWN,0
2000-03-20,466.124,506.249,527.4739,389.7892,422.8192,UP,1
2000-03-21,487.499,455.999,511.049,392.6692,422.2117,UP,1
2000-03-22,521.999,492.749,508.649,396.5992,421.6942,UP,1
2000-03-23,527.999,517.499,508.724,400.8217,421.1842,UP,1
2000-03-24,542.999,536.249,509.324,405.5467,420.8317,UP,1
2000-03-27,551.999,547.124,526.4989,410.3917,420.721,DOWN,0
2000-03-28,521.624,541.499,533.3239,413.9992,421.0229,DOWN,0
2000-03-29,490.874,521.999,527.0989,416.7142,421.1242,DOWN,0
2000-03-30,486.749,479.249,518.849,418.9567,420.9029,DOWN,0
2000-03-31,479.999,490.499,506.249,421.1242,420.6348,DOWN,0
2000-04-03,392.249,465.374,474.2991,421.3492,419.776,UP,1
2000-04-04,451.499,413.249,460.2741,423.1867,418.8442,DOWN,0
2000-04-05,431.624,440.624,448.4241,424.2667,417.7398,UP,1
2000-04-06,462.749,435.749,443.6241,425.5716,416.7273,UP,1
2000-04-07,468.374,481.499,441.2991,427.2441,416.0092,DOWN,0
2000-04-10,437.249,473.624,450.2991,428.8341,415.3229,DOWN,0
