ticker,BRO US Equity,BRO US Equity,BRO US Equity,BRO US Equity,BRO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,2.3672,2.3906,2.2221,2.3664,2.3075,DOWN,0
2000-01-04,2.3672,2.3672,2.2243,2.3742,2.3127,DOWN,0
2000-01-05,2.3594,2.3516,2.2268,2.3711,2.3174,DOWN,0
2000-01-06,2.3594,2.3555,2.2294,2.3695,2.3226,UP,1
2000-01-07,2.3906,2.3594,2.232,2.3688,2.3281,UP,1
2000-01-10,2.4297,2.3906,2.2348,2.3813,2.3342,UP,1
2000-01-11,2.4766,2.4453,2.2369,2.4031,2.3416,DOWN,0
2000-01-12,2.4766,2.4766,2.2379,2.4266,2.3494,UP,1
2000-01-13,2.5039,2.4922,2.2401,2.4555,2.358,DOWN,0
2000-01-14,2.4922,2.4961,2.2424,2.4758,2.3654,DOWN,0
2000-01-18,2.4844,2.5,2.2448,2.4867,2.3723,DOWN,0
2000-01-19,2.4609,2.4766,2.2471,2.4836,2.3784,UP,1
2000-01-20,2.4766,2.4688,2.2496,2.4836,2.3845,DOWN,0
2000-01-21,2.3594,2.4609,2.2517,2.4547,2.3873,DOWN,0
2000-01-24,2.2969,2.3438,2.2533,2.4156,2.3889,DOWN,0
2000-01-25,2.2422,2.3047,2.2543,2.3672,2.3895,DOWN,0
2000-01-26,2.2188,2.2109,2.2551,2.3188,2.3888,DOWN,0
2000-01-27,2.1875,2.2344,2.2553,2.2609,2.3864,DOWN,0
2000-01-28,2.0938,2.1875,2.2545,2.2078,2.3818,UP,1
2000-01-31,2.1445,2.1484,2.2539,2.1773,2.378,UP,1
2000-02-01,2.1641,2.1445,2.2534,2.1617,2.3743,UP,1
2000-02-02,2.1719,2.1563,2.2531,2.1523,2.3706,UP,1
2000-02-03,2.2891,2.2188,2.2535,2.1727,2.3693,UP,1
2000-02-04,2.3359,2.2891,2.2543,2.2211,2.3685,UP,1
2000-02-07,2.4688,2.3359,2.2557,2.2859,2.3699,DOWN,0
