ticker,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,4.8359,5.0781,6.0046,5.0156,5.0003,DOWN,0
2000-01-04,4.8359,4.8672,6.001,4.9688,5.003,UP,1
2000-01-05,4.8594,4.8594,5.9979,4.9297,5.0058,DOWN,0
2000-01-06,4.7969,4.8594,5.9945,4.8781,5.0077,UP,1
2000-01-07,4.9297,4.8047,5.9916,4.8516,5.0113,DOWN,0
2000-01-10,4.875,4.9375,5.9886,4.8594,5.0111,DOWN,0
2000-01-11,4.8594,4.875,5.9848,4.8641,5.0095,DOWN,0
2000-01-12,4.8516,4.8672,5.9795,4.8625,5.0069,UP,1
2000-01-13,4.8828,4.8828,5.974,4.8797,5.0038,DOWN,0
2000-01-14,4.8438,4.8906,5.9687,4.8625,4.9995,DOWN,0
2000-01-18,4.7578,4.8594,5.9625,4.8391,4.9936,DOWN,0
2000-01-19,4.7031,4.75,5.9563,4.8078,4.9864,DOWN,0
2000-01-20,4.6797,4.7266,5.9501,4.7734,4.9788,DOWN,0
2000-01-21,4.6719,4.6875,5.9439,4.7313,4.9734,DOWN,0
2000-01-24,4.5703,4.7344,5.9371,4.6766,4.9658,DOWN,0
2000-01-25,4.4609,4.5781,5.9291,4.6172,4.9564,DOWN,0
2000-01-26,4.4375,4.4453,5.9201,4.5641,4.942,DOWN,0
2000-01-27,4.3438,4.4375,5.91,4.4969,4.9244,DOWN,0
2000-01-28,4.2266,4.3203,5.8981,4.4078,4.9041,DOWN,0
2000-01-31,4.2031,4.25,5.8851,4.3344,4.8842,DOWN,0
2000-02-01,4.0547,4.2344,5.8692,4.2531,4.8617,UP,1
2000-02-02,4.0625,4.0938,5.8545,4.1781,4.8375,UP,1
2000-02-03,4.1875,4.125,5.8404,4.1469,4.8163,DOWN,0
2000-02-04,4.1406,4.2188,5.8266,4.1297,4.7994,DOWN,0
2000-02-07,4.0859,4.125,5.813,4.1063,4.7805,UP,1
