ticker,CAG US Equity,CAG US Equity,CAG US Equity,CAG US Equity,CAG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,17.8002,17.5084,19.3754,17.5181,18.3245,DOWN,0
2000-01-04,17.4597,17.3138,19.3458,17.5667,18.2924,DOWN,0
2000-01-05,17.1679,17.4111,19.3163,17.5473,18.2584,UP,1
2000-01-06,17.6543,17.1193,19.2891,17.5473,18.2418,UP,1
2000-01-07,18.0433,18.4324,19.2743,17.6251,18.2175,DOWN,0
2000-01-10,17.8974,18.0433,19.2611,17.6445,18.1825,UP,1
2000-01-11,18.481,17.6056,19.2514,17.8488,18.1465,UP,1
2000-01-12,18.5297,18.3351,19.2432,18.1211,18.1154,DOWN,0
2000-01-13,17.9947,18.3351,19.2334,18.1892,18.0726,DOWN,0
2000-01-14,17.4111,17.8002,19.2225,18.0628,18.0288,UP,1
2000-01-18,17.4597,17.4111,19.213,17.9752,17.9996,UP,1
2000-01-19,17.7029,17.2652,19.2106,17.8196,17.9763,UP,1
2000-01-20,17.9461,17.6056,19.2064,17.7029,17.952,UP,1
2000-01-21,17.9947,18.0433,19.2028,17.7029,17.9393,DOWN,0
2000-01-24,17.5084,17.9461,19.197,17.7223,17.9199,DOWN,0
2000-01-25,17.0706,17.3138,19.1882,17.6445,17.9004,DOWN,0
2000-01-26,16.5357,16.9247,19.176,17.4111,17.8508,DOWN,0
2000-01-27,16.3898,16.9247,19.1656,17.0998,17.8031,DOWN,0
2000-01-28,16.098,16.3898,19.1529,16.7205,17.738,UP,1
2000-01-31,16.6816,16.098,19.1413,16.5551,17.6728,DOWN,0
2000-02-01,16.3898,16.4384,19.1259,16.4189,17.5989,DOWN,0
2000-02-02,15.7575,16.1952,19.1077,16.2633,17.5162,UP,1
2000-02-03,16.0007,15.7575,19.0897,16.1855,17.4539,UP,1
2000-02-04,16.3411,16.0007,19.0734,16.2341,17.4004,DOWN,0
2000-02-07,15.9521,16.3411,19.0564,16.0882,17.3411,UP,1
