ticker,CBRE US Equity,CBRE US Equity,CBRE US Equity,CBRE US Equity,CBRE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2004-06-09,6.3333,6.3333,,,,DOWN,0
2004-06-10,6.1167,6.3333,,,,DOWN,0
2004-06-14,6.0667,6.0833,,,,UP,1
2004-06-15,6.25,6.07,,,,UP,1
2004-06-16,6.3333,6.25,6.22,,,UP,1
2004-06-17,6.35,6.3533,6.2233,,,DOWN,0
2004-06-18,6.3433,6.35,6.2687,,,UP,1
2004-06-21,6.3633,6.33,6.328,,,DOWN,0
2004-06-22,6.3533,6.33,6.3487,,,DOWN,0
2004-06-23,6.2967,6.2833,6.3413,,,UP,1
2004-06-24,6.3333,6.2667,6.338,,,DOWN,0
2004-06-25,6.3333,6.3333,6.336,,,DOWN,0
2004-06-28,6.3333,6.25,6.33,,,UP,1
2004-06-29,6.3667,6.3333,6.3327,,,DOWN,0
2004-06-30,6.3667,6.35,6.3467,,,DOWN,0
2004-07-01,6.3667,6.35,6.3533,,,UP,1
2004-07-02,6.3833,6.35,6.3633,,,DOWN,0
2004-07-06,6.3633,6.3533,6.3693,,,DOWN,0
2004-07-07,6.35,6.34,6.366,,,DOWN,0
2004-07-08,6.35,6.3633,6.3627,,,DOWN,0
2004-07-09,6.3333,6.35,6.356,,,DOWN,0
2004-07-12,6.3033,6.3333,6.34,,,UP,1
2004-07-13,6.3533,6.2833,6.338,,,UP,1
2004-07-14,6.3667,6.34,6.3413,,,DOWN,0
2004-07-15,6.35,6.3433,6.3413,,,DOWN,0
2004-07-16,6.3,6.3433,6.3347,,,UP,1
2004-07-19,6.3333,6.3,6.3407,,,DOWN,0
2004-07-20,6.3333,6.3267,6.3367,,,UP,1
2004-07-21,6.3367,6.3267,6.3307,,,UP,1
2004-07-22,6.4067,6.3333,6.342,,,DOWN,0
2004-07-23,6.3,6.25,6.342,,,DOWN,0
2004-07-26,6.26,6.2167,6.3273,,,DOWN,0
2004-07-27,6.26,6.2567,6.3127,,,UP,1
2004-07-28,6.2867,6.2533,6.3027,,,UP,1
2004-07-29,6.3,6.2567,6.2813,,,UP,1
2004-07-30,6.3133,6.3,6.284,,,UP,1
2004-08-02,6.34,6.2967,6.3,,,UP,1
2004-08-03,6.39,6.34,6.326,,,DOWN,0
2004-08-04,6.35,6.35,6.3387,,,UP,1
2004-08-05,6.57,6.5,6.3927,,,DOWN,0
2004-08-06,6.4733,6.5333,6.4247,,,DOWN,0
2004-08-09,6.36,6.44,6.4287,,,UP,1
2004-08-10,6.4333,6.3333,6.4373,,,DOWN,0
2004-08-11,6.4333,6.45,6.454,,,DOWN,0
2004-08-12,6.4167,6.45,6.4233,,,DOWN,0
2004-08-13,6.4,6.45,6.4087,,,DOWN,0
2004-08-16,6.3867,6.35,6.414,,,DOWN,0
2004-08-17,6.2833,6.3867,6.384,,,UP,1
2004-08-18,6.3033,6.3,6.358,,,UP,1
2004-08-19,6.3733,6.3033,6.3493,6.3401,,UP,1
2004-08-20,6.4667,6.3933,6.3627,6.3427,,DOWN,0
2004-08-23,6.3933,6.4333,6.364,6.3483,,UP,1
2004-08-24,6.4333,6.3967,6.394,6.3556,,UP,1
2004-08-25,6.4467,6.45,6.4227,6.3595,,UP,1
2004-08-26,6.48,6.4667,6.444,6.3625,,DOWN,0
2004-08-27,6.4433,6.48,6.4393,6.3643,,UP,1
2004-08-30,6.4733,6.46,6.4553,6.3669,,UP,1
2004-08-31,6.4967,6.4733,6.468,6.3696,,UP,1
2004-09-01,6.58,6.5333,6.4947,6.3741,,UP,1
2004-09-02,6.6567,6.5467,6.53,6.3813,,UP,1
2004-09-03,6.8667,6.6667,6.6147,6.392,,UP,1
2004-09-07,6.9133,6.9,6.7027,6.4036,,DOWN,0
2004-09-08,6.7733,6.8333,6.758,6.4124,,UP,1
2004-09-09,7.1333,6.8567,6.8687,6.4277,,UP,1
2004-09-10,7.4533,7.1667,7.028,6.4495,,UP,1
2004-09-13,7.52,7.6133,7.1587,6.4725,,UP,1
2004-09-14,7.59,7.4667,7.294,6.4967,,DOWN,0
2004-09-15,7.4967,7.56,7.4387,6.5193,,DOWN,0
2004-09-16,7.3967,7.4967,7.4913,6.5403,,DOWN,0
2004-09-17,7.3333,7.3767,7.4673,6.5599,,UP,1
2004-09-20,7.4667,7.3667,7.4567,6.5826,,DOWN,0
2004-09-21,7.4533,7.45,7.4293,6.6056,,UP,1
2004-09-22,7.4833,7.4333,7.4267,6.6282,,UP,1
2004-09-23,7.6467,7.4833,7.4767,6.6538,,DOWN,0
2004-09-24,7.5333,7.6,7.5167,6.6775,,UP,1
2004-09-27,7.5367,7.5,7.5307,6.7022,,UP,1
2004-09-28,7.6933,7.6033,7.5787,6.7294,,UP,1
2004-09-29,7.88,7.7267,7.658,6.7603,,DOWN,0
2004-09-30,7.7,7.8667,7.6687,6.7876,,UP,1
2004-10-01,7.8367,7.7,7.7293,6.8162,,UP,1
2004-10-04,8.14,8.0,7.85,6.853,,DOWN,0
