ticker,CCI US Equity,CCI US Equity,CCI US Equity,CCI US Equity,CCI US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,30.5313,31.6875,20.1125,31.3313,22.8888,DOWN,0
2000-01-04,30.5,30.4375,20.1703,30.9563,23.13,DOWN,0
2000-01-05,30.0625,30.5625,20.2294,30.8563,23.365,DOWN,0
2000-01-06,29.0,29.875,20.2825,30.4438,23.5725,UP,1
2000-01-07,30.5,29.5,20.3444,30.1188,23.7987,UP,1
2000-01-10,31.9375,32.75,20.4141,30.4,24.0369,DOWN,0
2000-01-11,30.4375,32.1875,20.4744,30.3875,24.2606,DOWN,0
2000-01-12,30.0,31.125,20.5344,30.375,24.4669,DOWN,0
2000-01-13,30.0,30.125,20.5944,30.575,24.7044,DOWN,0
2000-01-14,28.875,30.125,20.6438,30.25,24.9231,UP,1
2000-01-18,30.0625,29.0313,20.7034,29.875,25.1644,DOWN,0
2000-01-19,30.0,30.25,20.7638,29.7875,25.3606,UP,1
2000-01-20,30.1875,30.0625,20.8242,29.825,25.4969,UP,1
2000-01-21,31.0,30.375,20.8878,30.025,25.6706,UP,1
2000-01-24,34.125,31.5,20.9672,31.075,25.9306,DOWN,0
2000-01-25,33.75,34.375,21.045,31.8125,26.1906,UP,1
2000-01-26,34.0,33.7813,21.1238,32.6125,26.4894,DOWN,0
2000-01-27,32.875,34.25,21.1981,33.15,26.7619,UP,1
2000-01-28,33.125,33.0,21.2756,33.575,27.0431,DOWN,0
2000-01-31,31.625,32.875,21.3481,33.075,27.2944,UP,1
2000-02-01,31.875,31.4375,21.4219,32.7,27.5356,UP,1
2000-02-02,33.25,31.9375,21.5033,32.55,27.8006,DOWN,0
2000-02-03,33.0625,33.4375,21.5777,32.5875,28.0656,DOWN,0
2000-02-04,32.0938,33.25,21.6459,32.3813,28.3175,DOWN,0
2000-02-07,31.625,32.125,21.7103,32.3813,28.55,UP,1
2000-02-08,32.375,31.5625,21.7772,32.4813,28.7975,UP,1
