ticker,CCL US Equity,CCL US Equity,CCL US Equity,CCL US Equity,CCL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,46.875,46.0,45.5523,46.975,46.0829,DOWN,0
2000-01-04,46.3125,47.5,45.5563,47.0125,46.1716,UP,1
2000-01-05,47.875,46.3125,45.5738,47.2125,46.3091,UP,1
2000-01-06,48.5625,47.8125,45.596,47.4875,46.4879,DOWN,0
2000-01-07,48.0,47.0,45.6054,47.525,46.6654,UP,1
2000-01-10,50.125,48.5,45.6248,48.175,46.8329,UP,1
2000-01-11,50.5,50.0625,45.6348,49.0125,46.9529,DOWN,0
2000-01-12,48.1875,50.375,45.6323,49.075,47.0404,UP,1
2000-01-13,50.0,48.1875,45.6395,49.3625,47.1541,UP,1
2000-01-14,50.5625,49.75,45.6454,49.875,47.2591,DOWN,0
2000-01-18,50.0,49.5,45.6423,49.85,47.3229,UP,1
2000-01-19,50.25,50.0,45.6463,49.8,47.3879,DOWN,0
2000-01-20,49.1875,50.5625,45.6395,50.0,47.4204,DOWN,0
2000-01-21,46.625,50.625,45.6154,49.325,47.4266,DOWN,0
2000-01-24,43.125,46.0,45.5701,47.8375,47.3704,DOWN,0
2000-01-25,42.25,43.25,45.5138,46.2875,47.2816,UP,1
2000-01-26,43.9375,42.375,45.4779,45.025,47.2304,DOWN,0
2000-01-27,42.75,42.5,45.4413,43.7375,47.1466,UP,1
2000-01-28,44.5,42.5,45.4198,43.3125,47.0366,UP,1
2000-01-31,45.0625,44.5,45.4101,43.7,46.9466,DOWN,0
2000-02-01,45.0625,45.0625,45.411,44.2625,46.8704,DOWN,0
2000-02-02,45.0,46.0,45.412,44.475,46.8054,UP,1
2000-02-03,47.25,44.875,45.4282,45.375,46.7891,DOWN,0
2000-02-04,46.625,48.25,45.432,45.8,46.7816,DOWN,0
2000-02-07,43.0625,46.625,45.4113,45.4,46.6904,DOWN,0
2000-02-08,42.75,44.25,45.4063,44.9375,46.6016,UP,1
