ticker,CDNS US Equity,CDNS US Equity,CDNS US Equity,CDNS US Equity,CDNS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,22.0625,23.75,15.5369,22.975,18.2913,DOWN,0
2000-01-04,22.0,21.875,15.5359,22.725,18.445,DOWN,0
2000-01-05,21.625,21.625,15.5303,22.5,18.595,DOWN,0
2000-01-06,20.9375,21.5,15.5097,22.125,18.7275,UP,1
2000-01-07,22.3125,21.0,15.4884,21.7875,18.8962,UP,1
2000-01-10,23.375,22.5,15.4734,22.05,19.07,DOWN,0
2000-01-11,22.25,23.0,15.4509,22.1,19.2113,DOWN,0
2000-01-12,20.6875,22.625,15.4294,21.9125,19.3188,UP,1
2000-01-13,21.0,21.375,15.4056,21.925,19.4225,UP,1
2000-01-14,22.25,21.0,15.3859,21.9125,19.5413,UP,1
2000-01-18,22.625,22.25,15.3709,21.7625,19.64,UP,1
2000-01-19,23.0,22.5625,15.3606,21.9125,19.7475,UP,1
2000-01-20,23.0625,23.0,15.3556,22.3875,19.8575,DOWN,0
2000-01-21,21.875,22.875,15.3388,22.5625,19.9463,UP,1
2000-01-24,23.6875,22.75,15.3306,22.85,20.08,UP,1
2000-01-25,24.0,24.5,15.3263,23.125,20.2113,DOWN,0
2000-01-26,22.6875,23.5,15.3238,23.0625,20.3163,DOWN,0
2000-01-27,21.4375,22.0,15.3109,22.7375,20.4063,UP,1
2000-01-28,21.9375,21.625,15.3006,22.75,20.5038,DOWN,0
2000-01-31,20.625,21.9375,15.2916,22.1375,20.55,UP,1
2000-02-01,21.625,20.9375,15.2947,21.6625,20.6325,UP,1
2000-02-02,22.125,21.75,15.3013,21.55,20.715,UP,1
2000-02-03,22.25,22.375,15.35,21.7125,20.8063,UP,1
2000-02-04,22.375,22.375,15.4019,21.8,20.9088,UP,1
2000-02-07,22.6875,23.0,15.4503,22.2125,21.01,UP,1
2000-02-08,23.0,22.3125,15.4953,22.4875,21.11,DOWN,0
