ticker,CDW US Equity,CDW US Equity,CDW US Equity,CDW US Equity,CDW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-06-26,17.0,17.0,,,,UP,1
2013-06-27,18.37,17.64,,,,UP,1
2013-06-28,18.62,18.4,,,,DOWN,0
2013-07-01,18.34,18.65,,,,UP,1
2013-07-02,19.22,18.34,18.31,,,DOWN,0
2013-07-03,19.08,18.99,18.726,,,UP,1
2013-07-05,19.22,18.8,18.896,,,UP,1
2013-07-08,19.23,19.05,19.018,,,UP,1
2013-07-09,19.5,19.13,19.25,,,DOWN,0
2013-07-10,19.1,19.47,19.226,,,UP,1
2013-07-11,19.58,19.05,19.326,,,DOWN,0
2013-07-12,19.51,19.23,19.384,,,UP,1
2013-07-15,19.56,19.36,19.45,,,UP,1
2013-07-16,20.1,19.04,19.57,,,UP,1
2013-07-17,20.37,20.01,19.824,,,UP,1
2013-07-18,20.83,20.5,20.074,,,UP,1
2013-07-19,20.84,21.0,20.34,,,DOWN,0
2013-07-22,20.34,20.6,20.496,,,DOWN,0
2013-07-23,20.22,20.29,20.52,,,UP,1
2013-07-24,20.57,20.23,20.56,,,UP,1
2013-07-25,21.98,20.34,20.79,,,DOWN,0
2013-07-26,21.59,22.12,20.94,,,UP,1
2013-07-29,21.7,21.5,21.212,,,DOWN,0
2013-07-30,21.6,21.71,21.488,,,DOWN,0
2013-07-31,21.5,21.79,21.674,,,UP,1
2013-08-01,21.66,21.45,21.61,,,UP,1
2013-08-02,22.43,21.67,21.778,,,UP,1
2013-08-05,22.79,22.43,21.996,,,UP,1
2013-08-06,22.81,22.83,22.238,,,UP,1
2013-08-07,22.95,22.8,22.528,,,UP,1
2013-08-08,23.07,23.0,22.81,,,DOWN,0
2013-08-09,23.05,22.85,22.934,,,UP,1
2013-08-12,23.16,22.85,23.008,,,UP,1
2013-08-13,23.4,23.14,23.126,,,DOWN,0
2013-08-14,23.36,23.3,23.208,,,DOWN,0
2013-08-15,23.0,23.4,23.194,,,UP,1
2013-08-16,23.05,22.98,23.194,,,UP,1
2013-08-19,23.09,23.0,23.18,,,UP,1
2013-08-20,23.11,23.07,23.122,,,DOWN,0
2013-08-21,23.03,23.07,23.056,,,DOWN,0
2013-08-22,23.01,23.05,23.058,,,UP,1
2013-08-23,23.27,22.96,23.102,,,DOWN,0
2013-08-26,22.98,23.27,23.08,,,DOWN,0
2013-08-27,22.22,22.87,22.902,,,DOWN,0
2013-08-28,21.98,22.21,22.692,,,UP,1
2013-08-29,22.08,21.86,22.506,,,DOWN,0
2013-08-30,21.93,22.01,22.238,,,UP,1
2013-09-03,22.53,22.16,22.148,,,UP,1
2013-09-04,23.01,22.46,22.306,,,UP,1
2013-09-05,23.32,22.91,22.574,21.3652,,DOWN,0
2013-09-06,23.24,23.31,22.806,21.49,,DOWN,0
2013-09-09,22.96,23.27,23.012,21.5818,,UP,1
2013-09-10,23.03,23.0,23.112,21.67,,UP,1
2013-09-11,23.42,22.9,23.194,21.7716,,DOWN,0
2013-09-12,23.09,23.4,23.148,21.849,,UP,1
2013-09-13,23.5,23.02,23.2,21.9374,,UP,1
2013-09-16,23.87,23.65,23.382,22.0304,,DOWN,0
2013-09-17,23.23,23.82,23.422,22.1104,,UP,1
2013-09-18,23.788,23.08,23.4956,22.1962,,DOWN,0
2013-09-19,23.46,23.6,23.5696,22.2834,,DOWN,0
2013-09-20,22.89,23.36,23.4476,22.3496,,UP,1
2013-09-23,23.858,22.9,23.4452,22.4365,,UP,1
2013-09-24,24.3,23.87,23.6592,22.5313,,DOWN,0
2013-09-25,24.13,24.3,23.7276,22.6119,,DOWN,0
2013-09-26,23.99,24.26,23.8336,22.6843,,DOWN,0
2013-09-27,23.98,23.96,24.0516,22.7473,,DOWN,0
2013-09-30,22.83,23.82,23.846,22.7871,,UP,1
2013-10-01,23.2,22.7,23.626,22.8443,,DOWN,0
2013-10-02,22.78,23.13,23.356,22.8955,,UP,1
2013-10-03,23.32,22.72,23.222,22.9505,,UP,1
2013-10-04,23.35,23.34,23.096,22.9779,,DOWN,0
2013-10-07,23.05,23.19,23.14,23.0071,,UP,1
2013-10-08,23.12,23.0,23.124,23.0355,,DOWN,0
2013-10-09,22.68,23.18,23.104,23.0571,,UP,1
2013-10-10,23.05,22.81,23.05,23.0881,,DOWN,0
2013-10-11,22.99,23.06,22.978,23.1147,,DOWN,0
2013-10-14,22.78,22.94,22.924,23.1217,,DOWN,0
2013-10-15,22.65,22.79,22.83,23.1189,,UP,1
2013-10-16,22.67,22.7,22.828,23.1161,,UP,1
2013-10-17,22.78,22.56,22.774,23.1127,,UP,1
2013-10-18,22.99,22.8,22.774,23.1111,,DOWN,0
2013-10-21,22.56,22.99,22.73,23.1013,,UP,1
2013-10-22,22.8,22.58,22.76,23.0941,,DOWN,0
2013-10-23,22.72,22.72,22.77,23.0805,,DOWN,0
2013-10-24,22.01,22.7,22.616,23.0535,,UP,1
2013-10-25,22.15,22.0,22.448,23.0365,,DOWN,0
