ticker,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2022-01-19,42.0,38.0,,,,UP,1
2022-01-20,45.0,40.95,,,,DOWN,0
2022-01-21,45.0,43.0,,,,DOWN,0
2022-01-24,42.8,44.92,,,,DOWN,0
2022-01-25,41.8975,42.5,43.3395,,,UP,1
2022-01-26,43.22,45.01,43.5835,,,UP,1
2022-01-27,45.76,47.26,43.7355,,,UP,1
2022-01-28,46.75,44.55,44.0855,,,UP,1
2022-01-31,48.0,46.0,45.1255,,,UP,1
2022-02-01,49.78,47.5,46.702,,,UP,1
2022-02-02,53.01,50.0348,48.66,,,UP,1
2022-02-03,53.62,52.19,50.232,,,DOWN,0
2022-02-04,50.14,52.6,50.91,,,DOWN,0
2022-02-07,46.07,50.0,50.524,,,DOWN,0
2022-02-08,45.5,45.13,49.668,,,UP,1
2022-02-09,47.31,44.75,48.528,,,DOWN,0
2022-02-10,47.05,45.51,47.214,,,UP,1
2022-02-11,48.09,46.76,46.804,,,UP,1
2022-02-14,48.11,48.19,47.212,,,DOWN,0
2022-02-15,48.0,47.7,47.712,,,DOWN,0
2022-02-16,47.2,47.72,47.69,,,DOWN,0
2022-02-17,45.29,46.32,47.338,,,UP,1
2022-02-18,45.41,45.15,46.802,,,DOWN,0
2022-02-22,43.54,45.41,45.888,,,DOWN,0
2022-02-23,43.09,43.69,44.906,,,UP,1
2022-02-24,44.32,43.15,44.33,,,DOWN,0
2022-02-25,43.91,44.3,44.054,,,UP,1
2022-02-28,45.98,43.3,44.168,,,UP,1
2022-03-01,47.79,45.62,45.018,,,UP,1
2022-03-02,49.46,48.0,46.292,,,UP,1
2022-03-03,49.52,49.82,47.332,,,UP,1
2022-03-04,51.0,49.17,48.75,,,UP,1
2022-03-07,51.65,51.06,49.884,,,UP,1
2022-03-08,52.32,51.18,50.79,,,DOWN,0
2022-03-09,51.33,52.44,51.164,,,DOWN,0
2022-03-10,51.32,50.57,51.524,,,DOWN,0
2022-03-11,49.32,51.42,51.188,,,UP,1
2022-03-14,50.95,51.86,51.048,,,UP,1
2022-03-15,51.29,51.34,50.842,,,UP,1
2022-03-16,51.77,51.71,50.93,,,DOWN,0
2022-03-17,50.99,51.88,50.864,,,DOWN,0
2022-03-18,49.01,50.65,50.802,,,UP,1
2022-03-21,49.22,48.91,50.456,,,UP,1
2022-03-22,51.14,50.35,50.426,,,DOWN,0
2022-03-23,50.99,50.7,50.27,,,UP,1
2022-03-24,52.41,51.18,50.554,,,UP,1
2022-03-25,53.8,52.24,51.512,,,UP,1
2022-03-28,56.78,54.38,53.024,,,DOWN,0
2022-03-29,56.33,57.0,54.062,,,UP,1
2022-03-30,57.5,56.17,55.364,48.6347,,DOWN,0
2022-03-31,56.25,58.34,56.132,48.9197,,UP,1
2022-04-01,58.02,56.36,56.976,49.1802,,UP,1
2022-04-04,58.38,58.36,57.296,49.4478,,UP,1
2022-04-05,59.0,58.65,57.83,49.7717,,UP,1
2022-04-06,59.6,58.9,58.25,50.1258,,UP,1
2022-04-07,60.91,59.76,59.182,50.4796,,UP,1
2022-04-08,64.02,61.22,60.382,50.8448,,DOWN,0
2022-04-11,60.68,64.18,60.842,51.1234,,UP,1
2022-04-12,61.87,61.0,61.416,51.4008,,UP,1
2022-04-13,64.2,62.04,62.336,51.6892,,DOWN,0
2022-04-14,62.55,64.12,62.664,51.88,,UP,1
2022-04-18,63.31,62.29,62.522,52.0738,,UP,1
2022-04-19,66.71,63.63,63.728,52.4052,,DOWN,0
2022-04-20,65.41,67.82,64.436,52.792,,DOWN,0
2022-04-21,62.67,65.0,64.13,53.1354,,DOWN,0
2022-04-22,62.43,62.5,64.106,53.4378,,DOWN,0
2022-04-25,62.27,62.36,63.898,53.7422,,DOWN,0
2022-04-26,59.95,61.8,62.546,53.9794,,UP,1
2022-04-27,60.09,60.01,61.482,54.219,,UP,1
2022-04-28,61.31,60.22,61.21,54.4852,,DOWN,0
2022-04-29,59.21,61.5,60.566,54.7254,,DOWN,0
2022-05-02,58.2,59.3,59.752,54.9836,,UP,1
2022-05-03,59.7,58.45,59.702,55.2694,,UP,1
2022-05-04,61.81,60.12,60.046,55.6348,,DOWN,0
2022-05-05,60.16,61.22,59.816,55.9762,,UP,1
2022-05-06,60.27,60.26,60.028,56.2952,,DOWN,0
2022-05-09,57.62,60.57,59.912,56.5694,,DOWN,0
2022-05-10,57.04,58.25,59.38,56.7906,,UP,1
2022-05-11,57.37,57.11,58.492,56.9822,,DOWN,0
2022-05-12,53.47,57.31,57.154,57.0624,,UP,1
2022-05-13,54.61,54.53,56.022,57.1642,,UP,1
2022-05-16,56.59,54.42,55.816,57.276,,UP,1
2022-05-17,59.32,56.85,56.272,57.4294,,DOWN,0
2022-05-18,57.28,59.42,56.254,57.5286,,DOWN,0
2022-05-19,57.23,57.13,57.006,57.6466,,DOWN,0
2022-05-20,56.65,57.51,57.414,57.7532,,DOWN,0
