ticker,CHRW US Equity,CHRW US Equity,CHRW US Equity,CHRW US Equity,CHRW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,9.7813,10.0,8.227,10.0594,8.6355,DOWN,0
2000-01-04,9.4531,9.625,8.2424,9.8469,8.6586,DOWN,0
2000-01-05,9.3281,9.375,8.2573,9.6875,8.6817,UP,1
2000-01-06,9.375,9.25,8.2724,9.575,8.7123,UP,1
2000-01-07,9.5,9.3906,8.2879,9.4875,8.7373,UP,1
2000-01-10,9.9219,9.5625,8.305,9.5156,8.7727,DOWN,0
2000-01-11,9.7656,9.875,8.3204,9.5781,8.7989,UP,1
2000-01-12,9.8438,9.7813,8.3368,9.6813,8.8302,UP,1
2000-01-13,9.9375,9.8125,8.3547,9.7938,8.862,UP,1
2000-01-14,10.0,9.875,8.3725,9.8938,8.897,DOWN,0
2000-01-18,9.9219,9.9531,8.3897,9.8938,8.9392,UP,1
2000-01-19,10.2188,9.8906,8.4078,9.9844,8.9952,DOWN,0
2000-01-20,10.1094,10.2031,8.4258,10.0375,9.0533,DOWN,0
2000-01-21,9.8281,10.1016,8.4426,10.0156,9.1092,UP,1
2000-01-24,10.2969,9.875,8.4616,10.075,9.1589,DOWN,0
2000-01-25,10.125,10.2813,8.4798,10.1156,9.2033,UP,1
2000-01-26,10.1875,10.2188,8.4982,10.1094,9.2477,DOWN,0
2000-01-27,9.9844,10.1875,8.5147,10.0844,9.287,UP,1
2000-01-28,10.375,9.9688,8.5328,10.1938,9.3345,DOWN,0
2000-01-31,10.1719,10.2656,8.5498,10.1688,9.3811,UP,1
2000-02-01,10.3125,10.1875,8.5665,10.2063,9.4195,UP,1
2000-02-02,10.6406,10.1953,8.5855,10.2969,9.4698,DOWN,0
2000-02-03,10.625,10.6406,8.6025,10.425,9.5148,UP,1
2000-02-04,10.7031,10.625,8.6194,10.4906,9.5552,UP,1
2000-02-07,10.875,10.6563,8.6377,10.6313,9.5983,UP,1
