ticker,CL US Equity,CL US Equity,CL US Equity,CL US Equity,CL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,31.125,32.0,26.0289,31.4063,29.3318,DOWN,0
2000-01-04,30.3125,30.625,26.0666,31.2375,29.3681,DOWN,0
2000-01-05,29.2813,30.375,26.1013,30.8938,29.3906,DOWN,0
2000-01-06,29.2188,29.0,26.1349,30.4875,29.41,UP,1
2000-01-07,30.9688,29.5625,26.1733,30.1813,29.4587,UP,1
2000-01-10,31.8125,31.75,26.2167,30.3188,29.505,UP,1
2000-01-11,31.9688,31.5,26.2589,30.65,29.5393,UP,1
2000-01-12,32.1875,31.625,26.303,31.2313,29.565,UP,1
2000-01-13,32.4063,32.0625,26.35,31.8688,29.6137,DOWN,0
2000-01-14,31.6563,33.0,26.392,32.0063,29.6693,DOWN,0
2000-01-18,31.5,31.5313,26.4314,31.9438,29.7287,DOWN,0
2000-01-19,30.75,31.5,26.468,31.7,29.7675,UP,1
2000-01-20,30.9688,30.6875,26.5059,31.4563,29.8025,DOWN,0
2000-01-21,30.6563,31.625,26.5401,31.1063,29.845,DOWN,0
2000-01-24,30.3438,31.375,26.5748,30.8438,29.8693,DOWN,0
2000-01-25,29.8125,30.875,26.604,30.5063,29.8856,UP,1
2000-01-26,30.0938,29.875,26.6358,30.375,29.9081,UP,1
2000-01-27,30.1563,29.875,26.6699,30.2125,29.93,DOWN,0
2000-01-28,29.75,30.2813,26.7042,30.0313,29.9525,DOWN,0
2000-01-31,29.625,29.375,26.7354,29.8875,29.9712,UP,1
2000-02-01,29.8125,29.625,26.7644,29.8875,30.0,UP,1
2000-02-02,30.6563,30.25,26.8015,30.0,30.0443,DOWN,0
2000-02-03,30.0,30.5,26.826,29.9688,30.0781,DOWN,0
2000-02-04,28.125,29.75,26.8431,29.6438,30.0781,UP,1
2000-02-07,28.1875,28.125,26.8587,29.3563,30.0856,UP,1
2000-02-08,29.3438,28.1875,26.8791,29.2625,30.1237,DOWN,0
