ticker,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,49.188,49.75,49.361,50.2,46.3026,DOWN,0
2000-01-04,47.875,48.75,49.31,49.8125,46.4476,UP,1
2000-01-05,49.125,48.125,49.2666,49.4625,46.6351,UP,1
2000-01-06,49.563,47.563,49.2299,49.225,46.8413,UP,1
2000-01-07,52.313,49.75,49.1871,49.6125,47.0601,DOWN,0
2000-01-10,51.75,52.813,49.1513,50.125,47.2863,UP,1
2000-01-11,52.25,50.938,49.1142,51.0,47.5126,DOWN,0
2000-01-12,52.188,52.0,49.081,51.6125,47.6988,UP,1
2000-01-13,55.0,52.813,49.063,52.7,47.9626,DOWN,0
2000-01-14,54.25,54.125,49.043,53.0875,48.2313,DOWN,0
2000-01-18,52.75,52.875,49.0128,53.2875,48.4751,DOWN,0
2000-01-19,51.938,53.25,48.9799,53.225,48.7088,UP,1
2000-01-20,52.0,53.5,48.9442,53.1875,48.9426,DOWN,0
2000-01-21,50.625,52.0,48.9002,52.3125,49.0926,DOWN,0
2000-01-24,48.875,50.5,48.8575,51.2375,49.1513,DOWN,0
2000-01-25,47.25,48.875,48.806,50.1375,49.1938,UP,1
2000-01-26,47.813,47.438,48.7638,49.3125,49.2488,DOWN,0
2000-01-27,47.25,49.75,48.7131,48.3625,49.2863,DOWN,0
2000-01-28,46.875,48.0,48.6602,47.6125,49.2776,UP,1
2000-01-31,47.75,46.875,48.6027,47.3875,49.2526,UP,1
2000-02-01,48.0,47.688,48.5406,47.5375,49.2688,UP,1
2000-02-02,48.313,47.938,48.4853,47.6375,49.3351,DOWN,0
2000-02-03,46.625,48.5,48.4108,47.5125,49.3826,DOWN,0
2000-02-04,43.875,46.063,48.326,46.9125,49.3662,DOWN,0
2000-02-07,42.688,42.0,48.2467,45.9,49.32,UP,1
2000-02-08,45.0,43.5,48.1755,45.3,49.3325,DOWN,0
