ticker,CMG US Equity,CMG US Equity,CMG US Equity,CMG US Equity,CMG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-01-25,22.0,22.0,,,,UP,1
2006-01-26,44.0,45.0,,,,DOWN,0
2006-01-27,42.2,44.88,,,,UP,1
2006-01-30,44.8,42.2,,,,UP,1
2006-01-31,47.52,45.5,40.104,,,DOWN,0
2006-02-01,46.56,48.9,45.016,,,DOWN,0
2006-02-02,44.75,47.9,45.166,,,UP,1
2006-02-03,46.55,44.85,46.036,,,UP,1
2006-02-06,47.71,47.48,46.618,,,DOWN,0
2006-02-07,46.28,47.71,46.37,,,DOWN,0
2006-02-08,45.74,45.85,46.206,,,DOWN,0
2006-02-09,44.05,45.78,46.066,,,DOWN,0
2006-02-10,42.31,43.25,45.218,,,DOWN,0
2006-02-13,41.48,41.75,43.972,,,UP,1
2006-02-14,43.0,41.45,43.316,,,DOWN,0
2006-02-15,42.7,43.1,42.708,,,UP,1
2006-02-16,44.45,43.75,42.788,,,DOWN,0
2006-02-17,43.85,44.25,43.096,,,DOWN,0
2006-02-21,43.1,44.0,43.42,,,UP,1
2006-02-22,43.87,43.0,43.594,,,UP,1
2006-02-23,45.8,45.1,44.214,,,UP,1
2006-02-24,46.67,45.9,44.658,,,DOWN,0
2006-02-27,46.53,46.95,45.194,,,DOWN,0
2006-02-28,45.6,46.53,45.694,,,DOWN,0
2006-03-01,45.5,45.64,46.02,,,UP,1
2006-03-02,45.75,45.5,46.01,,,DOWN,0
2006-03-03,45.48,45.75,45.772,,,UP,1
2006-03-06,45.79,45.6,45.624,,,DOWN,0
2006-03-07,45.0,44.5,45.504,,,DOWN,0
2006-03-08,42.5,44.85,44.904,,,DOWN,0
2006-03-09,41.46,42.75,44.046,,,UP,1
2006-03-10,42.11,41.4,43.372,,,UP,1
2006-03-13,43.41,42.36,42.896,,,UP,1
2006-03-14,48.7,46.29,43.636,,,UP,1
2006-03-15,52.01,48.0,45.538,,,UP,1
2006-03-16,55.05,52.0,48.256,,,DOWN,0
2006-03-17,53.86,55.5,50.606,,,DOWN,0
2006-03-20,50.09,53.86,51.942,,,UP,1
2006-03-21,52.0,50.26,52.602,,,UP,1
2006-03-22,54.8,52.95,53.16,,,DOWN,0
2006-03-23,53.88,55.0,52.926,,,UP,1
2006-03-24,54.51,54.0,53.056,,,DOWN,0
2006-03-27,54.09,54.25,53.856,,,DOWN,0
2006-03-28,53.2,54.1,54.096,,,UP,1
2006-03-29,53.93,53.45,53.922,,,UP,1
2006-03-30,55.41,54.03,54.228,,,DOWN,0
2006-03-31,55.39,55.2,54.404,,,UP,1
2006-04-03,56.98,55.56,54.982,,,UP,1
2006-04-04,57.0,57.15,55.742,,,UP,1
2006-04-05,57.15,57.0,56.386,47.3314,,DOWN,0
2006-04-06,55.5,57.6,56.404,48.0014,,DOWN,0
2006-04-07,54.65,55.45,56.256,48.2144,,DOWN,0
2006-04-10,53.73,54.4,55.606,48.445,,UP,1
2006-04-11,54.6,53.74,55.126,48.641,,DOWN,0
2006-04-12,54.05,54.5,54.506,48.7716,,DOWN,0
2006-04-13,53.02,54.01,54.01,48.9008,,UP,1
2006-04-17,54.07,52.8,53.894,49.0872,,DOWN,0
2006-04-18,53.92,53.95,53.932,49.2346,,UP,1
2006-04-19,54.0,54.0,53.812,49.3604,,DOWN,0
2006-04-20,53.16,54.0,53.634,49.498,,UP,1
2006-04-21,53.4,53.75,53.71,49.6512,,DOWN,0
2006-04-24,53.31,53.25,53.558,49.8364,,DOWN,0
2006-04-25,52.15,53.06,53.204,50.0332,,DOWN,0
2006-04-26,51.1,52.15,52.624,50.2256,,DOWN,0
2006-04-27,50.78,49.0,52.148,50.3812,,UP,1
2006-04-28,52.19,50.3,51.906,50.571,,DOWN,0
2006-05-01,51.65,52.0,51.574,50.715,,UP,1
2006-05-02,54.56,53.0,52.056,50.9292,,UP,1
2006-05-03,55.01,54.55,52.838,51.1674,,UP,1
2006-05-04,55.61,55.26,53.804,51.4022,,UP,1
2006-05-05,56.9,55.5,54.746,51.6242,,UP,1
2006-05-08,59.27,57.26,56.27,51.8762,,UP,1
2006-05-09,67.05,65.35,58.768,52.2866,,DOWN,0
2006-05-10,64.85,67.05,60.736,52.6716,,DOWN,0
2006-05-11,64.2,64.6,62.454,53.0456,,DOWN,0
2006-05-12,63.27,64.2,63.728,53.396,,DOWN,0
2006-05-15,62.15,63.27,64.304,53.7294,,UP,1
2006-05-16,63.9,62.2,63.674,54.0916,,UP,1
2006-05-17,64.16,63.9,63.536,54.4748,,DOWN,0
2006-05-18,62.69,64.9,63.234,54.8786,,DOWN,0
2006-05-19,61.83,62.2,62.946,55.286,,DOWN,0
2006-05-22,60.82,61.65,62.68,55.6602,,DOWN,0
2006-05-23,60.76,61.0,62.052,56.0072,,DOWN,0
2006-05-24,60.15,60.76,61.25,56.2362,,UP,1
2006-05-25,61.25,60.5,60.962,56.421,,DOWN,0
2006-05-26,60.89,61.15,60.774,56.5378,,DOWN,0
