ticker,CMS US Equity,CMS US Equity,CMS US Equity,CMS US Equity,CMS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,29.5,30.9375,38.4219,30.625,33.5774,UP,1
2000-01-04,29.875,29.5625,38.36,30.4125,33.4787,UP,1
2000-01-05,30.6875,29.8125,38.3031,30.425,33.3849,DOWN,0
2000-01-06,30.4375,30.6875,38.2403,30.3375,33.2787,UP,1
2000-01-07,31.125,30.875,38.1815,30.325,33.1674,DOWN,0
2000-01-10,30.6875,30.9375,38.1231,30.5625,33.0299,UP,1
2000-01-11,31.5,30.5625,38.0734,30.8875,32.9224,DOWN,0
2000-01-12,31.3125,31.3125,38.0262,31.0125,32.8049,UP,1
2000-01-13,31.625,31.5625,37.9831,31.25,32.7037,DOWN,0
2000-01-14,31.1875,31.625,37.9359,31.2625,32.6012,DOWN,0
2000-01-18,30.5625,31.0,37.8828,31.2375,32.5037,UP,1
2000-01-19,30.875,30.625,37.8356,31.1125,32.3887,UP,1
2000-01-20,30.9375,30.9375,37.7928,31.0375,32.2799,UP,1
2000-01-21,31.375,31.0,37.749,30.9875,32.1912,DOWN,0
2000-01-24,31.25,31.5,37.704,31.0,32.1149,DOWN,0
2000-01-25,30.6875,31.3125,37.6569,31.025,32.0324,DOWN,0
2000-01-26,30.4375,30.875,37.6106,30.9375,31.9462,DOWN,0
2000-01-27,30.0,30.6875,37.5622,30.75,31.8437,DOWN,0
2000-01-28,29.5,29.75,37.5134,30.375,31.7224,UP,1
2000-01-31,30.0,29.75,37.4647,30.125,31.6187,DOWN,0
2000-02-01,23.5,26.125,37.3794,28.6875,31.3924,DOWN,0
2000-02-02,21.375,23.0,37.2787,26.875,31.1399,UP,1
2000-02-03,21.9375,21.1875,37.1797,25.2625,30.9187,DOWN,0
2000-02-04,20.375,21.875,37.0769,23.4375,30.675,DOWN,0
2000-02-07,20.3125,20.375,36.9734,21.5,30.4375,DOWN,0
2000-02-08,20.3125,20.375,36.8687,20.8625,30.2,DOWN,0
