ticker,CNP US Equity,CNP US Equity,CNP US Equity,CNP US Equity,CNP US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,18.0775,18.4837,22.0872,18.5243,20.2656,UP,1
2000-01-04,18.2806,17.9759,22.0615,18.4228,20.2067,UP,1
2000-01-05,19.0423,18.2298,22.043,18.5142,20.161,UP,1
2000-01-06,19.1439,19.2962,22.0206,18.6259,20.1193,UP,1
2000-01-07,19.4485,19.347,22.0021,18.7986,20.0726,DOWN,0
2000-01-10,19.1946,19.347,21.9848,19.022,20.0127,DOWN,0
2000-01-11,19.0423,19.0931,21.9688,19.1743,19.9507,UP,1
2000-01-12,19.347,18.8392,21.9572,19.2353,19.8929,DOWN,0
2000-01-13,19.2962,19.347,21.9478,19.2657,19.835,DOWN,0
2000-01-14,18.7884,18.89,21.9351,19.1337,19.7629,DOWN,0
2000-01-18,18.6361,18.6868,21.9186,19.022,19.6887,UP,1
2000-01-19,18.7884,18.5345,21.9049,18.9712,19.6126,DOWN,0
2000-01-20,18.5853,18.6868,21.8924,18.8189,19.5323,UP,1
2000-01-21,18.7376,18.6868,21.8785,18.7072,19.4653,DOWN,0
2000-01-24,18.2298,18.7376,21.8617,18.5954,19.3952,DOWN,0
2000-01-25,17.4174,18.4329,21.8404,18.3517,19.313,UP,1
2000-01-26,18.1283,17.5189,21.8249,18.2197,19.248,UP,1
2000-01-27,18.2298,18.0267,21.8124,18.1486,19.1941,DOWN,0
2000-01-28,18.0267,18.0775,21.7982,18.0064,19.1322,UP,1
2000-01-31,18.5345,18.0775,21.7843,18.0673,19.0784,DOWN,0
2000-02-01,18.1283,18.4837,21.766,18.2095,19.0195,UP,1
2000-02-02,18.2806,18.3822,21.7447,18.24,18.9677,UP,1
2000-02-03,19.5501,18.6868,21.7297,18.504,18.9565,DOWN,0
2000-02-04,18.9407,19.5501,21.7147,18.6868,18.9373,DOWN,0
2000-02-07,18.6868,18.8392,21.6997,18.7173,18.9088,UP,1
