ticker,COO US Equity,COO US Equity,COO US Equity,COO US Equity,COO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,14.75,15.1875,11.7389,14.907,13.5657,UP,1
2000-01-04,14.875,14.6875,11.7731,14.925,13.5876,UP,1
2000-01-05,14.9688,14.875,11.8099,14.925,13.6151,DOWN,0
2000-01-06,14.9688,14.9688,11.8471,14.925,13.6388,UP,1
2000-01-07,15.0938,14.9688,11.8825,14.9313,13.6757,UP,1
2000-01-10,15.125,15.0938,11.9191,15.0063,13.7176,DOWN,0
2000-01-11,15.0313,15.0625,11.9547,15.0375,13.7682,UP,1
2000-01-12,15.1875,14.9688,11.9906,15.0813,13.807,UP,1
2000-01-13,15.4688,15.2188,12.0296,15.1813,13.8588,UP,1
2000-01-14,15.5,15.4688,12.0677,15.2625,13.9101,UP,1
2000-01-18,15.5313,15.375,12.1055,15.3438,13.962,UP,1
2000-01-19,16.25,15.5313,12.1483,15.5875,14.0257,UP,1
2000-01-20,16.2813,16.25,12.1914,15.8063,14.0907,DOWN,0
2000-01-21,16.0938,16.1563,12.2352,15.9313,14.1457,DOWN,0
2000-01-24,15.625,16.0938,12.275,15.9563,14.1932,UP,1
2000-01-25,15.7813,15.5625,12.3158,16.0063,14.2488,DOWN,0
2000-01-26,15.5938,15.875,12.3563,15.875,14.3026,UP,1
2000-01-27,15.6875,15.5,12.3969,15.7563,14.3495,DOWN,0
2000-01-28,15.5,15.625,12.4355,15.6375,14.3901,DOWN,0
2000-01-31,15.125,15.375,12.4717,15.5375,14.4288,UP,1
2000-02-01,15.4375,15.1563,12.5094,15.4688,14.4751,DOWN,0
2000-02-02,15.25,15.375,12.5467,15.4,14.5032,UP,1
2000-02-03,15.625,15.1875,12.585,15.3875,14.5357,UP,1
2000-02-04,15.6563,15.5625,12.6239,15.4188,14.577,UP,1
2000-02-07,15.6875,15.5625,12.6635,15.5313,14.6182,DOWN,0
2000-02-08,15.25,15.625,12.7002,15.4938,14.6538,UP,1
