ticker,COST US Equity,COST US Equity,COST US Equity,COST US Equity,COST US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,44.5,45.531,40.3279,45.3688,43.6531,DOWN,0
2000-01-04,42.063,44.469,40.3157,44.6563,43.7488,UP,1
2000-01-05,42.781,42.219,40.3085,44.125,43.8644,UP,1
2000-01-06,43.641,43.313,40.3067,43.7219,44.0172,UP,1
2000-01-07,46.531,43.438,40.313,43.9031,44.2278,UP,1
2000-01-10,47.5,46.531,40.323,44.5031,44.3947,DOWN,0
2000-01-11,45.813,47.125,40.3225,45.2531,44.5078,DOWN,0
2000-01-12,45.75,46.563,40.3263,45.8469,44.6372,UP,1
2000-01-13,47.469,46.281,40.3347,46.6125,44.7809,UP,1
2000-01-14,49.063,48.125,40.3552,47.1188,44.9491,UP,1
2000-01-18,51.25,48.75,40.3858,47.8688,45.1603,UP,1
2000-01-19,51.875,51.938,40.4139,49.0813,45.3428,DOWN,0
2000-01-20,50.0,52.375,40.4367,49.9313,45.4778,DOWN,0
2000-01-21,48.5,51.438,40.4559,50.1375,45.5953,DOWN,0
2000-01-24,47.0,48.188,40.4663,49.725,45.6834,UP,1
2000-01-25,49.688,47.563,40.4902,49.4125,45.7822,UP,1
2000-01-26,50.438,49.125,40.5203,49.125,45.9022,DOWN,0
2000-01-27,48.938,50.563,40.55,48.9125,46.0084,DOWN,0
2000-01-28,46.0,48.625,40.5719,48.4125,46.0578,UP,1
2000-01-31,48.938,46.063,40.6123,48.8,46.1759,UP,1
2000-02-01,51.875,49.313,40.6767,49.2375,46.3534,UP,1
2000-02-02,53.938,52.0,40.7408,49.9375,46.5784,UP,1
2000-02-03,54.188,54.0,40.8014,50.9875,46.8341,DOWN,0
2000-02-04,53.0,54.75,40.8491,52.3875,47.0372,DOWN,0
2000-02-07,51.25,52.0,40.8875,52.85,47.1909,UP,1
2000-02-08,53.063,51.938,40.9303,53.0875,47.3672,DOWN,0
