ticker,CPT US Equity,CPT US Equity,CPT US Equity,CPT US Equity,CPT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,26.8125,27.0,26.8675,26.7625,26.5875,DOWN,0
2000-01-04,26.125,26.625,26.8753,26.7875,26.58,UP,1
2000-01-05,26.1875,26.1875,26.8841,26.7375,26.575,UP,1
2000-01-06,26.6875,26.0625,26.8938,26.7125,26.5788,UP,1
2000-01-07,27.1875,26.5625,26.9072,26.6,26.5938,DOWN,0
2000-01-10,26.875,27.0,26.9188,26.6125,26.5988,DOWN,0
2000-01-11,26.75,26.9375,26.9297,26.7375,26.5925,DOWN,0
2000-01-12,26.625,26.75,26.9409,26.825,26.5825,UP,1
2000-01-13,26.875,26.5,26.9516,26.8625,26.5725,DOWN,0
2000-01-14,26.875,26.75,26.9631,26.8,26.5625,DOWN,0
2000-01-18,26.875,27.125,26.9766,26.8,26.555,UP,1
2000-01-19,27.25,26.9375,26.9922,26.9,26.5625,DOWN,0
2000-01-20,27.25,27.125,27.0075,27.025,26.5638,DOWN,0
2000-01-21,26.875,27.125,27.0206,27.025,26.5588,DOWN,0
2000-01-24,26.6875,27.125,27.0319,26.9875,26.55,DOWN,0
2000-01-25,26.5625,26.75,27.0419,26.925,26.5363,UP,1
2000-01-26,26.875,26.5,27.0519,26.85,26.5363,DOWN,0
2000-01-27,26.625,26.75,27.0572,26.725,26.5325,DOWN,0
2000-01-28,26.375,26.5,27.0591,26.625,26.525,DOWN,0
2000-01-31,25.875,26.375,27.0538,26.4625,26.5038,UP,1
2000-02-01,26.5,25.875,27.0531,26.45,26.495,DOWN,0
2000-02-02,26.0625,26.25,27.05,26.2875,26.4688,UP,1
2000-02-03,26.1875,26.0,27.0469,26.2,26.4525,UP,1
2000-02-04,26.3125,26.0625,27.0438,26.1875,26.4425,DOWN,0
2000-02-07,26.0,26.125,27.0388,26.2125,26.4288,UP,1
2000-02-08,26.5,26.0,27.0384,26.2125,26.4275,DOWN,0
