ticker,CRM US Equity,CRM US Equity,CRM US Equity,CRM US Equity,CRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2004-06-22,2.75,2.75,,,,UP,1
2004-06-23,4.3,3.75,,,,DOWN,0
2004-06-24,4.19,4.3875,,,,DOWN,0
2004-06-25,3.95,4.1275,,,,UP,1
2004-06-28,4.0,4.0,3.838,,,UP,1
2004-06-29,4.1,4.0,4.108,,,DOWN,0
2004-06-30,4.0175,4.1,4.0515,,,DOWN,0
2004-07-01,4.0075,4.02,4.015,,,UP,1
2004-07-02,4.245,4.025,4.074,,,UP,1
2004-07-06,4.25,4.2325,4.124,,,DOWN,0
2004-07-07,4.0775,4.225,4.1195,,,DOWN,0
2004-07-08,3.935,4.0775,4.103,,,UP,1
2004-07-09,4.1,3.985,4.1215,,,UP,1
2004-07-12,4.1875,4.15,4.11,,,DOWN,0
2004-07-13,4.02,4.185,4.064,,,DOWN,0
2004-07-14,3.9125,4.0125,4.031,,,DOWN,0
2004-07-15,3.835,3.9375,4.011,,,UP,1
2004-07-16,4.0,3.85,3.991,,,UP,1
2004-07-19,4.0025,4.0125,3.954,,,UP,1
2004-07-20,4.015,4.0025,3.953,,,DOWN,0
2004-07-21,2.925,4.025,3.7555,,,UP,1
2004-07-22,3.245,2.8875,3.6375,,,UP,1
2004-07-23,3.26,3.2375,3.4895,,,UP,1
2004-07-26,3.32,3.3875,3.353,,,DOWN,0
2004-07-27,3.285,3.345,3.207,,,DOWN,0
2004-07-28,3.2475,3.2625,3.2715,,,DOWN,0
2004-07-29,3.24,3.25,3.2705,,,UP,1
2004-07-30,3.2525,3.24,3.269,,,DOWN,0
2004-08-02,3.2025,3.245,3.2455,,,DOWN,0
2004-08-03,3.0325,3.2,3.195,,,DOWN,0
2004-08-04,2.995,3.0325,3.1445,,,DOWN,0
2004-08-05,2.725,2.9975,3.0415,,,DOWN,0
2004-08-06,2.6925,2.725,2.9295,,,UP,1
2004-08-09,2.7475,2.7375,2.8385,,,UP,1
2004-08-10,2.75,2.75,2.782,,,DOWN,0
2004-08-11,2.655,2.7375,2.714,,,DOWN,0
2004-08-12,2.4975,2.68,2.6685,,,DOWN,0
2004-08-13,2.3975,2.4975,2.6095,,,UP,1
2004-08-16,2.43,2.4,2.546,,,UP,1
2004-08-17,2.7425,2.47,2.5445,,,UP,1
2004-08-18,2.9875,2.725,2.611,,,UP,1
2004-08-19,3.0425,2.9875,2.72,,,UP,1
2004-08-20,3.15,3.125,2.8705,,,DOWN,0
2004-08-23,3.125,3.175,3.0095,,,UP,1
2004-08-24,3.1925,3.15,3.0995,,,UP,1
2004-08-25,3.24,3.2,3.15,,,DOWN,0
2004-08-26,3.225,3.2425,3.1865,,,UP,1
2004-08-27,3.2875,3.25,3.214,,,UP,1
2004-08-30,3.2925,3.305,3.2475,,,DOWN,0
2004-08-31,3.25,3.3,3.259,3.4066,,UP,1
2004-09-01,3.3325,3.3,3.2775,3.4183,,UP,1
2004-09-02,3.4725,3.32,3.327,3.4017,,DOWN,0
2004-09-03,3.4375,3.475,3.357,3.3866,,DOWN,0
2004-09-07,3.3575,3.44,3.37,3.3748,,DOWN,0
2004-09-08,3.31,3.3325,3.382,3.361,,DOWN,0
2004-09-09,3.2925,3.31,3.374,3.3449,,UP,1
2004-09-10,3.5625,3.2875,3.392,3.3357,,UP,1
2004-09-13,3.8,3.6,3.4645,3.3316,,UP,1
2004-09-14,3.9775,3.8,3.5885,3.3262,,UP,1
2004-09-15,4.085,3.98,3.7435,3.3229,,DOWN,0
2004-09-16,4.065,4.0875,3.898,3.3227,,DOWN,0
2004-09-17,3.9175,4.05,3.969,3.3224,,UP,1
2004-09-20,4.0025,3.9375,4.0095,3.3204,,UP,1
2004-09-21,4.09,4.0125,4.032,3.3185,,DOWN,0
2004-09-22,4.0175,4.075,4.0185,3.3184,,DOWN,0
2004-09-23,3.9275,4.0175,3.991,3.3187,,UP,1
2004-09-24,4.01,3.99,4.0095,3.3222,,DOWN,0
2004-09-27,3.8975,4.0,3.9885,3.3202,,DOWN,0
2004-09-28,3.75,3.88,3.9205,3.3151,,UP,1
2004-09-29,3.9375,3.7625,3.9045,3.3136,,DOWN,0
2004-09-30,3.9075,3.9375,3.9005,3.3332,,UP,1
2004-10-01,4.1625,3.9075,3.931,3.3515,,UP,1
2004-10-04,4.2175,4.2875,3.995,3.3707,,UP,1
2004-10-05,4.225,4.22,4.09,3.3888,,UP,1
2004-10-06,4.3125,4.225,4.165,3.4094,,UP,1
2004-10-07,4.625,4.475,4.3085,3.4369,,DOWN,0
2004-10-08,4.405,4.615,4.357,3.4602,,UP,1
2004-10-11,4.545,4.41,4.4225,3.4861,,UP,1
2004-10-12,4.5975,4.5,4.497,3.514,,UP,1
2004-10-13,4.625,4.65,4.5595,3.5458,,DOWN,0
2004-10-14,4.4975,4.625,4.534,3.5759,,DOWN,0
2004-10-15,4.495,4.515,4.552,3.6113,,UP,1
2004-10-18,4.5725,4.475,4.5575,3.6489,,DOWN,0
