ticker,CRWD US Equity,CRWD US Equity,CRWD US Equity,CRWD US Equity,CRWD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2019-06-11,34.0,,,,,UP,1
2019-06-12,58.0,63.5,,,,UP,1
2019-06-13,67.56,63.86,,,,DOWN,0
2019-06-14,64.16,69.78,,,,UP,1
2019-06-17,70.01,64.75,58.746,,,UP,1
2019-06-18,76.5,73.0,67.246,,,UP,1
2019-06-19,77.22,78.75,71.09,,,DOWN,0
2019-06-20,74.85,78.0,72.548,,,DOWN,0
2019-06-21,72.23,72.46,74.162,,,DOWN,0
2019-06-24,67.97,71.05,73.754,,,DOWN,0
2019-06-25,61.52,67.1,70.758,,,UP,1
2019-06-26,62.65,63.3,67.844,,,UP,1
2019-06-27,63.28,63.39,65.53,,,UP,1
2019-06-28,68.29,64.36,64.742,,,DOWN,0
2019-07-01,63.2,69.1,63.788,,,UP,1
2019-07-02,64.52,63.3,64.388,,,UP,1
2019-07-03,67.24,64.68,65.306,,,DOWN,0
2019-07-05,67.21,67.15,66.092,,,DOWN,0
2019-07-08,66.91,68.26,65.816,,,UP,1
2019-07-09,68.45,67.42,66.866,,,UP,1
2019-07-10,74.34,70.0,68.83,,,DOWN,0
2019-07-11,70.88,74.5,69.558,,,UP,1
2019-07-12,73.5,71.6,70.816,,,DOWN,0
2019-07-15,71.6,74.0,71.754,,,DOWN,0
2019-07-16,69.54,71.93,71.972,,,UP,1
2019-07-17,71.0,70.0,71.304,,,UP,1
2019-07-18,72.75,71.0,71.678,,,UP,1
2019-07-19,83.52,85.16,73.682,,,UP,1
2019-07-22,87.68,82.27,76.898,,,DOWN,0
2019-07-23,86.74,88.32,80.338,,,UP,1
2019-07-24,87.46,86.79,83.63,,,UP,1
2019-07-25,92.28,87.5,87.536,,,UP,1
2019-07-26,92.88,93.04,89.408,,,DOWN,0
2019-07-29,87.23,93.69,89.318,,,UP,1
2019-07-30,94.0,86.0,90.77,,,DOWN,0
2019-07-31,89.07,94.0,91.092,,,UP,1
2019-08-01,91.53,90.07,90.942,,,DOWN,0
2019-08-02,88.01,91.54,89.968,,,DOWN,0
2019-08-05,85.48,83.34,89.618,,,DOWN,0
2019-08-06,85.24,87.2,87.866,,,DOWN,0
2019-08-07,84.22,83.69,86.896,,,UP,1
2019-08-08,91.65,85.49,86.92,,,UP,1
2019-08-09,94.9,90.25,88.298,,,DOWN,0
2019-08-12,93.01,94.25,89.804,,,UP,1
2019-08-13,99.65,92.84,92.686,,,DOWN,0
2019-08-14,94.02,96.52,94.646,,,DOWN,0
2019-08-15,93.66,95.99,95.048,,,UP,1
2019-08-16,96.05,95.0,95.278,,,UP,1
2019-08-19,99.39,98.8,96.554,,,DOWN,0
2019-08-20,99.16,99.23,96.456,78.3242,,DOWN,0
2019-08-21,96.58,100.59,96.968,79.5758,,DOWN,0
2019-08-22,92.97,96.29,96.83,80.2752,,DOWN,0
2019-08-23,88.43,91.37,95.306,80.6926,,UP,1
2019-08-26,88.88,90.24,93.204,81.187,,DOWN,0
2019-08-27,84.08,89.28,90.188,81.4684,,UP,1
2019-08-28,86.99,84.0,88.27,81.6782,,DOWN,0
2019-08-29,83.82,88.3,86.44,81.8102,,DOWN,0
2019-08-30,81.28,84.02,85.01,81.9388,,UP,1
2019-09-03,83.76,80.85,83.986,82.1694,,UP,1
2019-09-04,85.31,85.0,84.232,82.5162,,UP,1
2019-09-05,86.85,86.25,84.204,83.0228,,DOWN,0
2019-09-06,75.98,79.7,82.636,83.2894,,DOWN,0
2019-09-09,67.1,76.105,79.8,83.3658,,UP,1
2019-09-10,71.65,65.7,77.378,83.433,,DOWN,0
2019-09-11,69.11,69.21,74.138,83.5512,,UP,1
2019-09-12,69.66,69.68,70.7,83.654,,DOWN,0
2019-09-13,64.86,69.86,68.476,83.6064,,UP,1
2019-09-16,67.86,63.71,68.628,83.6194,,UP,1
2019-09-17,71.04,68.64,68.506,83.702,,DOWN,0
2019-09-18,70.85,70.12,68.854,83.75,,DOWN,0
2019-09-19,68.93,71.5,68.708,83.6418,,DOWN,0
2019-09-20,66.97,68.95,69.13,83.5636,,DOWN,0
2019-09-23,66.91,67.12,68.94,83.4318,,DOWN,0
2019-09-24,62.52,67.02,67.236,83.2502,,DOWN,0
2019-09-25,62.02,62.0,65.47,83.0998,,DOWN,0
2019-09-26,58.3,62.05,63.344,82.8458,,DOWN,0
2019-09-27,53.46,58.27,60.642,82.46,,UP,1
2019-09-30,58.31,53.5,58.922,81.9558,,DOWN,0
2019-10-01,57.89,58.3,57.996,81.36,,DOWN,0
2019-10-02,56.63,56.805,56.918,80.7578,,UP,1
2019-10-03,62.14,59.48,57.686,80.2514,,UP,1
2019-10-04,63.84,62.0,59.762,79.6826,,UP,1
2019-10-07,68.78,63.36,61.856,79.2006,,DOWN,0
2019-10-08,65.3,67.4,63.338,78.762,,DOWN,0
2019-10-09,63.08,66.35,64.628,78.1436,,DOWN,0
2019-10-10,61.41,62.6,64.482,77.5904,,DOWN,0
