ticker,CTAS US Equity,CTAS US Equity,CTAS US Equity,CTAS US Equity,CTAS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,34.833,35.333,39.3596,35.3167,34.8204,DOWN,0
2000-01-04,33.417,34.667,39.3033,35.0833,34.7187,UP,1
2000-01-05,33.792,33.583,39.2585,34.725,34.6254,UP,1
2000-01-06,33.979,33.375,39.2009,34.2875,34.5608,UP,1
2000-01-07,35.688,33.958,39.1415,34.3417,34.5037,UP,1
2000-01-10,36.5,36.0,39.1002,34.675,34.4388,DOWN,0
2000-01-11,34.375,36.125,39.0433,34.8667,34.3229,DOWN,0
2000-01-12,33.417,34.167,38.9917,34.7917,34.1796,UP,1
2000-01-13,36.208,33.333,38.9548,35.2375,34.1129,UP,1
2000-01-14,36.375,36.333,38.9167,35.375,34.0763,UP,1
2000-01-18,36.875,35.875,38.8812,35.45,34.0546,DOWN,0
2000-01-19,34.667,37.0,38.841,35.5083,33.9938,DOWN,0
2000-01-20,34.167,34.958,38.8029,35.6583,33.9229,DOWN,0
2000-01-21,32.833,33.833,38.7542,34.9833,33.8504,DOWN,0
2000-01-24,32.708,32.792,38.7044,34.25,33.7871,DOWN,0
2000-01-25,31.5,32.458,38.65,33.175,33.7288,UP,1
2000-01-26,31.792,31.5,38.6021,32.6,33.6463,DOWN,0
2000-01-27,31.708,31.833,38.554,32.1083,33.5663,DOWN,0
2000-01-28,29.917,31.292,38.4935,31.525,33.4463,UP,1
2000-01-31,31.229,30.25,38.438,31.2292,33.37,DOWN,0
2000-02-01,31.0,31.396,38.3801,31.1292,33.2817,UP,1
2000-02-02,32.0,31.208,38.3239,31.1708,33.2367,UP,1
2000-02-03,32.458,31.833,38.267,31.3208,33.2188,UP,1
2000-02-04,32.917,32.333,38.2116,31.9208,33.2104,DOWN,0
2000-02-07,30.25,32.917,38.137,31.725,33.1471,DOWN,0
2000-02-08,29.083,31.083,38.0534,31.3417,33.0671,DOWN,0
