ticker,CTVA US Equity,CTVA US Equity,CTVA US Equity,CTVA US Equity,CTVA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2019-05-24,29.0,29.75,,,,DOWN,0
2019-05-28,28.765,29.25,,,,DOWN,0
2019-05-29,28.5,29.9,,,,UP,1
2019-05-30,28.8,28.99,,,,DOWN,0
2019-05-31,26.97,28.5,28.407,,,DOWN,0
2019-06-03,24.81,26.54,27.569,,,UP,1
2019-06-04,27.75,24.35,27.366,,,UP,1
2019-06-05,28.01,27.54,27.268,,,DOWN,0
2019-06-06,26.9,27.69,26.888,,,DOWN,0
2019-06-07,26.31,26.17,26.756,,,DOWN,0
2019-06-10,25.31,26.07,26.856,,,DOWN,0
2019-06-11,24.95,25.01,26.296,,,UP,1
2019-06-12,25.07,25.11,25.708,,,DOWN,0
2019-06-13,24.97,25.06,25.322,,,UP,1
2019-06-14,25.19,24.76,25.098,,,UP,1
2019-06-17,25.95,25.53,25.226,,,UP,1
2019-06-18,27.3,26.03,25.696,,,DOWN,0
2019-06-19,27.15,27.48,26.112,,,UP,1
2019-06-20,27.16,27.37,26.55,,,UP,1
2019-06-21,27.21,26.87,26.954,,,UP,1
2019-06-24,28.01,27.14,27.366,,,DOWN,0
2019-06-25,27.67,28.02,27.44,,,UP,1
2019-06-26,29.26,27.93,27.862,,,UP,1
2019-06-27,29.57,29.38,28.344,,,DOWN,0
2019-06-28,29.57,29.6,28.816,,,UP,1
2019-07-01,29.68,29.58,29.15,,,DOWN,0
2019-07-02,28.99,29.5,29.414,,,DOWN,0
2019-07-03,28.8,28.78,29.322,,,DOWN,0
2019-07-05,28.64,28.45,29.136,,,DOWN,0
2019-07-08,27.77,28.39,28.776,,,DOWN,0
2019-07-09,26.99,27.47,28.238,,,DOWN,0
2019-07-10,26.5,26.81,27.74,,,DOWN,0
2019-07-11,26.43,26.55,27.266,,,UP,1
2019-07-12,27.6,26.42,27.058,,,UP,1
2019-07-15,28.08,27.41,27.12,,,DOWN,0
2019-07-16,27.86,27.93,27.294,,,DOWN,0
2019-07-17,26.88,27.6,27.37,,,DOWN,0
2019-07-18,26.65,26.58,27.414,,,UP,1
2019-07-19,27.39,26.79,27.372,,,UP,1
2019-07-22,27.76,27.34,27.308,,,UP,1
2019-07-23,28.12,27.65,27.36,,,UP,1
2019-07-24,28.32,27.77,27.648,,,DOWN,0
2019-07-25,28.02,28.1,27.922,,,UP,1
2019-07-26,28.48,27.72,28.14,,,UP,1
2019-07-29,28.78,28.36,28.344,,,UP,1
2019-07-30,29.13,28.0,28.546,,,UP,1
2019-07-31,29.5,29.1,28.782,,,UP,1
2019-08-01,31.25,29.5,29.428,,,UP,1
2019-08-02,31.46,30.94,30.024,,,DOWN,0
2019-08-05,29.9,30.63,30.248,27.7827,,UP,1
2019-08-06,30.05,30.06,30.432,27.8037,,UP,1
2019-08-07,30.64,29.58,30.66,27.8412,,UP,1
2019-08-08,31.61,30.71,30.732,27.9034,,UP,1
2019-08-09,31.63,31.94,30.766,27.96,,DOWN,0
2019-08-12,29.63,31.49,30.712,28.0132,,DOWN,0
2019-08-13,29.6,29.33,30.622,28.109,,DOWN,0
2019-08-14,28.34,29.12,30.162,28.1208,,UP,1
2019-08-15,28.42,28.93,29.524,28.129,,UP,1
2019-08-16,30.24,28.69,29.246,28.1958,,UP,1
2019-08-19,30.57,30.75,29.434,28.281,,DOWN,0
2019-08-20,30.26,30.62,29.566,28.38,,UP,1
2019-08-21,30.58,30.3,30.014,28.4926,,DOWN,0
2019-08-22,30.29,30.78,30.388,28.597,,DOWN,0
2019-08-23,29.05,29.8,30.15,28.6786,,DOWN,0
2019-08-26,29.02,29.35,29.84,28.7552,,DOWN,0
2019-08-27,28.73,29.15,29.534,28.8108,,UP,1
2019-08-28,29.17,28.48,29.252,28.8482,,UP,1
2019-08-29,29.71,29.55,29.136,28.8994,,DOWN,0
2019-08-30,29.32,30.0,29.19,28.9426,,DOWN,0
2019-09-03,28.23,28.99,29.032,28.963,,UP,1
2019-09-04,28.43,28.62,28.972,28.9714,,UP,1
2019-09-05,28.46,28.74,28.83,28.9872,,DOWN,0
2019-09-06,28.39,28.45,28.566,28.9698,,UP,1
2019-09-09,28.75,28.35,28.452,28.9534,,DOWN,0
2019-09-10,28.56,28.7,28.518,28.9332,,UP,1
2019-09-11,29.27,28.5,28.686,28.925,,UP,1
2019-09-12,29.9,29.5,28.974,28.9432,,UP,1
2019-09-13,30.12,30.04,29.32,28.9696,,DOWN,0
2019-09-16,29.4,30.05,29.45,28.9848,,DOWN,0
2019-09-17,28.98,29.32,29.534,29.009,,UP,1
2019-09-18,29.15,28.75,29.51,29.0522,,DOWN,0
2019-09-19,29.14,29.26,29.358,29.105,,DOWN,0
2019-09-20,28.92,29.35,29.118,29.1548,,DOWN,0
2019-09-23,28.88,28.64,29.014,29.1804,,DOWN,0
2019-09-24,28.24,28.71,28.866,29.1836,,DOWN,0
2019-09-25,28.2,28.22,28.676,29.1904,,DOWN,0
