ticker,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,41.8125,42.9375,46.1295,42.825,44.7109,DOWN,0
2000-01-04,41.8125,41.4688,46.1176,42.5375,44.6097,UP,1
2000-01-05,42.5625,41.5313,46.112,42.45,44.5609,UP,1
2000-01-06,44.375,42.6563,46.1201,42.775,44.5684,UP,1
2000-01-07,45.1563,45.0,46.1285,43.1438,44.5728,DOWN,0
2000-01-10,43.9375,45.0313,46.1312,43.5688,44.5528,DOWN,0
2000-01-11,43.5313,43.9375,46.1248,43.9125,44.5103,DOWN,0
2000-01-12,43.375,43.5313,46.1191,44.075,44.4634,UP,1
2000-01-13,43.7813,43.25,46.1162,43.9563,44.4516,DOWN,0
2000-01-14,43.5,42.9063,46.1166,43.625,44.4309,UP,1
2000-01-18,44.6563,43.75,46.1134,43.7688,44.4416,DOWN,0
2000-01-19,43.9688,44.5,46.1093,43.8563,44.4659,DOWN,0
2000-01-20,43.75,44.0938,46.1032,43.9313,44.4472,UP,1
2000-01-21,44.2813,43.9375,46.0902,44.0313,44.4403,UP,1
2000-01-24,44.4063,44.75,46.0773,44.2125,44.4128,DOWN,0
2000-01-25,44.2813,44.4063,46.0599,44.1375,44.3934,DOWN,0
2000-01-26,43.875,44.625,46.043,44.1188,44.3572,DOWN,0
2000-01-27,42.1563,43.6563,46.026,43.8,44.2866,DOWN,0
2000-01-28,41.2813,41.7813,45.993,43.2,44.1753,UP,1
2000-01-31,41.8125,41.0313,45.9549,42.6813,44.0459,DOWN,0
2000-02-01,41.5938,41.6875,45.908,42.1438,43.9253,DOWN,0
2000-02-02,41.3125,41.3438,45.872,41.6313,43.8197,DOWN,0
2000-02-03,40.7188,41.0625,45.8346,41.3438,43.7228,DOWN,0
2000-02-04,39.2813,40.625,45.7848,40.9438,43.6122,UP,1
2000-02-07,39.5313,39.5625,45.7427,40.4875,43.5003,DOWN,0
