ticker,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-09-22,4.35,4.75,,,,DOWN,0
2014-09-23,4.26,4.45,,,,UP,1
2014-09-24,4.34,3.7002,,,,DOWN,0
2014-09-25,4.0,4.35,,,,UP,1
2014-09-26,4.4,4.0,4.27,,,DOWN,0
2014-09-29,4.23,4.3899,4.246,,,DOWN,0
2014-09-30,4.21,4.14,4.236,,,DOWN,0
2014-10-01,4.1,4.21,4.188,,,UP,1
2014-10-02,4.27,4.0804,4.242,,,DOWN,0
2014-10-03,4.15,4.0,4.192,,,DOWN,0
2014-10-06,4.13,3.9,4.172,,,DOWN,0
2014-10-07,4.0,3.95,4.13,,,UP,1
2014-10-08,4.25,4.22,4.16,,,DOWN,0
2014-10-09,4.1,4.06,4.126,,,DOWN,0
2014-10-10,4.0,3.9925,4.096,,,DOWN,0
2014-10-13,3.9849,4.0,4.067,,,UP,1
2014-10-14,4.0,4.0,4.067,,,DOWN,0
2014-10-15,4.0,3.75,4.017,,,DOWN,0
2014-10-16,3.96,3.86,3.989,,,UP,1
2014-10-17,4.0,4.04,3.989,,,UP,1
2014-10-20,4.045,3.97,4.001,,,DOWN,0
2014-10-21,4.01,3.92,4.003,,,UP,1
2014-10-22,4.06,4.03,4.015,,,DOWN,0
2014-10-23,4.04,4.09,4.031,,,UP,1
2014-10-24,4.1,4.1,4.051,,,UP,1
2014-10-27,4.15,4.04,4.072,,,DOWN,0
2014-10-28,4.15,3.97,4.1,,,DOWN,0
2014-10-29,4.04,4.07,4.096,,,UP,1
2014-10-30,4.07,4.03,4.102,,,UP,1
2014-10-31,4.12,4.15,4.106,,,UP,1
2014-11-03,4.24,4.18,4.124,,,DOWN,0
2014-11-04,4.2,4.2,4.134,,,UP,1
2014-11-05,4.27,4.205,4.18,,,DOWN,0
2014-11-06,4.24,4.246,4.214,,,DOWN,0
2014-11-07,4.24,4.2101,4.238,,,DOWN,0
2014-11-10,4.2,4.22,4.23,,,DOWN,0
2014-11-11,4.2,4.21,4.23,,,UP,1
2014-11-12,4.27,4.22,4.23,,,UP,1
2014-11-13,4.31,4.25,4.244,,,UP,1
2014-11-14,4.32,4.33,4.26,,,DOWN,0
2014-11-17,4.26,4.31,4.272,,,DOWN,0
2014-11-18,4.25,4.27,4.282,,,DOWN,0
2014-11-19,4.2,4.18,4.268,,,UP,1
2014-11-20,4.21,4.15,4.248,,,UP,1
2014-11-21,4.3,4.25,4.244,,,UP,1
2014-11-24,4.31,4.24,4.254,,,DOWN,0
2014-11-25,4.22,4.3,4.248,,,DOWN,0
2014-11-26,4.14,4.0518,4.236,,,DOWN,0
2014-11-28,4.14,4.14,4.222,,,UP,1
2014-12-01,4.18,4.0,4.198,4.1644,,UP,1
2014-12-02,4.27,4.17,4.19,4.1628,,UP,1
2014-12-03,4.28,4.06,4.202,4.1632,,DOWN,0
2014-12-04,4.265,4.28,4.227,4.1617,,DOWN,0
2014-12-05,4.24,4.27,4.247,4.1665,,DOWN,0
2014-12-08,4.14,4.2,4.239,4.1613,,DOWN,0
2014-12-09,4.11,4.25,4.207,4.1589,,DOWN,0
2014-12-10,4.05,4.1,4.161,4.1557,,UP,1
2014-12-11,4.08,4.07,4.124,4.1553,,DOWN,0
2014-12-12,4.05,4.05,4.086,4.1509,,UP,1
2014-12-15,4.15,4.09,4.088,4.1509,,UP,1
2014-12-16,4.25,4.17,4.116,4.1533,,DOWN,0
2014-12-17,4.24,4.22,4.154,4.1581,,UP,1
2014-12-18,4.3,4.25,4.198,4.1591,,DOWN,0
2014-12-19,4.24,4.3,4.236,4.1619,,UP,1
2014-12-22,4.34,4.19,4.274,4.1687,,DOWN,0
2014-12-23,4.33,4.21,4.29,4.1756,,UP,1
2014-12-24,4.38,4.32,4.318,4.1832,,DOWN,0
2014-12-26,4.21,4.3,4.3,4.1874,,UP,1
2014-12-29,4.244,4.21,4.3008,4.1931,,DOWN,0
2014-12-30,4.14,4.31,4.2608,4.1959,,DOWN,0
2014-12-31,4.05,4.03,4.2048,4.196,,DOWN,0
2015-01-02,4.04,4.24,4.1368,4.1966,,UP,1
2015-01-05,4.25,3.9,4.1448,4.2004,,DOWN,0
2015-01-06,4.07,4.24,4.11,4.201,,UP,1
2015-01-07,4.29,4.24,4.14,4.2048,,DOWN,0
2015-01-08,4.2,4.23,4.17,4.2058,,DOWN,0
2015-01-09,4.185,4.185,4.199,4.2065,,UP,1
2015-01-12,4.2,4.07,4.189,4.2097,,DOWN,0
2015-01-13,4.195,4.2,4.214,4.2122,,DOWN,0
2015-01-14,4.1,4.1711,4.176,4.2118,,UP,1
2015-01-15,4.13,4.0883,4.162,4.2096,,UP,1
2015-01-16,4.19,4.1499,4.163,4.2094,,DOWN,0
2015-01-20,4.18,3.91,4.159,4.2076,,DOWN,0
2015-01-21,4.03,4.02,4.126,4.2034,,DOWN,0
2015-01-22,4.01,4.1,4.108,4.1988,,UP,1
