ticker,D US Equity,D US Equity,D US Equity,D US Equity,D US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,19.0625,19.5,21.8519,19.6813,22.3987,UP,1
2000-01-04,19.5313,19.0625,21.852,19.5813,22.3343,UP,1
2000-01-05,20.0625,19.75,21.8547,19.6188,22.2793,UP,1
2000-01-06,20.2813,20.3125,21.857,19.7125,22.2293,DOWN,0
2000-01-07,20.2813,20.25,21.8609,19.8438,22.1693,DOWN,0
2000-01-10,20.2813,20.5,21.867,20.0875,22.0987,UP,1
2000-01-11,20.3438,20.25,21.8736,20.25,22.0243,UP,1
2000-01-12,20.5,20.3438,21.8828,20.3375,21.9518,UP,1
2000-01-13,20.7813,20.5,21.8944,20.4375,21.883,UP,1
2000-01-14,20.8125,20.8438,21.9059,20.5438,21.8149,DOWN,0
2000-01-18,20.7813,20.8125,21.9167,20.6438,21.7443,UP,1
2000-01-19,21.125,20.9688,21.9292,20.8,21.6818,UP,1
2000-01-20,21.2188,21.125,21.9425,20.9438,21.6268,DOWN,0
2000-01-21,21.1563,21.2188,21.954,21.0188,21.5712,UP,1
2000-01-24,21.2188,21.2813,21.9664,21.1,21.5199,DOWN,0
2000-01-25,21.0,21.2188,21.9764,21.1438,21.4624,UP,1
2000-01-26,21.3438,21.3125,21.9883,21.1875,21.408,DOWN,0
2000-01-27,21.2813,21.3438,22.0009,21.2,21.3537,DOWN,0
2000-01-28,20.3125,20.375,22.0076,21.0313,21.2774,UP,1
2000-01-31,20.875,20.4375,22.0169,20.9625,21.2093,DOWN,0
2000-02-01,20.5313,20.875,22.0204,20.8688,21.1374,UP,1
2000-02-02,20.6875,20.5625,22.0212,20.7375,21.0718,UP,1
2000-02-03,20.9688,21.125,22.0251,20.675,21.0187,DOWN,0
2000-02-04,20.5938,21.0313,22.0275,20.7313,20.9724,DOWN,0
2000-02-07,20.4375,20.6875,22.029,20.6438,20.9218,DOWN,0
2000-02-08,20.4063,20.375,22.0308,20.6188,20.8737,DOWN,0
