ticker,DD US Equity,DD US Equity,DD US Equity,DD US Equity,DD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,62.8999,63.4927,56.9482,62.9176,57.9257,DOWN,0
2000-01-04,61.1806,61.6549,57.0261,62.6746,58.0442,UP,1
2000-01-05,63.1666,61.2696,57.121,62.5738,58.2067,UP,1
2000-01-06,64.9451,63.0777,57.229,63.1133,58.4112,UP,1
2000-01-07,66.3976,65.9233,57.3402,63.718,58.6412,DOWN,0
2000-01-10,64.708,66.0419,57.4479,64.0796,58.8298,DOWN,0
2000-01-11,64.0855,63.7891,57.5438,64.6606,58.9898,UP,1
2000-01-12,65.3305,64.0855,57.6456,65.0934,59.1878,UP,1
2000-01-13,65.4491,64.7377,57.7519,65.1941,59.3455,UP,1
2000-01-14,65.9233,65.4491,57.8586,65.0993,59.5014,DOWN,0
2000-01-18,61.8031,65.4491,57.9443,64.5183,59.5732,DOWN,0
2000-01-19,61.2696,62.2477,58.0267,63.9551,59.6769,DOWN,0
2000-01-20,59.0168,61.3881,58.0922,62.6924,59.751,DOWN,0
2000-01-21,57.92,58.5722,58.1518,61.1866,59.7652,UP,1
2000-01-24,59.906,58.8093,58.2198,59.9831,59.8073,DOWN,0
2000-01-25,57.8904,59.906,58.2733,59.2006,59.8352,DOWN,0
2000-01-26,57.5051,57.8608,58.3201,58.4477,59.8607,DOWN,0
2000-01-27,56.4676,58.335,58.3428,57.9378,59.8316,DOWN,0
2000-01-28,54.4223,56.5565,58.3447,57.2383,59.722,UP,1
2000-01-31,55.2523,54.5409,58.3444,56.3075,59.6651,UP,1
2000-02-01,56.8529,55.1337,58.3483,56.1,59.639,DOWN,0
2000-02-02,54.6002,56.438,58.3471,55.5191,59.5637,DOWN,0
2000-02-03,54.5409,54.8373,58.3502,55.1337,59.4973,DOWN,0
2000-02-04,53.207,55.0151,58.3489,54.8907,59.3876,DOWN,0
2000-02-07,52.8809,53.5923,58.3446,54.4164,59.2679,UP,1
