ticker,DDOG US Equity,DDOG US Equity,DDOG US Equity,DDOG US Equity,DDOG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2019-09-18,27.0,,,,,UP,1
2019-09-19,37.55,40.35,,,,DOWN,0
2019-09-20,36.15,38.59,,,,DOWN,0
2019-09-23,36.11,36.58,,,,DOWN,0
2019-09-24,34.5,36.01,34.262,,,UP,1
2019-09-25,35.25,34.6,35.912,,,DOWN,0
2019-09-26,32.44,36.0,34.89,,,DOWN,0
2019-09-27,32.27,33.0,34.114,,,UP,1
2019-09-30,33.91,32.64,33.674,,,DOWN,0
2019-10-01,32.39,34.25,33.252,,,DOWN,0
2019-10-02,31.1,31.65,32.422,,,UP,1
2019-10-03,32.89,31.18,32.512,,,UP,1
2019-10-04,34.72,33.05,33.002,,,UP,1
2019-10-07,36.81,34.9,33.582,,,DOWN,0
2019-10-08,35.45,36.5,34.194,,,UP,1
2019-10-09,36.75,35.85,35.324,,,DOWN,0
2019-10-10,35.6,36.75,35.866,,,UP,1
2019-10-11,35.67,35.93,36.056,,,DOWN,0
2019-10-14,33.09,35.65,35.312,,,UP,1
2019-10-15,34.8,33.17,35.182,,,DOWN,0
2019-10-16,32.2,33.56,34.272,,,UP,1
2019-10-17,33.96,32.3,33.944,,,DOWN,0
2019-10-18,31.57,33.84,33.124,,,DOWN,0
2019-10-21,30.01,31.9,32.508,,,DOWN,0
2019-10-22,28.04,30.05,31.156,,,UP,1
2019-10-23,28.76,27.9,30.468,,,UP,1
2019-10-24,32.5,29.16,30.176,,,UP,1
2019-10-25,34.3,32.86,30.722,,,DOWN,0
2019-10-28,33.28,35.0,31.376,,,UP,1
2019-10-29,33.65,33.19,32.498,,,UP,1
2019-10-30,34.81,33.79,33.708,,,DOWN,0
2019-10-31,33.59,34.82,33.926,,,UP,1
2019-11-01,34.02,33.7,33.87,,,UP,1
2019-11-04,34.44,34.53,34.102,,,UP,1
2019-11-05,34.91,34.5,34.354,,,DOWN,0
2019-11-06,33.06,34.56,34.004,,,DOWN,0
2019-11-07,31.29,33.3,33.544,,,UP,1
2019-11-08,32.81,31.11,33.302,,,UP,1
2019-11-11,33.55,32.76,33.124,,,UP,1
2019-11-12,34.4,33.81,33.022,,,UP,1
2019-11-13,40.19,38.82,34.448,,,UP,1
2019-11-14,41.37,40.18,36.464,,,DOWN,0
2019-11-15,40.63,41.75,38.028,,,DOWN,0
2019-11-18,40.32,40.72,39.382,,,DOWN,0
2019-11-19,39.15,40.45,40.332,,,DOWN,0
2019-11-20,38.4,38.83,39.974,,,UP,1
2019-11-21,40.03,38.24,39.706,,,UP,1
2019-11-22,41.04,41.35,39.788,,,UP,1
2019-11-25,42.81,41.5,40.286,,,DOWN,0
2019-11-26,40.55,43.1,40.566,34.8818,,UP,1
2019-11-27,41.86,40.8,41.258,35.179,,DOWN,0
2019-11-29,40.77,41.82,41.406,35.2434,,DOWN,0
2019-12-02,39.6,41.11,41.118,35.3124,,DOWN,0
2019-12-03,37.77,37.58,40.11,35.3456,,DOWN,0
2019-12-04,36.92,38.0,39.384,35.394,,DOWN,0
2019-12-05,35.86,36.83,38.184,35.4062,,UP,1
2019-12-06,35.91,35.93,37.212,35.4756,,DOWN,0
2019-12-09,35.16,34.63,36.324,35.5334,,DOWN,0
2019-12-10,34.81,34.33,35.732,35.5514,,UP,1
2019-12-11,35.55,34.81,35.458,35.6146,,UP,1
2019-12-12,35.73,35.45,35.432,35.7072,,UP,1
2019-12-13,38.79,36.2,36.008,35.8252,,DOWN,0
2019-12-16,38.79,38.91,36.734,35.9066,,DOWN,0
2019-12-17,37.18,37.86,37.208,35.914,,UP,1
2019-12-18,38.21,37.66,37.74,35.9692,,DOWN,0
2019-12-19,38.1,37.51,38.214,35.9962,,UP,1
2019-12-20,38.51,37.71,38.158,36.0544,,DOWN,0
2019-12-23,37.8,38.85,37.96,36.097,,DOWN,0
2019-12-24,37.09,37.72,37.942,36.177,,UP,1
2019-12-26,37.96,37.3,37.892,36.2402,,DOWN,0
2019-12-27,36.11,37.9,37.494,36.3184,,UP,1
2019-12-30,37.13,36.72,37.218,36.3818,,UP,1
2019-12-31,37.78,36.9,37.214,36.506,,DOWN,0
2020-01-02,36.7,38.22,37.136,36.6398,,UP,1
2020-01-03,37.42,36.11,37.028,36.8274,,UP,1
2020-01-06,39.9,37.51,37.786,37.0502,,UP,1
2020-01-07,40.06,39.95,38.372,37.2014,,DOWN,0
2020-01-08,39.95,40.3,38.806,37.3144,,UP,1
2020-01-09,40.21,40.45,39.508,37.453,,DOWN,0
2020-01-10,40.16,40.55,40.056,37.5832,,UP,1
2020-01-13,40.94,40.72,40.264,37.7058,,DOWN,0
2020-01-14,39.27,41.16,40.106,37.8194,,UP,1
2020-01-15,40.23,39.57,40.162,37.9436,,UP,1
2020-01-16,40.61,40.74,40.242,38.067,,UP,1
2020-01-17,41.19,41.2,40.448,38.1926,,DOWN,0
2020-01-21,41.13,41.18,40.486,38.354,,UP,1
