ticker,DE US Equity,DE US Equity,DE US Equity,DE US Equity,DE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,21.4375,21.8125,19.9508,21.4188,20.1921,DOWN,0
2000-01-04,21.4063,21.25,19.9632,21.5125,20.2528,UP,1
2000-01-05,21.9063,21.4688,19.9794,21.6063,20.3259,UP,1
2000-01-06,23.0313,22.3125,20.0019,21.8938,20.4259,DOWN,0
2000-01-07,23.0,23.0313,20.0204,22.1563,20.5153,UP,1
2000-01-10,23.4688,23.0,20.0435,22.5625,20.6153,DOWN,0
2000-01-11,23.4688,23.2188,20.0619,22.975,20.7221,DOWN,0
2000-01-12,23.0313,23.2188,20.0791,23.2,20.8221,UP,1
2000-01-13,23.125,23.1563,20.0982,23.2188,20.9178,UP,1
2000-01-14,24.0625,23.5,20.1223,23.4313,21.0134,DOWN,0
2000-01-18,23.5625,23.8438,20.1424,23.45,21.099,DOWN,0
2000-01-19,23.1875,23.5,20.1612,23.3938,21.1721,DOWN,0
2000-01-20,22.7813,23.3125,20.1773,23.3438,21.2365,DOWN,0
2000-01-21,22.0938,22.7813,20.1887,23.1375,21.2871,UP,1
2000-01-24,22.4375,22.125,20.1979,22.8125,21.3434,DOWN,0
2000-01-25,22.25,22.4375,20.2043,22.55,21.3953,UP,1
2000-01-26,22.8125,22.3125,20.2162,22.475,21.4571,UP,1
2000-01-27,22.9063,22.875,20.2232,22.5,21.5053,DOWN,0
2000-01-28,22.375,22.6875,20.2244,22.5563,21.5509,DOWN,0
2000-01-31,21.8438,22.3125,20.2255,22.4375,21.5903,DOWN,0
2000-02-01,21.375,21.8125,20.2224,22.2625,21.6178,DOWN,0
2000-02-02,21.3125,21.875,20.2215,21.9625,21.6628,DOWN,0
2000-02-03,20.625,21.3438,20.2188,21.5063,21.6853,DOWN,0
2000-02-04,20.4375,20.25,20.2162,21.1188,21.6815,UP,1
2000-02-07,20.6563,20.4375,20.2163,20.8813,21.6634,DOWN,0
