ticker,DG US Equity,DG US Equity,DG US Equity,DG US Equity,DG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2009-11-12,21.0,21.0,,,,UP,1
2009-11-13,22.73,22.0,,,,UP,1
2009-11-16,23.1,22.9,,,,DOWN,0
2009-11-17,23.04,23.03,,,,DOWN,0
2009-11-18,22.55,23.0,22.484,,,UP,1
2009-11-19,22.87,22.27,22.858,,,UP,1
2009-11-20,23.21,22.5,22.954,,,UP,1
2009-11-23,23.4,23.7,23.014,,,UP,1
2009-11-24,23.5,23.6,23.106,,,UP,1
2009-11-25,23.74,23.0,23.344,,,DOWN,0
2009-11-27,23.15,22.74,23.4,,,DOWN,0
2009-11-30,23.0,23.12,23.358,,,UP,1
2009-12-01,23.31,23.44,23.34,,,UP,1
2009-12-02,23.6,23.29,23.36,,,DOWN,0
2009-12-03,23.31,23.82,23.274,,,UP,1
2009-12-04,23.85,23.47,23.414,,,DOWN,0
2009-12-07,23.63,23.77,23.54,,,DOWN,0
2009-12-08,23.63,23.5,23.604,,,UP,1
2009-12-09,24.0,23.63,23.684,,,DOWN,0
2009-12-10,23.7,24.77,23.762,,,DOWN,0
2009-12-11,23.34,23.6,23.66,,,DOWN,0
2009-12-14,22.8,23.29,23.494,,,DOWN,0
2009-12-15,22.69,22.8,23.306,,,UP,1
2009-12-16,22.73,22.84,23.052,,,DOWN,0
2009-12-17,22.44,22.75,22.8,,,UP,1
2009-12-18,22.57,22.61,22.646,,,UP,1
2009-12-21,22.6,22.5,22.606,,,DOWN,0
2009-12-22,22.4,22.58,22.548,,,UP,1
2009-12-23,22.41,23.22,22.484,,,DOWN,0
2009-12-24,22.15,22.46,22.426,,,UP,1
2009-12-28,22.62,22.15,22.436,,,DOWN,0
2009-12-29,22.61,22.69,22.438,,,DOWN,0
2009-12-30,22.61,22.52,22.48,,,DOWN,0
2009-12-31,22.43,22.8,22.484,,,UP,1
2010-01-04,23.08,22.55,22.67,,,UP,1
2010-01-05,23.26,23.0,22.798,,,UP,1
2010-01-06,23.58,23.6,22.992,,,UP,1
2010-01-07,23.74,23.55,23.218,,,UP,1
2010-01-08,23.87,23.64,23.506,,,UP,1
2010-01-11,24.0,23.85,23.69,,,DOWN,0
2010-01-12,23.95,23.85,23.828,,,UP,1
2010-01-13,24.3,23.95,23.972,,,DOWN,0
2010-01-14,24.2,24.18,24.064,,,UP,1
2010-01-15,24.36,24.44,24.162,,,UP,1
2010-01-19,24.55,24.4,24.272,,,DOWN,0
2010-01-20,24.51,24.51,24.384,,,DOWN,0
2010-01-21,23.98,24.53,24.32,,,DOWN,0
2010-01-22,23.34,23.99,24.148,,,UP,1
2010-01-25,23.35,23.64,23.946,,,UP,1
2010-01-26,23.53,23.4,23.742,23.2464,,UP,1
2010-01-27,23.55,23.6,23.55,23.2974,,UP,1
2010-01-28,23.84,23.79,23.522,23.3196,,DOWN,0
2010-01-29,23.49,24.0,23.552,23.3274,,DOWN,0
2010-02-01,23.37,23.68,23.556,23.334,,UP,1
2010-02-02,23.63,23.33,23.576,23.3556,,UP,1
2010-02-03,23.84,23.6,23.634,23.375,,DOWN,0
2010-02-04,22.47,23.64,23.36,23.3602,,DOWN,0
2010-02-05,21.71,22.41,23.004,23.3264,,UP,1
2010-02-08,22.39,21.88,22.808,23.3042,,UP,1
2010-02-09,22.56,22.49,22.594,23.2806,,DOWN,0
2010-02-10,22.05,22.38,22.236,23.2586,,UP,1
2010-02-11,22.06,21.97,22.154,23.2398,,UP,1
2010-02-12,22.55,21.91,22.322,23.2246,,UP,1
2010-02-16,23.03,22.65,22.45,23.2132,,DOWN,0
2010-02-17,22.76,23.04,22.49,23.2022,,UP,1
2010-02-18,23.28,22.64,22.736,23.1908,,UP,1
2010-02-19,23.58,23.29,23.04,23.1898,,DOWN,0
2010-02-22,23.24,23.5,23.178,23.182,,UP,1
2010-02-23,23.64,23.2,23.3,23.1748,,UP,1
2010-02-24,24.16,23.81,23.58,23.184,,DOWN,0
2010-02-25,23.8,23.82,23.684,23.1932,,UP,1
2010-02-26,23.89,23.91,23.746,23.215,,UP,1
2010-03-01,24.09,24.01,23.916,23.243,,DOWN,0
2010-03-02,24.04,24.13,23.996,23.2692,,DOWN,0
2010-03-03,23.99,24.0,23.962,23.3002,,UP,1
2010-03-04,24.2,24.02,24.042,23.3328,,UP,1
2010-03-05,24.52,24.25,24.168,23.3712,,UP,1
2010-03-08,24.67,24.55,24.284,23.4166,,UP,1
2010-03-09,25.12,24.55,24.5,23.4708,,DOWN,0
2010-03-10,25.06,25.11,24.714,23.529,,UP,1
2010-03-11,25.11,24.99,24.896,23.5788,,UP,1
2010-03-12,25.13,25.14,25.018,23.6292,,DOWN,0
2010-03-15,25.03,25.16,25.09,23.6776,,UP,1
2010-03-16,25.12,25.02,25.09,23.7314,,UP,1
2010-03-17,25.82,25.11,25.242,23.7862,,DOWN,0
2010-03-18,25.24,25.88,25.268,23.8258,,UP,1
2010-03-19,25.6,25.29,25.362,23.8662,,DOWN,0
