ticker,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,29.4778,28.7378,28.1882,28.7871,26.7813,UP,1
2000-01-04,31.2045,29.6628,28.1746,29.3051,26.891,UP,1
2000-01-05,32.4996,31.6979,28.1734,30.1562,27.0353,DOWN,0
2000-01-06,31.2045,32.5613,28.1657,30.6495,27.1611,DOWN,0
2000-01-07,30.7112,31.5746,28.1546,31.0195,27.2721,UP,1
2000-01-10,35.398,34.5347,28.1691,32.2036,27.4621,UP,1
2000-01-11,35.7681,35.0897,28.1848,33.1163,27.6545,DOWN,0
2000-01-12,33.2396,35.398,28.1891,33.2643,27.8124,UP,1
2000-01-13,34.3497,33.9797,28.2073,33.8933,27.9776,DOWN,0
2000-01-14,33.1163,34.3497,28.2175,34.3743,28.1096,UP,1
2000-01-18,34.0413,33.3013,28.2323,34.103,28.2675,UP,1
2000-01-19,34.288,33.8563,28.2527,33.807,28.4735,DOWN,0
2000-01-20,33.178,34.5347,28.2564,33.7946,28.6733,DOWN,0
2000-01-21,32.3146,33.1163,28.2499,33.3876,28.8533,UP,1
2000-01-24,32.8696,32.5613,28.244,33.3383,29.0396,UP,1
2000-01-25,37.0014,37.4948,28.2542,33.9303,29.2998,DOWN,0
2000-01-26,36.1381,36.9398,28.2635,34.3003,29.528,UP,1
2000-01-27,36.6314,36.3847,28.2739,34.991,29.75,DOWN,0
2000-01-28,36.2614,36.3231,28.2872,35.7804,29.9597,DOWN,0
2000-01-31,35.8297,35.583,28.3017,36.3724,30.1632,DOWN,0
2000-02-01,35.5214,35.5214,28.3193,36.0764,30.3383,UP,1
2000-02-02,36.7548,35.4597,28.3399,36.1997,30.5455,UP,1
2000-02-03,37.3715,37.1248,28.3618,36.3477,30.7552,UP,1
2000-02-04,37.6181,37.4948,28.3849,36.6191,30.9748,DOWN,0
2000-02-07,37.4948,37.4948,28.4022,36.9521,31.1672,DOWN,0
