ticker,DLTR US Equity,DLTR US Equity,DLTR US Equity,DLTR US Equity,DLTR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,10.8611,10.7361,8.7156,10.8694,9.7431,DOWN,0
2000-01-04,10.8472,10.6389,8.7309,10.9,9.7822,UP,1
2000-01-05,10.8611,10.7778,8.7476,10.8806,9.83,UP,1
2000-01-06,11.0556,10.8889,8.7641,10.8778,9.8794,UP,1
2000-01-07,11.4583,11.0278,8.7824,11.0167,9.9364,UP,1
2000-01-10,11.8889,11.5278,8.8042,11.2222,9.9883,DOWN,0
2000-01-11,11.4444,11.7778,8.8256,11.3417,10.0236,DOWN,0
2000-01-12,11.2361,11.4444,8.8465,11.4167,10.0647,UP,1
2000-01-13,11.5833,11.2222,8.8701,11.5222,10.1075,UP,1
2000-01-14,11.875,11.5556,8.8969,11.6056,10.1489,DOWN,0
2000-01-18,11.875,11.8333,8.9178,11.6028,10.1958,DOWN,0
2000-01-19,11.6111,11.8472,8.9373,11.6361,10.2383,DOWN,0
2000-01-20,10.9444,11.6667,8.9533,11.5778,10.2686,DOWN,0
2000-01-21,10.6528,11.0,8.9692,11.3917,10.3031,DOWN,0
2000-01-24,10.125,10.5556,8.9799,11.0417,10.3289,UP,1
2000-01-25,10.375,10.2222,8.991,10.7417,10.3597,DOWN,0
2000-01-26,10.3333,10.4167,9.0026,10.4861,10.3908,DOWN,0
2000-01-27,9.8889,10.3993,9.0125,10.275,10.4133,UP,1
2000-01-28,9.9167,9.7778,9.0231,10.1278,10.4356,DOWN,0
2000-01-31,9.7917,9.8889,9.0372,10.0611,10.4589,UP,1
2000-02-01,10.0694,9.8889,9.0532,10.0,10.4892,UP,1
2000-02-02,10.2778,10.1111,9.0672,9.9889,10.5172,UP,1
2000-02-03,10.5139,10.3333,9.0802,10.1139,10.5486,DOWN,0
2000-02-04,10.2778,10.6389,9.0883,10.1861,10.5808,DOWN,0
2000-02-07,10.0972,10.3194,9.0958,10.2472,10.5989,UP,1
