ticker,DOV US Equity,DOV US Equity,DOV US Equity,DOV US Equity,DOV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,29.3779,29.9638,26.7715,29.9052,29.7075,DOWN,0
2000-01-04,28.8339,29.3779,26.8021,29.7043,29.7134,UP,1
2000-01-05,28.9594,28.7502,26.8366,29.5202,29.7293,UP,1
2000-01-06,29.085,28.792,26.8713,29.3277,29.751,UP,1
2000-01-07,29.8801,29.1268,26.9102,29.2272,29.7845,UP,1
2000-01-10,30.5078,29.9638,26.9519,29.4532,29.828,UP,1
2000-01-11,30.6334,30.4241,26.9935,29.8131,29.8707,UP,1
2000-01-12,30.9263,30.6334,27.0379,30.2065,29.9268,DOWN,0
2000-01-13,30.5915,30.9263,27.0808,30.5078,29.9619,DOWN,0
2000-01-14,30.3404,30.4241,27.122,30.5999,29.9862,UP,1
2000-01-18,30.6334,30.4241,27.1638,30.625,30.018,UP,1
2000-01-19,30.6752,30.7171,27.2049,30.6334,30.044,DOWN,0
2000-01-20,29.9638,31.1355,27.2419,30.4409,30.0607,DOWN,0
2000-01-21,29.7127,30.2986,27.2783,30.2651,30.0674,DOWN,0
2000-01-24,29.0013,29.7964,27.3111,29.9973,30.0473,DOWN,0
2000-01-25,29.0013,28.9176,27.3476,29.6708,30.0281,DOWN,0
2000-01-26,28.7083,29.085,27.3833,29.2775,30.0097,DOWN,0
2000-01-27,28.1643,28.8757,27.4114,28.9176,29.9762,DOWN,0
2000-01-28,27.4528,28.2061,27.4304,28.4656,29.9285,DOWN,0
2000-01-31,26.9925,27.4528,27.444,28.0638,29.8716,UP,1
2000-02-01,27.2018,26.9925,27.4541,27.7039,29.8264,UP,1
2000-02-02,27.2436,27.2855,27.4656,27.411,29.7895,DOWN,0
2000-02-03,27.2436,27.2018,27.4746,27.2269,29.7577,DOWN,0
2000-02-04,27.2436,27.1599,27.4838,27.185,29.7343,UP,1
2000-02-07,27.3273,27.2855,27.494,27.252,29.7042,DOWN,0
