ticker,DOW US Equity,DOW US Equity,DOW US Equity,DOW US Equity,DOW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2019-03-20,49.8,52.75,,,,DOWN,0
2019-03-21,48.98,49.99,,,,DOWN,0
2019-03-22,48.6,48.8,,,,UP,1
2019-03-25,49.15,48.6,,,,DOWN,0
2019-03-26,48.85,49.0,49.076,,,UP,1
2019-03-27,50.1,49.0,49.136,,,UP,1
2019-03-28,50.85,50.9,49.51,,,UP,1
2019-03-29,51.63,49.52,50.116,,,UP,1
2019-04-01,53.5,52.3,50.986,,,UP,1
2019-04-02,56.25,55.12,52.466,,,UP,1
2019-04-03,56.88,57.08,53.822,,,UP,1
2019-04-04,59.71,57.2,55.594,,,DOWN,0
2019-04-05,57.24,58.39,56.716,,,DOWN,0
2019-04-08,57.15,56.5,57.446,,,DOWN,0
2019-04-09,56.27,56.8,57.45,,,DOWN,0
2019-04-10,55.71,55.99,57.216,,,DOWN,0
2019-04-11,54.89,55.7,56.252,,,UP,1
2019-04-12,58.3,55.93,56.464,,,DOWN,0
2019-04-15,57.78,58.57,56.59,,,UP,1
2019-04-16,58.5,58.71,57.036,,,DOWN,0
2019-04-17,58.32,58.95,57.558,,,DOWN,0
2019-04-18,57.77,58.36,58.134,,,UP,1
2019-04-22,57.89,57.48,58.052,,,DOWN,0
2019-04-23,57.64,57.29,58.024,,,DOWN,0
2019-04-24,55.98,57.49,57.52,,,DOWN,0
2019-04-25,55.33,55.76,56.922,,,DOWN,0
2019-04-26,55.25,55.3,56.418,,,UP,1
2019-04-29,55.5,55.05,55.94,,,UP,1
2019-04-30,56.73,55.76,55.758,,,DOWN,0
2019-05-01,56.13,56.82,55.788,,,DOWN,0
2019-05-02,52.7,55.54,55.262,,,UP,1
2019-05-03,53.3,53.2,54.872,,,UP,1
2019-05-06,53.46,52.15,54.464,,,DOWN,0
2019-05-07,52.95,52.86,53.708,,,DOWN,0
2019-05-08,52.48,53.33,52.978,,,UP,1
2019-05-09,52.93,52.26,53.024,,,UP,1
2019-05-10,53.07,52.94,52.978,,,DOWN,0
2019-05-13,50.95,52.28,52.476,,,UP,1
2019-05-14,52.48,51.33,52.382,,,UP,1
2019-05-15,52.95,51.98,52.476,,,UP,1
2019-05-16,52.98,53.29,52.486,,,DOWN,0
2019-05-17,50.8,52.34,52.032,,,DOWN,0
2019-05-20,50.08,50.4,51.858,,,UP,1
2019-05-21,50.63,50.28,51.488,,,DOWN,0
2019-05-22,50.21,50.46,50.94,,,DOWN,0
2019-05-23,48.71,49.5,50.086,,,UP,1
2019-05-24,49.2,49.39,49.766,,,DOWN,0
2019-05-28,48.56,49.37,49.462,,,UP,1
2019-05-29,48.71,48.2,49.078,,,DOWN,0
2019-05-30,48.47,48.12,48.73,53.446,,DOWN,0
2019-05-31,46.76,47.96,48.34,53.3852,,UP,1
2019-06-03,47.96,46.85,48.092,53.3648,,UP,1
2019-06-04,49.93,48.68,48.366,53.3914,,UP,1
2019-06-05,50.34,50.49,48.692,53.4152,,UP,1
2019-06-06,51.06,50.28,49.21,53.4594,,UP,1
2019-06-07,51.3,51.13,50.118,53.4834,,UP,1
2019-06-10,51.62,51.72,50.85,53.4988,,UP,1
2019-06-11,52.04,52.0,51.272,53.507,,UP,1
2019-06-12,52.49,52.06,51.702,53.4868,,UP,1
2019-06-13,52.88,52.68,52.066,53.4194,,DOWN,0
2019-06-14,51.15,52.63,52.036,53.3048,,DOWN,0
2019-06-17,49.35,50.06,51.582,53.0976,,UP,1
2019-06-18,49.61,49.75,51.096,52.945,,DOWN,0
2019-06-19,48.5,49.95,50.298,52.772,,UP,1
2019-06-20,48.93,49.095,49.508,52.6252,,DOWN,0
2019-06-21,48.36,48.82,48.95,52.4782,,UP,1
2019-06-24,49.58,48.51,48.996,52.372,,UP,1
2019-06-25,49.69,49.49,49.012,52.1998,,UP,1
2019-06-26,50.45,49.85,49.402,52.0532,,UP,1
2019-06-27,50.91,50.61,49.798,51.9014,,DOWN,0
2019-06-28,49.31,51.04,49.988,51.7212,,UP,1
2019-07-01,50.16,50.0,50.104,51.569,,DOWN,0
2019-07-02,49.4,50.0,50.046,51.3992,,DOWN,0
2019-07-03,49.33,49.46,49.822,51.233,,DOWN,0
2019-07-05,49.31,49.01,49.502,51.0996,,DOWN,0
2019-07-08,48.52,49.34,49.344,50.9634,,DOWN,0
2019-07-09,47.87,48.3,48.886,50.8158,,DOWN,0
2019-07-10,47.55,48.34,48.516,50.6568,,UP,1
2019-07-11,47.78,47.73,48.206,50.4778,,UP,1
2019-07-12,49.71,48.46,48.286,50.3494,,UP,1
2019-07-15,50.93,49.77,48.768,50.314,,UP,1
2019-07-16,52.32,50.95,49.658,50.2944,,DOWN,0
2019-07-17,51.6,52.16,50.468,50.2572,,UP,1
2019-07-18,51.75,51.55,51.262,50.2332,,DOWN,0
2019-07-19,51.52,51.77,51.624,50.214,,DOWN,0
2019-07-22,50.88,51.5041,51.614,50.173,,UP,1
