ticker,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,2.2917,2.25,3.3307,2.1625,2.3429,DOWN,0
2000-01-04,2.25,2.25,3.323,2.1958,2.3308,DOWN,0
2000-01-05,2.0625,2.2083,3.3157,2.1917,2.3188,DOWN,0
2000-01-06,2.0,2.0417,3.3078,2.1667,2.3058,UP,1
2000-01-07,2.2083,2.0,3.3,2.1625,2.2967,UP,1
2000-01-10,2.25,2.3333,3.293,2.1542,2.2904,DOWN,0
2000-01-11,2.2292,2.2292,3.2868,2.15,2.2863,DOWN,0
2000-01-12,2.2083,2.2708,3.2805,2.1792,2.2783,UP,1
2000-01-13,2.3125,2.2292,3.2737,2.2417,2.2713,UP,1
2000-01-14,2.3958,2.3542,3.2679,2.2792,2.2675,DOWN,0
2000-01-18,2.3958,2.3333,3.2617,2.3083,2.2642,DOWN,0
2000-01-19,1.625,2.2083,3.2526,2.1875,2.2467,UP,1
2000-01-20,1.7708,1.6458,3.2447,2.1,2.2317,UP,1
2000-01-21,1.9167,1.7917,3.2379,2.0208,2.2213,DOWN,0
2000-01-24,1.6667,1.8958,3.2287,1.875,2.2083,DOWN,0
2000-01-25,1.6458,1.7083,3.2194,1.725,2.1996,DOWN,0
2000-01-26,1.6458,1.6667,3.2101,1.7292,2.1863,DOWN,0
2000-01-27,1.5833,1.6667,3.2004,1.6917,2.1713,DOWN,0
2000-01-28,1.5208,1.5833,3.1903,1.6125,2.1542,UP,1
2000-01-31,1.5417,1.5417,3.1798,1.5875,2.1379,DOWN,0
2000-02-01,1.5208,1.5833,3.17,1.5625,2.1217,UP,1
2000-02-02,1.5625,1.5417,3.1602,1.5458,2.1054,DOWN,0
2000-02-03,1.5208,1.5625,3.1495,1.5333,2.0875,DOWN,0
2000-02-04,1.4583,1.5,3.1382,1.5208,2.0675,DOWN,0
2000-02-07,1.4583,1.4583,3.1234,1.5042,2.05,DOWN,0
