ticker,DVN US Equity,DVN US Equity,DVN US Equity,DVN US Equity,DVN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,16.1875,16.5625,18.0403,16.6125,18.2113,DOWN,0
2000-01-04,15.8438,16.3438,18.0542,16.4813,18.1219,UP,1
2000-01-05,16.125,15.9375,18.0711,16.2938,18.0288,UP,1
2000-01-06,16.9375,15.9375,18.0908,16.3063,17.9625,UP,1
2000-01-07,17.0313,17.0,18.1105,16.425,17.9044,DOWN,0
2000-01-10,16.8125,17.0625,18.127,16.55,17.8488,UP,1
2000-01-11,17.0625,16.8125,18.1461,16.7938,17.8013,DOWN,0
2000-01-12,16.8125,17.0,18.1617,16.9313,17.7488,UP,1
2000-01-13,17.1875,16.9063,18.1788,16.9813,17.7038,UP,1
2000-01-14,17.2813,17.1875,18.1969,17.0313,17.6625,UP,1
2000-01-18,18.6875,17.2813,18.2217,17.4063,17.6469,UP,1
2000-01-19,19.1875,18.6875,18.2498,17.8313,17.6488,UP,1
2000-01-20,19.4688,19.0625,18.2809,18.3625,17.6538,UP,1
2000-01-21,20.6563,19.75,18.3155,19.0563,17.6763,DOWN,0
2000-01-24,20.125,20.75,18.3466,19.625,17.6806,DOWN,0
2000-01-25,19.625,20.0,18.3747,19.8125,17.6737,DOWN,0
2000-01-26,19.125,19.6563,18.3991,19.8,17.66,DOWN,0
2000-01-27,18.7813,19.1875,18.4236,19.6625,17.6356,DOWN,0
2000-01-28,18.7813,18.75,18.445,19.2875,17.6106,DOWN,0
2000-01-31,17.5625,18.75,18.458,18.775,17.5487,UP,1
2000-02-01,18.0313,17.5625,18.4716,18.4563,17.495,DOWN,0
2000-02-02,17.8125,18.1563,18.4859,18.1938,17.4425,UP,1
2000-02-03,17.9688,18.125,18.4998,18.0313,17.4094,UP,1
2000-02-04,18.0,17.9688,18.5147,17.875,17.3931,DOWN,0
2000-02-07,18.0,17.875,18.5288,17.9625,17.3806,DOWN,0
