ticker,DXC US Equity,DXC US Equity,DXC US Equity,DXC US Equity,DXC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2017-03-16,59.8801,59.0324,,,,DOWN,0
2017-03-17,57.9512,58.9978,,,,DOWN,0
2017-03-20,57.6831,58.055,,,,DOWN,0
2017-03-21,56.1608,57.4323,,,,UP,1
2017-03-22,56.4462,56.5241,57.6243,,,UP,1
2017-03-23,58.0637,57.9512,57.261,,,UP,1
2017-03-24,59.1276,59.2227,57.4963,,,DOWN,0
2017-03-27,57.9512,57.5188,57.5499,,,UP,1
2017-03-28,59.6811,59.6379,58.254,,,UP,1
2017-03-29,62.743,59.0324,59.5133,,,DOWN,0
2017-03-30,61.1948,62.5355,60.1396,,,DOWN,0
2017-03-31,59.8541,61.1256,60.2849,,,DOWN,0
2017-04-03,58.7729,59.9579,60.4492,,,UP,1
2017-04-04,60.0271,59.3179,60.5184,,,UP,1
2017-04-05,62.0943,60.5201,60.3887,,,UP,1
2017-04-06,64.594,62.8987,61.0685,,,UP,1
2017-04-07,65.6233,64.3518,62.2223,,,DOWN,0
2017-04-10,64.62,65.6492,63.3917,,,DOWN,0
2017-04-11,64.248,64.101,64.2359,,,UP,1
2017-04-12,65.8482,64.0405,64.9867,,,UP,1
2017-04-13,66.1769,65.4676,65.3033,,,UP,1
2017-04-17,66.6007,66.4277,65.4987,,,DOWN,0
2017-04-18,65.2081,66.3412,65.6164,,,DOWN,0
2017-04-19,65.087,65.8741,65.7842,,,UP,1
2017-04-20,65.2946,65.3206,65.6735,,,UP,1
2017-04-21,66.0125,65.4936,65.6406,,,DOWN,0
2017-04-24,65.4676,66.5747,65.414,,,UP,1
2017-04-25,65.8482,65.2254,65.542,,,UP,1
2017-04-26,65.8568,66.0212,65.696,,,DOWN,0
2017-04-27,65.632,66.0212,65.7634,,,DOWN,0
2017-04-28,65.1649,65.632,65.5939,,,UP,1
2017-05-01,66.0817,65.1995,65.7167,,,UP,1
2017-05-02,66.5834,66.1077,65.8638,,,UP,1
2017-05-03,66.8342,66.4623,66.0592,,,UP,1
2017-05-04,67.0851,67.3618,66.3499,,,UP,1
2017-05-05,67.803,67.284,66.8775,,,UP,1
2017-05-08,67.8203,67.5867,67.2252,,,UP,1
2017-05-09,68.3306,69.135,67.5746,,,UP,1
2017-05-10,68.8582,68.3825,67.9794,,,DOWN,0
2017-05-11,68.6939,68.5209,68.3012,,,UP,1
2017-05-12,68.8668,68.7198,68.5139,,,UP,1
2017-05-15,69.6539,68.8841,68.8807,,,UP,1
2017-05-16,69.7058,69.7923,69.1557,,,DOWN,0
2017-05-17,68.1403,69.2215,69.0122,,,DOWN,0
2017-05-18,67.5694,68.0711,68.7873,,,DOWN,0
2017-05-19,67.5262,67.5348,68.5191,,,UP,1
2017-05-22,67.8808,67.5521,68.1645,,,DOWN,0
2017-05-23,67.6992,67.8549,67.7632,,,DOWN,0
2017-05-24,67.4224,67.9414,67.6196,,,UP,1
2017-05-25,68.0192,67.9327,67.7095,64.5098,,UP,1
2017-05-26,68.0365,68.7717,67.8116,64.6729,,DOWN,0
2017-05-30,67.7597,67.5521,67.7874,64.8691,,DOWN,0
2017-05-31,67.0505,67.6646,67.6576,65.0564,,DOWN,0
2017-06-01,66.7218,66.8602,67.5175,65.2676,,UP,1
2017-06-02,67.111,66.6007,67.3359,65.4809,,UP,1
2017-06-05,67.2494,66.9034,67.1785,65.6646,,DOWN,0
2017-06-06,66.4882,67.0505,66.9242,65.8119,,DOWN,0
2017-06-07,66.4018,66.4969,66.7944,65.9809,,DOWN,0
2017-06-08,65.8655,66.4277,66.6232,66.1046,,DOWN,0
2017-06-09,64.9573,65.6492,66.1924,66.1488,,UP,1
2017-06-12,65.3465,64.6373,65.8119,66.2319,,UP,1
2017-06-13,65.6752,65.2341,65.6492,66.3483,,DOWN,0
2017-06-14,64.6892,65.7357,65.3067,66.4666,,DOWN,0
2017-06-15,64.0924,64.0578,64.9521,66.5479,,UP,1
2017-06-16,64.7324,63.6858,64.9071,66.6007,,UP,1
2017-06-19,66.3499,64.8708,65.1078,66.6358,,DOWN,0
2017-06-20,65.6665,66.0904,65.1061,66.6367,,UP,1
2017-06-21,66.099,65.7357,65.388,66.6663,,UP,1
2017-06-22,66.3585,66.2028,65.8413,66.7085,,UP,1
2017-06-23,67.8635,65.9693,66.4675,66.7488,,UP,1
2017-06-26,68.2008,67.5089,66.8377,66.7892,,DOWN,0
2017-06-27,67.0505,67.9327,67.1145,66.7982,,UP,1
2017-06-28,67.8116,67.3791,67.457,66.8503,,UP,1
2017-06-29,67.9327,67.63,67.7718,66.9072,,DOWN,0
2017-06-30,66.3585,67.6559,67.4708,66.9285,,DOWN,0
2017-07-03,65.6925,66.3931,66.9692,66.9221,,UP,1
2017-07-05,65.9433,65.6925,66.7477,66.9316,,UP,1
2017-07-06,66.1769,65.9087,66.4208,66.9382,,UP,1
2017-07-07,66.9986,66.1769,66.234,66.961,,UP,1
