ticker,ECL US Equity,ECL US Equity,ECL US Equity,ECL US Equity,ECL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,18.8438,19.5,19.263,19.1875,17.615,DOWN,0
2000-01-04,18.3438,18.8125,19.258,19.1063,17.6418,UP,1
2000-01-05,19.0625,18.4688,19.2611,19.05,17.6756,UP,1
2000-01-06,19.9063,18.75,19.267,19.1438,17.7393,DOWN,0
2000-01-07,19.9063,19.9063,19.2733,19.2125,17.8025,UP,1
2000-01-10,20.3125,20.0,19.2823,19.5063,17.8718,DOWN,0
2000-01-11,20.0938,20.1875,19.2901,19.8563,17.9356,DOWN,0
2000-01-12,19.7188,19.5,19.2995,19.9875,17.9875,DOWN,0
2000-01-13,19.5625,19.7188,19.3086,19.9188,18.0368,UP,1
2000-01-14,19.7188,19.5625,19.318,19.8813,18.0912,DOWN,0
2000-01-18,19.2188,19.5938,19.3236,19.6625,18.1356,DOWN,0
2000-01-19,18.9688,19.3125,19.3283,19.4375,18.1756,DOWN,0
2000-01-20,18.9063,19.0313,19.3309,19.275,18.2081,DOWN,0
2000-01-21,18.5313,19.0,19.3295,19.0688,18.24,DOWN,0
2000-01-24,18.1875,18.5625,19.328,18.7625,18.2537,DOWN,0
2000-01-25,17.8125,18.3125,19.3241,18.4813,18.2575,UP,1
2000-01-26,18.0938,17.9063,19.3214,18.3063,18.2706,DOWN,0
2000-01-27,18.0313,17.9688,19.315,18.1313,18.2693,DOWN,0
2000-01-28,17.25,17.9063,19.3012,17.875,18.245,UP,1
2000-01-31,17.5938,17.5,19.2891,17.7563,18.2206,DOWN,0
2000-02-01,17.5313,17.5,19.2705,17.7,18.2025,DOWN,0
2000-02-02,17.0313,17.5938,19.253,17.4875,18.1781,UP,1
2000-02-03,17.375,17.1563,19.2381,17.3563,18.1656,UP,1
2000-02-04,17.5625,17.375,19.2253,17.4188,18.1694,DOWN,0
2000-02-07,17.4688,17.4375,19.213,17.3938,18.1694,DOWN,0
