ticker,EL US Equity,EL US Equity,EL US Equity,EL US Equity,EL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,24.7813,25.2188,23.1047,25.0313,22.3631,DOWN,0
2000-01-04,24.3438,24.625,23.1097,24.8938,22.4,DOWN,0
2000-01-05,23.5234,24.0625,23.112,24.6859,22.4098,UP,1
2000-01-06,24.2188,23.5,23.1193,24.4172,22.403,UP,1
2000-01-07,25.0625,24.3438,23.1286,24.3859,22.4361,UP,1
2000-01-10,25.875,25.625,23.1426,24.6047,22.4773,DOWN,0
2000-01-11,25.2188,25.5,23.1549,24.7797,22.5155,DOWN,0
2000-01-12,25.0938,25.2188,23.1686,25.0938,22.5586,UP,1
2000-01-13,25.1875,25.0938,23.1764,25.2875,22.6023,UP,1
2000-01-14,26.3438,25.1875,23.1903,25.5438,22.673,UP,1
2000-01-18,26.5938,26.0,23.2061,25.6875,22.753,UP,1
2000-01-19,26.8438,26.5938,23.2242,26.0125,22.8373,DOWN,0
2000-01-20,26.8438,26.875,23.24,26.3625,22.9298,DOWN,0
2000-01-21,26.75,26.7188,23.2553,26.675,23.0273,UP,1
2000-01-24,27.0,27.0625,23.2729,26.8063,23.138,UP,1
2000-01-25,27.0625,27.125,23.2907,26.9,23.2348,UP,1
2000-01-26,27.625,27.0,23.3112,27.0563,23.3536,DOWN,0
2000-01-27,26.5938,27.5,23.3255,27.0063,23.4592,DOWN,0
2000-01-28,25.9688,26.5313,23.3405,26.85,23.5605,DOWN,0
2000-01-31,25.5625,25.5,23.3554,26.5625,23.6561,UP,1
2000-02-01,25.875,25.875,23.3767,26.325,23.753,DOWN,0
2000-02-02,25.7188,25.875,23.3903,25.9438,23.8361,UP,1
2000-02-03,25.9063,25.75,23.4022,25.8063,23.9198,DOWN,0
2000-02-04,25.4063,25.9375,23.4122,25.6938,23.988,DOWN,0
2000-02-07,25.1875,25.4375,23.4194,25.6188,24.0492,DOWN,0
2000-02-08,25.0,25.0,23.4254,25.4438,24.1086,UP,1
